Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,match_id,shotX,shotY,quarter,time_remaining,player,team,made,shot_type,distance,score,opp,status
298,298,298,200610310MIA,44.0,21.1,4th quarter,3:13.0,Robert Hite,MIA,False,3-pointer,26,66-100,'MIA',trails
299,299,299,200610310MIA,13.8,5.5,4th quarter,2:17.0,Robert Hite,MIA,False,2-pointer,10,66-102,'MIA',trails
301,301,301,200610310MIA,25.8,30.3,4th quarter,0:54.9,Robert Hite,MIA,False,3-pointer,25,66-106,'MIA',trails
1770,1770,1770,200611220SAS,40.4,5.2,3rd quarter,4:20.0,Robert Hite,MIA,True,2-pointer,16,53-72,'SAS',trails
1771,1771,1771,200611220SAS,1.0,5.0,3rd quarter,3:42.0,Robert Hite,MIA,True,3-pointer,23,56-74,'SAS',trails
1774,1774,1774,200611220SAS,11.7,15.5,3rd quarter,1:09.0,Robert Hite,MIA,True,2-pointer,16,61-85,'SAS',trails
1777,1777,1777,200611220SAS,36.5,21.3,4th quarter,10:34.0,Robert Hite,MIA,True,2-pointer,21,64-91,'SAS',trails
1782,1782,1782,200611220SAS,22.4,7.8,4th quarter,7:24.0,Robert Hite,MIA,False,2-pointer,3,64-93,'SAS',trails
1783,1783,1783,200611220SAS,18.9,7.8,4th quarter,7:07.0,Robert Hite,MIA,False,2-pointer,6,64-93,'SAS',trails
1057,1057,1057,200611240MIA,0.8,10.6,2nd quarter,8:48.0,Robert Hite,MIA,False,3-pointer,24,29-26,'MIA',leads
1059,1059,1059,200611240MIA,24.0,5.0,2nd quarter,8:02.0,Robert Hite,MIA,False,2-pointer,0,29-31,'MIA',trails
1062,1062,1062,200611240MIA,37.3,12.2,2nd quarter,7:35.0,Robert Hite,MIA,False,2-pointer,15,29-33,'MIA',trails
1063,1063,1063,200611240MIA,24.0,5.0,2nd quarter,7:31.0,Robert Hite,MIA,True,2-pointer,0,31-33,'MIA',trails
529,529,529,200612080DEN,48.8,4.7,2nd quarter,1:19.0,Robert Hite,MIA,False,3-pointer,25,50-68,'MIA',trails
559,559,559,200612080DEN,9.1,4.4,4th quarter,9:43.0,Robert Hite,MIA,False,2-pointer,15,91-108,'MIA',trails
560,560,560,200612080DEN,22.4,26.4,4th quarter,9:15.0,Robert Hite,MIA,False,2-pointer,21,91-110,'MIA',trails
561,561,561,200612080DEN,41.2,5.0,4th quarter,9:03.0,Robert Hite,MIA,False,2-pointer,17,91-110,'MIA',trails
568,568,568,200612080DEN,8.6,24.7,4th quarter,5:30.0,Robert Hite,MIA,False,3-pointer,25,94-112,'MIA',trails
431,431,431,200612110MIA,12.7,19.8,4th quarter,1:15.0,Robert Hite,MIA,True,2-pointer,19,99-77,'MIA',leads
432,432,432,200612110MIA,44.7,21.1,4th quarter,0:47.9,Robert Hite,MIA,False,3-pointer,26,99-77,'MIA',leads
1005,1005,1005,200612130MIA,15.8,19.5,2nd quarter,11:18.0,Robert Hite,MIA,True,2-pointer,17,21-28,'MIA',trails
1010,1010,1010,200612130MIA,0.8,4.7,2nd quarter,8:33.0,Robert Hite,MIA,False,3-pointer,23,25-33,'MIA',trails
1011,1011,1011,200612130MIA,20.4,9.8,2nd quarter,8:03.0,Robert Hite,MIA,False,2-pointer,6,25-35,'MIA',trails
1040,1040,1040,200612130MIA,24.0,5.0,3rd quarter,1:35.0,Robert Hite,MIA,False,2-pointer,0,63-84,'MIA',trails
1041,1041,1041,200612130MIA,12.7,17.7,3rd quarter,1:05.0,Robert Hite,MIA,False,2-pointer,17,63-84,'MIA',trails
1050,1050,1050,200612130MIA,44.9,3.2,4th quarter,7:36.0,Robert Hite,MIA,True,2-pointer,21,71-88,'MIA',trails
1051,1051,1051,200612130MIA,24.0,5.0,4th quarter,7:18.0,Robert Hite,MIA,True,2-pointer,0,73-88,'MIA',trails
1057,1057,1057,200612130MIA,37.6,26.2,4th quarter,4:21.0,Robert Hite,MIA,True,3-pointer,25,80-88,'MIA',trails
1065,1065,1065,200612130MIA,24.0,5.0,4th quarter,0:34.9,Robert Hite,MIA,False,2-pointer,0,88-96,'MIA',trails
