Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,match_id,shotX,shotY,quarter,time_remaining,player,team,made,shot_type,distance,score,opp,status
978,978,978,200011010SEA,26.2,9.7,2nd quarter,7:02.0,Robert Pack,DEN,True,2-pointer,5,40-52,'SEA',trails
1018,1018,1018,200011010SEA,26.8,6.9,4th quarter,6:27.0,Robert Pack,DEN,True,2-pointer,3,89-102,'SEA',trails
1025,1025,1025,200011010SEA,28.9,11.8,4th quarter,2:31.0,Robert Pack,DEN,True,2-pointer,8,93-105,'SEA',trails
1026,1026,1026,200011010SEA,15.6,16.4,4th quarter,1:59.0,Robert Pack,DEN,False,2-pointer,14,93-106,'SEA',trails
259,259,259,200011020DEN,38.8,33.3,1st quarter,0:00.0,Robert Pack,DEN,False,3-pointer,32,24-20,DEN,leads
262,262,262,200011020DEN,24.0,5.0,2nd quarter,10:12.0,Robert Pack,DEN,False,2-pointer,0,28-25,DEN,leads
305,305,305,200011020DEN,27.9,8.8,4th quarter,7:58.0,Robert Pack,DEN,False,2-pointer,5,88-85,DEN,leads
538,538,538,200011040DEN,24.0,5.0,1st quarter,0:01.9,Robert Pack,DEN,False,2-pointer,0,19-27,'PHO',trails
544,544,544,200011040DEN,24.0,5.0,2nd quarter,9:27.0,Robert Pack,DEN,False,2-pointer,0,22-29,'PHO',trails
546,546,546,200011040DEN,32.5,21.0,2nd quarter,8:55.0,Robert Pack,DEN,True,2-pointer,18,24-29,'PHO',trails
548,548,548,200011040DEN,12.7,20.0,2nd quarter,8:29.0,Robert Pack,DEN,False,2-pointer,19,24-32,'PHO',trails
581,581,581,200011040DEN,23.6,19.4,3rd quarter,0:35.1,Robert Pack,DEN,True,2-pointer,14,70-64,'PHO',leads
584,584,584,200011040DEN,24.0,5.0,4th quarter,11:09.0,Robert Pack,DEN,True,2-pointer,0,75-65,'PHO',leads
585,585,585,200011040DEN,10.6,9.2,4th quarter,10:33.0,Robert Pack,DEN,False,2-pointer,14,75-67,'PHO',leads
92,92,92,200011060DEN,33.8,19.1,1st quarter,2:56.0,Robert Pack,DEN,False,2-pointer,17,19-18,'DAL',leads
97,97,97,200011060DEN,23.9,23.6,1st quarter,0:43.9,Robert Pack,DEN,True,2-pointer,19,23-28,'DAL',trails
103,103,103,200011060DEN,8.7,3.7,2nd quarter,10:15.0,Robert Pack,DEN,True,2-pointer,15,28-28,'DAL',tied
104,104,104,200011060DEN,24.0,5.0,2nd quarter,9:45.0,Robert Pack,DEN,True,2-pointer,0,30-28,'DAL',leads
110,110,110,200011060DEN,24.0,5.0,2nd quarter,6:52.0,Robert Pack,DEN,False,2-pointer,0,33-39,'DAL',trails
138,138,138,200011060DEN,12.3,10.7,3rd quarter,0:50.9,Robert Pack,DEN,False,2-pointer,13,66-74,'DAL',trails
145,145,145,200011060DEN,25.1,25.9,4th quarter,7:23.0,Robert Pack,DEN,False,2-pointer,21,78-87,'DAL',trails
150,150,150,200011060DEN,24.0,5.0,4th quarter,2:08.0,Robert Pack,DEN,True,2-pointer,0,87-100,'DAL',trails
151,151,151,200011060DEN,24.0,5.0,4th quarter,0:53.9,Robert Pack,DEN,True,2-pointer,0,92-102,'DAL',trails
152,152,152,200011060DEN,24.0,5.0,4th quarter,0:44.9,Robert Pack,DEN,True,2-pointer,0,94-104,'DAL',trails
153,153,153,200011060DEN,19.4,10.7,4th quarter,0:34.9,Robert Pack,DEN,False,2-pointer,7,94-106,'DAL',trails
274,274,274,200011080DEN,24.0,5.0,1st quarter,2:16.0,Robert Pack,DEN,False,2-pointer,0,15-22,'DEN',trails
286,286,286,200011080DEN,24.0,5.0,2nd quarter,7:45.0,Robert Pack,DEN,True,2-pointer,0,35-35,'DEN',tied
291,291,291,200011080DEN,36.9,17.7,2nd quarter,4:49.0,Robert Pack,DEN,True,2-pointer,18,42-41,'DEN',leads
317,317,317,200011080DEN,24.0,5.0,3rd quarter,0:44.5,Robert Pack,DEN,True,2-pointer,0,79-78,'DEN',leads
318,318,318,200011080DEN,24.0,5.0,3rd quarter,0:08.5,Robert Pack,DEN,True,2-pointer,0,82-80,'DEN',leads
321,321,321,200011080DEN,18.4,8.6,4th quarter,9:52.0,Robert Pack,DEN,False,2-pointer,7,84-86,'DEN',trails
982,982,982,200011090POR,24.0,5.0,2nd quarter,10:48.0,Robert Pack,DEN,False,2-pointer,0,18-25,'POR',trails
985,985,985,200011090POR,24.0,5.0,2nd quarter,9:03.0,Robert Pack,DEN,False,2-pointer,0,22-29,'POR',trails
990,990,990,200011090POR,15.0,10.7,2nd quarter,7:00.0,Robert Pack,DEN,False,2-pointer,11,29-33,'POR',trails
1019,1019,1019,200011090POR,30.2,24.6,4th quarter,9:52.0,Robert Pack,DEN,False,2-pointer,21,74-83,'POR',trails
111,111,111,200011120DEN,36.9,21.9,2nd quarter,10:08.0,Robert Pack,DEN,False,2-pointer,21,27-31,'DEN',trails
112,112,112,200011120DEN,24.0,5.0,2nd quarter,9:52.0,Robert Pack,DEN,True,2-pointer,0,29-31,'DEN',trails
168,168,168,200011120DEN,24.1,26.3,4th quarter,3:07.0,Robert Pack,DEN,False,2-pointer,21,91-73,'DEN',leads
492,492,492,200011140LAL,20.7,13.5,2nd quarter,11:23.0,Robert Pack,DEN,False,2-pointer,9,29-32,'LAL',trails
493,493,493,200011140LAL,23.6,15.8,2nd quarter,11:08.0,Robert Pack,DEN,True,2-pointer,11,31-32,'LAL',trails
494,494,494,200011140LAL,12.7,12.8,2nd quarter,9:49.0,Robert Pack,DEN,False,2-pointer,14,33-34,'LAL',trails
498,498,498,200011140LAL,24.0,5.0,2nd quarter,8:01.0,Robert Pack,DEN,True,2-pointer,0,40-39,'LAL',leads
499,499,499,200011140LAL,31.9,24.8,2nd quarter,7:04.0,Robert Pack,DEN,False,2-pointer,21,41-42,'LAL',trails
533,533,533,200011140LAL,31.7,25.7,3rd quarter,0:43.9,Robert Pack,DEN,False,2-pointer,22,75-87,'LAL',trails
100,100,100,200011160DEN,24.0,5.0,2nd quarter,8:08.0,Robert Pack,DEN,True,2-pointer,0,40-19,'DEN',leads
127,127,127,200011160DEN,19.2,8.0,3rd quarter,3:39.0,Robert Pack,DEN,False,2-pointer,6,60-57,'DEN',leads
128,128,128,200011160DEN,24.0,5.0,3rd quarter,3:35.0,Robert Pack,DEN,False,2-pointer,0,60-57,'DEN',leads
