Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,match_id,shotX,shotY,quarter,time_remaining,player,team,made,shot_type,distance,score,opp,status
154,154,154,201211040LAL,20.8,9.2,4th quarter,0:29.7,Robert Sacre,LAL,True,2-pointer,5,108-77,'LAL',leads
666,666,666,201211090LAL,26.6,7.3,4th quarter,0:40.7,Robert Sacre,LAL,False,2-pointer,3,101-77,'LAL',leads
225,225,225,201211240DAL,22.7,7.5,4th quarter,2:14.0,Robert Sacre,LAL,False,2-pointer,3,113-83,'DAL',leads
230,230,230,201211240DAL,25.2,24.2,4th quarter,0:38.9,Robert Sacre,LAL,False,2-pointer,19,115-85,'DAL',leads
213,213,213,201212130NYK,12.9,5.6,3rd quarter,2:01.0,Robert Sacre,LAL,False,2-pointer,11,73-93,'NYK',trails
1674,1674,1674,201212140WAS,24.9,4.8,1st quarter,1:17.0,Robert Sacre,LAL,True,2-pointer,1,25-18,'LAL',leads
1684,1684,1684,201212140WAS,9.9,2.6,2nd quarter,5:49.0,Robert Sacre,LAL,True,2-pointer,14,37-43,'LAL',trails
20,20,20,201212160PHI,24.4,23.4,1st quarter,0:40.4,Robert Sacre,LAL,False,2-pointer,18,23-24,'LAL',trails
1135,1135,1135,201212280LAL,23.5,10.6,4th quarter,3:39.0,Robert Sacre,LAL,False,2-pointer,6,103-80,'POR',leads
4,4,4,201301080HOU,24.0,3.3,1st quarter,9:30.0,Robert Sacre,LAL,True,2-pointer,2,8-2,'HOU',leads
6,6,6,201301080HOU,19.4,9.7,1st quarter,8:24.0,Robert Sacre,LAL,False,2-pointer,7,11-4,'HOU',leads
11,11,11,201301080HOU,28.3,9.7,1st quarter,6:56.0,Robert Sacre,LAL,False,2-pointer,6,18-6,'HOU',leads
30,30,30,201301080HOU,22.1,10.6,2nd quarter,9:16.0,Robert Sacre,LAL,True,2-pointer,6,38-33,'HOU',leads
31,31,31,201301080HOU,12.8,14.1,2nd quarter,8:44.0,Robert Sacre,LAL,False,2-pointer,14,38-33,'HOU',leads
34,34,34,201301080HOU,12.1,5.9,2nd quarter,6:57.0,Robert Sacre,LAL,True,2-pointer,12,42-35,'HOU',leads
37,37,37,201301080HOU,21.6,14.3,2nd quarter,5:30.0,Robert Sacre,LAL,False,2-pointer,10,46-42,'HOU',leads
51,51,51,201301080HOU,18.0,8.0,3rd quarter,11:21.0,Robert Sacre,LAL,True,2-pointer,7,64-59,'HOU',leads
54,54,54,201301080HOU,23.8,5.4,3rd quarter,9:38.0,Robert Sacre,LAL,False,2-pointer,0,67-62,'HOU',leads
55,55,55,201301080HOU,22.2,13.0,3rd quarter,9:04.0,Robert Sacre,LAL,False,2-pointer,8,67-64,'HOU',leads
1503,1503,1503,201301090SAS,24.7,9.1,1st quarter,4:26.0,Robert Sacre,LAL,False,2-pointer,4,11-17,'SAS',trails
1505,1505,1505,201301090SAS,30.1,17.7,1st quarter,3:53.0,Robert Sacre,LAL,False,2-pointer,14,11-19,'SAS',trails
1521,1521,1521,201301090SAS,27.7,12.7,2nd quarter,6:57.0,Robert Sacre,LAL,False,2-pointer,9,28-36,'SAS',trails
1525,1525,1525,201301090SAS,24.7,24.5,2nd quarter,4:54.0,Robert Sacre,LAL,True,2-pointer,20,37-40,'SAS',trails
1526,1526,1526,201301090SAS,28.7,6.1,2nd quarter,3:56.0,Robert Sacre,LAL,False,2-pointer,5,37-43,'SAS',trails
1535,1535,1535,201301090SAS,22.3,6.6,3rd quarter,11:44.0,Robert Sacre,LAL,False,2-pointer,2,45-54,'SAS',trails
1541,1541,1541,201301090SAS,24.9,5.6,3rd quarter,8:52.0,Robert Sacre,LAL,True,2-pointer,1,52-60,'SAS',trails
1561,1561,1561,201301090SAS,26.4,5.7,4th quarter,11:36.0,Robert Sacre,LAL,False,2-pointer,3,75-85,'SAS',trails
1563,1563,1563,201301090SAS,10.9,3.3,4th quarter,10:56.0,Robert Sacre,LAL,False,2-pointer,13,77-87,'SAS',trails
896,896,896,201301110LAL,28.7,10.6,1st quarter,10:37.0,Robert Sacre,LAL,False,2-pointer,7,2-2,'LAL',tied
898,898,898,201301110LAL,22.1,5.0,1st quarter,9:56.0,Robert Sacre,LAL,True,2-pointer,2,4-4,'LAL',tied
905,905,905,201301110LAL,27.2,5.3,1st quarter,6:27.0,Robert Sacre,LAL,True,2-pointer,3,12-12,'LAL',tied
944,944,944,201301110LAL,15.4,4.8,3rd quarter,9:47.0,Robert Sacre,LAL,False,2-pointer,9,48-69,'LAL',trails
964,964,964,201301110LAL,23.8,6.5,3rd quarter,1:11.0,Robert Sacre,LAL,False,2-pointer,2,68-93,'LAL',trails
988,988,988,201301110LAL,24.0,6.7,4th quarter,0:51.1,Robert Sacre,LAL,True,2-pointer,2,96-115,'LAL',trails
446,446,446,201301130LAL,23.0,7.8,1st quarter,3:03.0,Robert Sacre,LAL,True,2-pointer,3,32-16,'LAL',leads
451,451,451,201301130LAL,13.1,14.9,2nd quarter,11:21.0,Robert Sacre,LAL,False,2-pointer,15,37-22,'LAL',leads
484,484,484,201301130LAL,7.2,4.4,4th quarter,10:49.0,Robert Sacre,LAL,False,2-pointer,17,86-72,'LAL',leads
495,495,495,201301130LAL,22.5,7.8,4th quarter,2:48.0,Robert Sacre,LAL,False,2-pointer,3,111-83,'LAL',leads
778,778,778,201301150LAL,24.1,4.0,1st quarter,3:10.0,Robert Sacre,LAL,False,2-pointer,1,26-15,'LAL',leads
26,26,26,201302050BRK,25.2,5.6,2nd quarter,7:39.0,Robert Sacre,LAL,True,2-pointer,1,28-26,'LAL',leads
66,66,66,201302050BRK,41.0,6.7,4th quarter,9:27.0,Robert Sacre,LAL,False,2-pointer,17,72-68,'LAL',leads
78,78,78,201302070BOS,23.2,5.7,4th quarter,3:18.0,Robert Sacre,LAL,True,2-pointer,1,84-107,'LAL',trails
80,80,80,201302070BOS,24.9,6.4,4th quarter,2:14.0,Robert Sacre,LAL,False,2-pointer,2,86-109,'LAL',trails
483,483,483,201302280LAL,17.8,12.1,4th quarter,1:12.0,Robert Sacre,LAL,True,2-pointer,9,114-93,'LAL',leads
484,484,484,201302280LAL,23.8,12.4,4th quarter,0:32.8,Robert Sacre,LAL,True,2-pointer,7,116-94,'LAL',leads
1792,1792,1792,201303060NOH,25.2,9.4,2nd quarter,2:48.0,Robert Sacre,LAL,False,2-pointer,5,38-58,'LAL',trails
838,838,838,201303150IND,38.3,3.6,2nd quarter,0:49.3,Robert Sacre,LAL,True,2-pointer,14,46-36,'LAL',leads
1596,1596,1596,201303180PHO,9.3,5.7,4th quarter,1:37.0,Robert Sacre,LAL,False,2-pointer,15,76-96,'LAL',trails
473,473,473,201304280LAL,33.9,24.2,4th quarter,0:50.1,Robert Sacre,LAL,False,2-pointer,22,82-103,'SAS',trails
558,558,558,201310300GSW,24.9,2.8,4th quarter,0:47.0,Robert Sacre,LAL,True,2-pointer,1,92-125,'LAL',trails
238,238,238,201311050DAL,20.0,8.2,4th quarter,4:08.0,Robert Sacre,LAL,False,2-pointer,7,95-120,'DAL',trails
242,242,242,201311050DAL,23.0,5.3,4th quarter,2:41.0,Robert Sacre,LAL,False,2-pointer,3,97-120,'DAL',trails
244,244,244,201311050DAL,26.4,12.4,4th quarter,1:57.0,Robert Sacre,LAL,False,2-pointer,10,100-120,'DAL',trails
470,470,470,201311120LAL,22.2,9.0,4th quarter,4:26.0,Robert Sacre,LAL,False,2-pointer,6,105-83,'NOP',leads
476,476,476,201311120LAL,25.0,4.7,4th quarter,1:36.0,Robert Sacre,LAL,False,2-pointer,2,114-88,'NOP',leads
192,192,192,201311270BRK,22.1,3.7,2nd quarter,9:02.0,Robert Sacre,LAL,True,2-pointer,2,45-21,'LAL',leads
194,194,194,201311270BRK,7.1,3.1,2nd quarter,7:54.0,Robert Sacre,LAL,False,2-pointer,17,48-21,'LAL',leads
