Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,match_id,shotX,shotY,quarter,time_remaining,player,team,made,shot_type,distance,score,opp,status
1108,1108,1108,201610260ORL,34.1,8.6,2nd quarter,7:44.0,Rodney McGruder,MIA,False,2-pointer,12,31-30,'MIA',leads
1115,1115,1115,201610260ORL,48.5,8.6,2nd quarter,4:23.0,Rodney McGruder,MIA,False,3-pointer,25,38-40,'MIA',trails
1149,1149,1149,201610260ORL,24.4,4.6,3rd quarter,0:32.0,Rodney McGruder,MIA,True,2-pointer,2,80-67,'MIA',leads
633,633,633,201610280MIA,37.0,20.8,1st quarter,0:32.0,Rodney McGruder,MIA,False,2-pointer,22,23-21,'MIA',leads
636,636,636,201610280MIA,44.7,17.9,2nd quarter,11:04.0,Rodney McGruder,MIA,True,3-pointer,25,26-23,'MIA',leads
647,647,647,201610280MIA,6.4,19.9,2nd quarter,6:10.0,Rodney McGruder,MIA,True,3-pointer,24,40-32,'MIA',leads
656,656,656,201610280MIA,44.5,16.6,2nd quarter,0:46.0,Rodney McGruder,MIA,True,3-pointer,24,55-44,'MIA',leads
673,673,673,201610280MIA,48.3,4.6,3rd quarter,2:09.0,Rodney McGruder,MIA,False,3-pointer,24,73-66,'MIA',leads
678,678,678,201610280MIA,18.8,8.1,4th quarter,10:57.0,Rodney McGruder,MIA,False,2-pointer,7,79-75,'MIA',leads
681,681,681,201610280MIA,2.1,14.5,4th quarter,9:43.0,Rodney McGruder,MIA,False,3-pointer,24,79-77,'MIA',leads
682,682,682,201610280MIA,17.9,5.1,4th quarter,9:13.0,Rodney McGruder,MIA,False,2-pointer,6,79-79,'MIA',tied
684,684,684,201610280MIA,25.2,4.1,4th quarter,9:01.0,Rodney McGruder,MIA,False,2-pointer,1,79-79,'MIA',tied
772,772,772,201610300MIA,47.8,5.6,2nd quarter,8:39.0,Rodney McGruder,MIA,False,3-pointer,24,21-32,'SAS',trails
775,775,775,201610300MIA,20.5,9.1,2nd quarter,7:26.0,Rodney McGruder,MIA,False,2-pointer,7,25-36,'SAS',trails
