Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,match_id,shotX,shotY,quarter,time_remaining,player,team,made,shot_type,distance,score,opp,status
733,733,733,200201300UTA,7.6,22.5,1st quarter,2:24.0,Rusty LaRue,UTA,False,3-pointer,24,18-14,'UTA',leads
735,735,735,200201300UTA,32.3,27.8,1st quarter,1:21.0,Rusty LaRue,UTA,False,3-pointer,24,18-16,'UTA',leads
742,742,742,200201300UTA,34.8,28.4,2nd quarter,9:38.0,Rusty LaRue,UTA,False,3-pointer,26,25-22,'UTA',leads
771,771,771,200201300UTA,27.7,24.2,3rd quarter,0:26.5,Rusty LaRue,UTA,True,2-pointer,20,69-54,'UTA',leads
772,772,772,200201300UTA,24.0,16.6,3rd quarter,0:00.1,Rusty LaRue,UTA,False,2-pointer,12,69-57,'UTA',leads
784,784,784,200201300UTA,34.0,26.7,4th quarter,0:08.5,Rusty LaRue,UTA,True,3-pointer,24,90-78,'UTA',leads
880,880,880,200202020UTA,4.3,4.2,2nd quarter,11:18.0,Rusty LaRue,UTA,False,2-pointer,20,22-28,'POR',trails
881,881,881,200202020UTA,24.0,5.0,2nd quarter,10:56.0,Rusty LaRue,UTA,False,2-pointer,0,22-28,'POR',trails
910,910,910,200202020UTA,29.8,21.5,3rd quarter,4:13.0,Rusty LaRue,UTA,False,2-pointer,17,65-60,'POR',leads
916,916,916,200202020UTA,37.8,25.7,4th quarter,11:11.0,Rusty LaRue,UTA,True,3-pointer,25,76-70,'POR',leads
15,15,15,200202040HOU,41.4,12.0,1st quarter,3:43.0,Rusty LaRue,UTA,True,2-pointer,19,15-22,HOU,trails
19,19,19,200202040HOU,11.8,15.6,1st quarter,2:04.0,Rusty LaRue,UTA,False,2-pointer,16,19-26,HOU,trails
22,22,22,200202040HOU,13.3,17.7,2nd quarter,11:46.0,Rusty LaRue,UTA,False,2-pointer,17,21-32,HOU,trails
31,31,31,200202040HOU,44.1,5.0,2nd quarter,8:05.0,Rusty LaRue,UTA,True,2-pointer,20,29-38,HOU,trails
68,68,68,200202040HOU,9.7,11.6,3rd quarter,2:58.0,Rusty LaRue,UTA,False,2-pointer,16,66-71,HOU,trails
70,70,70,200202040HOU,34.2,18.3,3rd quarter,0:28.3,Rusty LaRue,UTA,True,2-pointer,17,73-77,HOU,trails
71,71,71,200202040HOU,15.4,29.1,3rd quarter,0:00.0,Rusty LaRue,UTA,False,3-pointer,26,73-77,HOU,trails
76,76,76,200202040HOU,7.0,23.8,4th quarter,9:23.0,Rusty LaRue,UTA,True,3-pointer,25,78-83,HOU,trails
846,846,846,200202050MEM,6.6,15.6,1st quarter,3:44.0,Rusty LaRue,UTA,True,2-pointer,20,12-19,'UTA',trails
849,849,849,200202050MEM,13.1,7.1,1st quarter,1:52.0,Rusty LaRue,UTA,False,2-pointer,11,15-28,'UTA',trails
891,891,891,200202050MEM,24.0,5.0,3rd quarter,2:46.0,Rusty LaRue,UTA,True,2-pointer,0,46-67,'UTA',trails
893,893,893,200202050MEM,24.0,5.0,3rd quarter,2:08.0,Rusty LaRue,UTA,False,2-pointer,0,46-67,'UTA',trails
895,895,895,200202050MEM,7.0,24.0,3rd quarter,0:45.8,Rusty LaRue,UTA,False,3-pointer,26,46-70,'UTA',trails
896,896,896,200202050MEM,39.3,5.4,3rd quarter,0:28.8,Rusty LaRue,UTA,False,2-pointer,15,46-72,'UTA',trails
898,898,898,200202050MEM,24.0,5.0,3rd quarter,0:02.4,Rusty LaRue,UTA,False,2-pointer,0,48-72,'UTA',trails
903,903,903,200202050MEM,24.7,29.9,4th quarter,8:27.0,Rusty LaRue,UTA,False,3-pointer,25,52-79,'UTA',trails
908,908,908,200202050MEM,24.0,5.0,4th quarter,5:45.0,Rusty LaRue,UTA,False,2-pointer,0,57-81,'UTA',trails
912,912,912,200202050MEM,38.4,18.5,4th quarter,3:37.0,Rusty LaRue,UTA,False,2-pointer,20,61-85,'UTA',trails
916,916,916,200202050MEM,40.7,23.6,4th quarter,0:21.8,Rusty LaRue,UTA,True,3-pointer,25,76-86,'UTA',trails
917,917,917,200202050MEM,34.8,27.4,4th quarter,0:07.2,Rusty LaRue,UTA,False,3-pointer,25,77-86,'UTA',trails
968,968,968,200202120IND,22.2,5.0,1st quarter,4:49.0,Rusty LaRue,UTA,False,2-pointer,2,15-9,'IND',leads
971,971,971,200202120IND,39.3,20.2,1st quarter,1:53.0,Rusty LaRue,UTA,True,2-pointer,22,19-9,'IND',leads
974,974,974,200202120IND,32.5,24.8,1st quarter,0:41.3,Rusty LaRue,UTA,False,2-pointer,22,19-11,'IND',leads
981,981,981,200202120IND,5.5,21.3,2nd quarter,8:31.0,Rusty LaRue,UTA,False,3-pointer,25,29-19,'IND',leads
