Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,match_id,shotX,shotY,quarter,time_remaining,player,team,made,shot_type,distance,score,opp,status
406,406,406,201610260LAL,25.8,5.3,2nd quarter,11:26.0,Sam Dekker,HOU,True,2-pointer,2,40-38,'HOU',leads
448,448,448,201610260LAL,23.7,5.1,4th quarter,11:04.0,Sam Dekker,HOU,True,2-pointer,2,98-92,'HOU',leads
450,450,450,201610260LAL,-0.2,1.5,4th quarter,9:59.0,Sam Dekker,HOU,False,3-pointer,24,98-94,'HOU',leads
200,200,200,201610280DAL,7.5,22.0,1st quarter,1:25.0,Sam Dekker,HOU,False,3-pointer,25,21-21,'HOU',tied
205,205,205,201610280DAL,22.3,3.2,2nd quarter,10:38.0,Sam Dekker,HOU,True,2-pointer,1,28-25,'HOU',leads
208,208,208,201610280DAL,15.9,25.9,2nd quarter,9:08.0,Sam Dekker,HOU,False,3-pointer,24,30-28,'HOU',leads
282,282,282,201610300HOU,5.6,21.0,2nd quarter,9:09.0,Sam Dekker,HOU,True,3-pointer,25,43-29,'DAL',leads
284,284,284,201610300HOU,25.2,28.9,2nd quarter,8:03.0,Sam Dekker,HOU,True,3-pointer,25,48-31,'DAL',leads
318,318,318,201610300HOU,0.5,3.2,3rd quarter,0:53.0,Sam Dekker,HOU,True,3-pointer,23,79-70,'DAL',leads
320,320,320,201610300HOU,27.3,7.6,4th quarter,10:46.0,Sam Dekker,HOU,False,2-pointer,5,82-70,'DAL',leads
17,17,17,201611010CLE,14.6,25.3,1st quarter,3:40.0,Sam Dekker,HOU,False,3-pointer,24,24-20,'HOU',leads
19,19,19,201611010CLE,27.0,7.7,1st quarter,2:34.0,Sam Dekker,HOU,False,2-pointer,5,26-25,'HOU',leads
37,37,37,201611010CLE,23.9,3.0,2nd quarter,4:01.0,Sam Dekker,HOU,True,2-pointer,0,49-53,'HOU',trails
40,40,40,201611010CLE,25.9,3.7,2nd quarter,2:53.0,Sam Dekker,HOU,True,2-pointer,2,51-58,'HOU',trails
46,46,46,201611010CLE,15.1,29.2,2nd quarter,0:00.0,Sam Dekker,HOU,False,3-pointer,27,59-63,'HOU',trails
62,62,62,201611010CLE,1.2,13.0,3rd quarter,3:29.0,Sam Dekker,HOU,False,3-pointer,24,74-80,'HOU',trails
64,64,64,201611010CLE,24.9,2.4,3rd quarter,2:48.0,Sam Dekker,HOU,True,2-pointer,1,78-81,'HOU',trails
65,65,65,201611010CLE,23.9,4.1,3rd quarter,1:59.0,Sam Dekker,HOU,False,2-pointer,1,78-83,'HOU',trails
1031,1031,1031,201611020NYK,22.3,5.4,1st quarter,1:01.0,Sam Dekker,HOU,False,2-pointer,2,29-21,'HOU',leads
1039,1039,1039,201611020NYK,47.2,8.7,2nd quarter,8:56.0,Sam Dekker,HOU,False,3-pointer,23,43-30,'HOU',leads
1075,1075,1075,201611020NYK,23.4,2.9,3rd quarter,1:53.0,Sam Dekker,HOU,True,2-pointer,0,92-76,'HOU',leads
1095,1095,1095,201611020NYK,24.6,3.7,4th quarter,2:40.0,Sam Dekker,HOU,False,2-pointer,0,114-91,'HOU',leads
1099,1099,1099,201611020NYK,24.9,3.2,4th quarter,0:54.0,Sam Dekker,HOU,True,2-pointer,1,118-96,'HOU',leads
24,24,24,201611050ATL,25.9,3.7,2nd quarter,11:31.0,Sam Dekker,HOU,False,2-pointer,2,30-30,'HOU',tied
25,25,25,201611050ATL,47.3,6.8,2nd quarter,10:23.0,Sam Dekker,HOU,True,3-pointer,24,33-31,'HOU',leads
27,27,27,201611050ATL,24.0,27.2,2nd quarter,8:20.0,Sam Dekker,HOU,False,3-pointer,24,33-37,'HOU',trails
28,28,28,201611050ATL,25.4,3.8,2nd quarter,7:39.0,Sam Dekker,HOU,False,2-pointer,2,33-39,'HOU',trails
57,57,57,201611050ATL,0.7,5.3,3rd quarter,3:15.0,Sam Dekker,HOU,False,3-pointer,23,79-89,'HOU',trails
60,60,60,201611050ATL,25.0,2.9,3rd quarter,2:34.0,Sam Dekker,HOU,False,2-pointer,1,79-89,'HOU',trails
1029,1029,1029,201611070WAS,24.0,28.7,2nd quarter,9:31.0,Sam Dekker,HOU,True,3-pointer,26,28-34,'HOU',trails
1064,1064,1064,201611070WAS,23.6,3.2,3rd quarter,2:02.0,Sam Dekker,HOU,True,2-pointer,0,81-78,'HOU',leads
1066,1066,1066,201611070WAS,12.5,26.7,3rd quarter,1:15.0,Sam Dekker,HOU,False,3-pointer,26,81-83,'HOU',trails
1541,1541,1541,201611090SAS,25.2,3.3,1st quarter,2:37.0,Sam Dekker,HOU,True,2-pointer,1,24-18,'SAS',leads
1542,1542,1542,201611090SAS,6.4,21.0,1st quarter,2:03.0,Sam Dekker,HOU,True,3-pointer,25,27-18,'SAS',leads
1543,1543,1543,201611090SAS,25.0,3.7,1st quarter,1:31.0,Sam Dekker,HOU,True,2-pointer,1,29-18,'SAS',leads
1564,1564,1564,201611090SAS,25.4,5.6,2nd quarter,2:07.0,Sam Dekker,HOU,False,2-pointer,3,53-51,'SAS',leads
1567,1567,1567,201611090SAS,3.3,18.9,2nd quarter,0:00.0,Sam Dekker,HOU,True,3-pointer,26,63-60,'SAS',leads
671,671,671,201611120HOU,0.3,15.0,3rd quarter,3:16.0,Sam Dekker,HOU,True,3-pointer,27,66-71,'SAS',trails
675,675,675,201611120HOU,31.1,27.9,3rd quarter,1:08.0,Sam Dekker,HOU,False,3-pointer,26,68-77,'SAS',trails
676,676,676,201611120HOU,25.9,6.8,3rd quarter,0:33.0,Sam Dekker,HOU,True,2-pointer,4,70-80,'SAS',trails
305,305,305,201611140HOU,24.0,3.1,2nd quarter,4:38.0,Sam Dekker,HOU,True,2-pointer,0,57-40,'HOU',leads
332,332,332,201611140HOU,25.2,5.6,3rd quarter,5:05.0,Sam Dekker,HOU,True,2-pointer,2,85-63,'HOU',leads
342,342,342,201611140HOU,42.1,21.0,4th quarter,9:46.0,Sam Dekker,HOU,False,3-pointer,25,95-70,'HOU',leads
356,356,356,201611140HOU,23.9,6.1,4th quarter,2:11.0,Sam Dekker,HOU,False,2-pointer,3,112-86,'HOU',leads
1025,1025,1025,201611160OKC,3.1,16.4,1st quarter,4:15.0,Sam Dekker,HOU,True,3-pointer,25,18-21,'HOU',trails
1030,1030,1030,201611160OKC,46.5,5.8,1st quarter,1:25.0,Sam Dekker,HOU,True,3-pointer,23,27-33,'HOU',trails
1035,1035,1035,201611160OKC,24.4,4.1,2nd quarter,11:25.0,Sam Dekker,HOU,True,2-pointer,1,36-38,'HOU',trails
1080,1080,1080,201611160OKC,2.1,7.7,4th quarter,11:27.0,Sam Dekker,HOU,True,2-pointer,22,92-85,'HOU',leads
1084,1084,1084,201611160OKC,26.5,4.1,4th quarter,9:31.0,Sam Dekker,HOU,False,2-pointer,3,96-92,'HOU',leads
112,112,112,201611170HOU,31.3,4.6,2nd quarter,11:48.0,Sam Dekker,HOU,True,2-pointer,7,43-29,'POR',leads
113,113,113,201611170HOU,1.3,3.8,2nd quarter,11:08.0,Sam Dekker,HOU,False,3-pointer,23,43-30,'POR',leads
179,179,179,201611170HOU,45.0,9.5,4th quarter,1:39.0,Sam Dekker,HOU,True,2-pointer,22,126-106,'POR',leads
268,268,268,201611190HOU,24.0,3.1,2nd quarter,10:09.0,Sam Dekker,HOU,True,2-pointer,0,35-26,'HOU',leads
314,314,314,201611190HOU,1.0,6.1,4th quarter,10:33.0,Sam Dekker,HOU,False,3-pointer,23,83-73,'HOU',leads
175,175,175,201611210DET,23.1,3.2,1st quarter,1:33.0,Sam Dekker,HOU,True,2-pointer,1,16-22,'HOU',trails
177,177,177,201611210DET,24.2,3.3,1st quarter,0:47.0,Sam Dekker,HOU,True,2-pointer,0,18-22,'HOU',trails
179,179,179,201611210DET,24.9,3.2,2nd quarter,11:30.0,Sam Dekker,HOU,False,2-pointer,1,18-25,'HOU',trails
186,186,186,201611210DET,24.0,3.2,2nd quarter,8:26.0,Sam Dekker,HOU,True,2-pointer,0,27-33,'HOU',trails
189,189,189,201611210DET,4.8,21.3,2nd quarter,6:53.0,Sam Dekker,HOU,True,3-pointer,27,34-39,'HOU',trails
190,190,190,201611210DET,-0.1,3.7,2nd quarter,5:32.0,Sam Dekker,HOU,True,3-pointer,24,38-39,'HOU',trails
196,196,196,201611210DET,24.0,3.8,2nd quarter,0:56.0,Sam Dekker,HOU,False,2-pointer,1,48-46,'HOU',leads
197,197,197,201611210DET,3.1,4.1,2nd quarter,0:39.0,Sam Dekker,HOU,False,2-pointer,21,48-46,'HOU',leads
1145,1145,1145,201611230HOU,20.3,27.7,2nd quarter,10:53.0,Sam Dekker,HOU,True,3-pointer,25,23-24,'HOU',trails
1149,1149,1149,201611230HOU,11.5,25.4,2nd quarter,8:41.0,Sam Dekker,HOU,False,3-pointer,26,28-33,'HOU',trails
1153,1153,1153,201611230HOU,4.4,18.4,2nd quarter,6:12.0,Sam Dekker,HOU,False,3-pointer,25,32-38,'HOU',trails
1155,1155,1155,201611230HOU,24.6,5.6,2nd quarter,5:43.0,Sam Dekker,HOU,False,2-pointer,3,32-38,'HOU',trails
1177,1177,1177,201611230HOU,23.4,5.3,3rd quarter,3:03.0,Sam Dekker,HOU,False,2-pointer,2,67-83,'HOU',trails
2251,2251,2251,201611250SAC,19.7,27.4,1st quarter,2:55.0,Sam Dekker,HOU,True,3-pointer,25,31-19,'HOU',leads
2261,2261,2261,201611250SAC,4.1,17.9,2nd quarter,9:35.0,Sam Dekker,HOU,False,3-pointer,25,49-24,'HOU',leads
2296,2296,2296,201611250SAC,13.0,25.8,4th quarter,11:39.0,Sam Dekker,HOU,False,3-pointer,25,90-74,'HOU',leads
1228,1228,1228,201611270POR,46.7,3.2,1st quarter,2:44.0,Sam Dekker,HOU,False,3-pointer,23,27-28,'POR',trails
1234,1234,1234,201611270POR,23.8,3.2,1st quarter,0:01.0,Sam Dekker,HOU,True,2-pointer,0,35-35,'POR',tied
