Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,match_id,shotX,shotY,quarter,time_remaining,player,team,made,shot_type,distance,score,opp,status
613,613,613,200110310MIA,21.7,23.8,4th quarter,11:45.0,Sam Mack,MIA,False,2-pointer,19,71-66,'MIA',leads
856,856,856,200111020MIA,26.4,30.1,1st quarter,2:30.0,Sam Mack,MIA,True,3-pointer,25,20-22,'MIA',trails
904,904,904,200111020MIA,13.1,21.5,4th quarter,9:18.0,Sam Mack,MIA,False,2-pointer,20,67-77,'MIA',trails
905,905,905,200111020MIA,13.1,27.8,4th quarter,8:50.0,Sam Mack,MIA,False,3-pointer,25,67-80,'MIA',trails
916,916,916,200111020MIA,7.8,14.1,4th quarter,1:37.0,Sam Mack,MIA,False,2-pointer,19,83-86,'MIA',trails
617,617,617,200111060MIA,0.7,6.5,2nd quarter,7:38.0,Sam Mack,MIA,False,3-pointer,23,31-24,'MIA',leads
620,620,620,200111060MIA,38.2,24.8,2nd quarter,6:05.0,Sam Mack,MIA,True,3-pointer,24,34-29,'MIA',leads
621,621,621,200111060MIA,5.7,20.8,2nd quarter,4:37.0,Sam Mack,MIA,True,3-pointer,24,37-30,'MIA',leads
622,622,622,200111060MIA,25.1,9.2,2nd quarter,3:58.0,Sam Mack,MIA,False,2-pointer,4,37-31,'MIA',leads
623,623,623,200111060MIA,6.4,23.1,2nd quarter,2:31.0,Sam Mack,MIA,False,3-pointer,25,39-32,'MIA',leads
645,645,645,200111060MIA,3.6,18.5,4th quarter,10:46.0,Sam Mack,MIA,True,3-pointer,24,72-63,'MIA',leads
649,649,649,200111060MIA,30.2,29.1,4th quarter,9:07.0,Sam Mack,MIA,False,3-pointer,25,76-65,'MIA',leads
651,651,651,200111060MIA,0.7,6.5,4th quarter,8:07.0,Sam Mack,MIA,False,3-pointer,23,76-67,'MIA',leads
654,654,654,200111060MIA,13.1,17.5,4th quarter,6:15.0,Sam Mack,MIA,False,2-pointer,17,78-71,'MIA',leads
666,666,666,200111060MIA,20.9,11.6,1st overtime,1:55.0,Sam Mack,MIA,True,2-pointer,7,85-80,'MIA',leads
485,485,485,200111080MIL,24.0,5.0,2nd quarter,8:35.0,Sam Mack,MIA,False,2-pointer,0,24-30,'MIA',trails
750,750,750,200111100MIA,13.7,24.4,2nd quarter,0:00.1,Sam Mack,MIA,False,2-pointer,22,31-49,'MIA',trails
791,791,791,200111100MIA,24.0,5.0,4th quarter,0:31.6,Sam Mack,MIA,True,2-pointer,0,75-90,'MIA',trails
792,792,792,200111100MIA,0.0,13.5,4th quarter,0:00.1,Sam Mack,MIA,False,3-pointer,25,75-90,'MIA',trails
