Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,match_id,shotX,shotY,quarter,time_remaining,player,team,made,shot_type,distance,score,opp,status
165,165,165,200010310CHI,10.6,5.7,2nd quarter,10:29.0,Scot Pollard,SAC,False,2-pointer,13,25-24,'SAC',leads
200,200,200,200010310CHI,24.0,5.0,4th quarter,11:40.0,Scot Pollard,SAC,True,2-pointer,0,71-64,'SAC',leads
204,204,204,200010310CHI,24.0,5.0,4th quarter,8:38.0,Scot Pollard,SAC,False,2-pointer,0,74-67,'SAC',leads
210,210,210,200010310CHI,24.0,5.0,4th quarter,3:52.0,Scot Pollard,SAC,True,2-pointer,0,88-73,'SAC',leads
360,360,360,200011010CLE,12.7,4.8,3rd quarter,0:24.9,Scot Pollard,SAC,False,2-pointer,11,62-67,'SAC',trails
367,367,367,200011010CLE,25.6,6.7,4th quarter,5:22.0,Scot Pollard,SAC,True,2-pointer,2,73-79,'SAC',trails
374,374,374,200011010CLE,23.6,6.3,4th quarter,0:03.9,Scot Pollard,SAC,True,2-pointer,1,88-86,'SAC',leads
375,375,375,200011010CLE,24.1,6.7,1st overtime,4:24.0,Scot Pollard,SAC,False,2-pointer,2,88-88,'SAC',tied
378,378,378,200011010CLE,24.1,7.3,1st overtime,3:06.0,Scot Pollard,SAC,True,2-pointer,2,92-88,'SAC',leads
383,383,383,200011010CLE,24.1,6.7,2nd overtime,2:37.0,Scot Pollard,SAC,False,2-pointer,2,98-100,'SAC',trails
455,455,455,200011030DET,24.0,5.0,1st quarter,10:26.0,Scot Pollard,SAC,False,2-pointer,0,4-2,'SAC',leads
457,457,457,200011030DET,24.0,5.0,1st quarter,9:25.0,Scot Pollard,SAC,True,2-pointer,0,6-4,'SAC',leads
460,460,460,200011030DET,24.0,5.0,1st quarter,8:33.0,Scot Pollard,SAC,True,2-pointer,0,8-6,'SAC',leads
466,466,466,200011030DET,24.0,5.0,1st quarter,5:46.0,Scot Pollard,SAC,True,2-pointer,0,14-12,'SAC',leads
469,469,469,200011030DET,24.0,5.0,1st quarter,4:32.0,Scot Pollard,SAC,True,2-pointer,0,16-16,'SAC',tied
471,471,471,200011030DET,24.0,5.0,1st quarter,3:00.0,Scot Pollard,SAC,True,2-pointer,0,21-16,'SAC',leads
474,474,474,200011030DET,24.0,5.0,1st quarter,1:40.0,Scot Pollard,SAC,False,2-pointer,0,23-20,'SAC',leads
475,475,475,200011030DET,24.0,5.0,1st quarter,1:37.0,Scot Pollard,SAC,False,2-pointer,0,23-20,'SAC',leads
477,477,477,200011030DET,24.0,5.0,1st quarter,0:56.3,Scot Pollard,SAC,False,2-pointer,0,25-22,'SAC',leads
515,515,515,200011030DET,24.0,5.0,3rd quarter,4:51.0,Scot Pollard,SAC,False,2-pointer,0,63-67,'SAC',trails
519,519,519,200011030DET,24.0,5.0,3rd quarter,3:03.0,Scot Pollard,SAC,True,2-pointer,0,68-67,'SAC',leads
523,523,523,200011030DET,24.0,5.0,3rd quarter,0:22.6,Scot Pollard,SAC,True,2-pointer,0,78-69,'SAC',leads
527,527,527,200011030DET,25.6,11.3,4th quarter,9:43.0,Scot Pollard,SAC,False,2-pointer,7,84-75,'SAC',leads
529,529,529,200011030DET,29.1,10.7,4th quarter,8:38.0,Scot Pollard,SAC,False,2-pointer,8,87-77,'SAC',leads
535,535,535,200011030DET,24.0,5.0,4th quarter,5:31.0,Scot Pollard,SAC,False,2-pointer,0,90-81,'SAC',leads
1416,1416,1416,200011040MIN,24.0,5.0,1st quarter,0:00.7,Scot Pollard,SAC,False,2-pointer,0,23-32,'SAC',trails
1421,1421,1421,200011040MIN,20.1,8.8,2nd quarter,9:08.0,Scot Pollard,SAC,False,2-pointer,5,30-36,'SAC',trails
1425,1425,1425,200011040MIN,24.0,5.0,2nd quarter,6:36.0,Scot Pollard,SAC,False,2-pointer,0,34-41,'SAC',trails
1426,1426,1426,200011040MIN,24.0,5.0,2nd quarter,6:34.0,Scot Pollard,SAC,False,2-pointer,0,34-41,'SAC',trails
1427,1427,1427,200011040MIN,24.0,5.0,2nd quarter,6:31.0,Scot Pollard,SAC,False,2-pointer,0,34-41,'SAC',trails
1455,1455,1455,200011040MIN,22.2,8.2,4th quarter,11:03.0,Scot Pollard,SAC,False,2-pointer,4,70-81,'SAC',trails
1474,1474,1474,200011040MIN,16.5,10.5,4th quarter,1:16.0,Scot Pollard,SAC,False,2-pointer,9,86-99,'SAC',trails
