Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,match_id,shotX,shotY,quarter,time_remaining,player,team,made,shot_type,distance,score,opp,status
1456,1456,1456,200010310SAS,45.0,16.4,1st quarter,11:27.0,Sean Elliott,SAS,True,3-pointer,24,3-2,'SAS',leads
1458,1458,1458,200010310SAS,42.0,21.5,1st quarter,10:48.0,Sean Elliott,SAS,False,3-pointer,24,3-2,'SAS',leads
1482,1482,1482,200010310SAS,43.5,6.7,2nd quarter,6:18.0,Sean Elliott,SAS,False,2-pointer,20,34-26,'SAS',leads
1484,1484,1484,200010310SAS,40.5,5.2,2nd quarter,5:13.0,Sean Elliott,SAS,True,2-pointer,17,38-30,'SAS',leads
1485,1485,1485,200010310SAS,47.1,1.8,2nd quarter,4:41.0,Sean Elliott,SAS,True,3-pointer,23,41-30,'SAS',leads
1488,1488,1488,200010310SAS,37.8,16.4,2nd quarter,2:53.0,Sean Elliott,SAS,False,2-pointer,18,45-32,'SAS',leads
1514,1514,1514,200010310SAS,10.8,27.6,4th quarter,2:47.0,Sean Elliott,SAS,False,3-pointer,26,87-79,'SAS',leads
1019,1019,1019,200011020SAS,19.0,29.5,1st quarter,5:38.0,Sean Elliott,SAS,True,3-pointer,25,15-12,SAS,leads
1041,1041,1041,200011020SAS,46.6,5.4,2nd quarter,5:12.0,Sean Elliott,SAS,True,3-pointer,23,35-38,SAS,trails
1059,1059,1059,200011020SAS,15.4,6.5,3rd quarter,7:28.0,Sean Elliott,SAS,False,2-pointer,9,54-59,SAS,trails
602,602,602,200011040GSW,24.0,5.0,1st quarter,11:27.0,Sean Elliott,SAS,False,2-pointer,0,0-2,'SAS',trails
604,604,604,200011040GSW,24.0,5.0,1st quarter,9:50.0,Sean Elliott,SAS,True,2-pointer,0,2-6,'SAS',trails
616,616,616,200011040GSW,24.0,5.0,1st quarter,5:01.0,Sean Elliott,SAS,False,2-pointer,0,9-15,'SAS',trails
643,643,643,200011040GSW,46.4,7.1,2nd quarter,4:22.0,Sean Elliott,SAS,True,3-pointer,23,47-38,'SAS',leads
645,645,645,200011040GSW,15.8,18.9,2nd quarter,2:01.0,Sean Elliott,SAS,True,2-pointer,16,52-45,'SAS',leads
649,649,649,200011040GSW,24.0,5.0,2nd quarter,0:03.7,Sean Elliott,SAS,True,2-pointer,0,59-46,'SAS',leads
654,654,654,200011040GSW,0.9,4.6,3rd quarter,7:17.0,Sean Elliott,SAS,True,3-pointer,23,70-57,'SAS',leads
657,657,657,200011040GSW,7.2,23.4,3rd quarter,5:46.0,Sean Elliott,SAS,True,3-pointer,25,75-59,'SAS',leads
660,660,660,200011040GSW,24.0,5.0,3rd quarter,3:48.0,Sean Elliott,SAS,True,2-pointer,0,81-62,'SAS',leads
682,682,682,200011040GSW,0.9,3.5,4th quarter,3:03.0,Sean Elliott,SAS,False,3-pointer,23,107-96,'SAS',leads
468,468,468,200011070PHO,38.2,14.1,1st quarter,9:08.0,Sean Elliott,SAS,True,2-pointer,17,6-6,'SAS',tied
470,470,470,200011070PHO,24.0,5.0,1st quarter,7:46.0,Sean Elliott,SAS,False,2-pointer,0,6-6,'SAS',tied
472,472,472,200011070PHO,20.7,7.8,1st quarter,6:56.0,Sean Elliott,SAS,False,2-pointer,4,8-8,'SAS',tied
500,500,500,200011070PHO,43.9,19.1,3rd quarter,10:24.0,Sean Elliott,SAS,True,3-pointer,24,43-53,'SAS',trails
502,502,502,200011070PHO,22.8,28.8,3rd quarter,9:03.0,Sean Elliott,SAS,False,3-pointer,24,45-55,'SAS',trails
518,518,518,200011070PHO,15.0,6.5,4th quarter,10:07.0,Sean Elliott,SAS,True,2-pointer,9,65-80,'SAS',trails
522,522,522,200011070PHO,40.3,16.8,4th quarter,8:20.0,Sean Elliott,SAS,False,2-pointer,20,66-82,'SAS',trails
527,527,527,200011070PHO,24.0,5.0,4th quarter,6:40.0,Sean Elliott,SAS,False,2-pointer,0,68-86,'SAS',trails
530,530,530,200011070PHO,24.0,5.0,4th quarter,5:06.0,Sean Elliott,SAS,True,2-pointer,0,74-88,'SAS',trails
1539,1539,1539,200011080SAS,6.8,9.9,1st quarter,11:34.0,Sean Elliott,SAS,False,2-pointer,18,0-0,'SAS',tied
1583,1583,1583,200011080SAS,23.2,5.0,3rd quarter,11:18.0,Sean Elliott,SAS,False,2-pointer,1,50-41,'SAS',leads
1587,1587,1587,200011080SAS,24.3,3.7,3rd quarter,9:15.0,Sean Elliott,SAS,True,2-pointer,1,54-43,'SAS',leads
1608,1608,1608,200011080SAS,23.2,5.0,4th quarter,5:41.0,Sean Elliott,SAS,True,2-pointer,1,82-74,'SAS',leads
1611,1611,1611,200011080SAS,46.6,9.2,4th quarter,3:49.0,Sean Elliott,SAS,False,3-pointer,23,83-76,'SAS',leads
161,161,161,200011100DAL,47.3,6.5,1st quarter,10:27.0,Sean Elliott,SAS,True,3-pointer,23,5-0,'SAS',leads
164,164,164,200011100DAL,13.9,28.4,1st quarter,9:14.0,Sean Elliott,SAS,False,3-pointer,25,5-2,'SAS',leads
171,171,171,200011100DAL,37.2,17.0,1st quarter,5:56.0,Sean Elliott,SAS,True,2-pointer,18,17-6,'SAS',leads
187,187,187,200011100DAL,7.4,7.6,2nd quarter,7:28.0,Sean Elliott,SAS,True,2-pointer,17,29-30,'SAS',trails
189,189,189,200011100DAL,33.8,23.8,2nd quarter,5:32.0,Sean Elliott,SAS,True,2-pointer,21,33-32,'SAS',leads
191,191,191,200011100DAL,30.2,9.9,2nd quarter,4:02.0,Sean Elliott,SAS,False,2-pointer,8,33-36,'SAS',trails
192,192,192,200011100DAL,25.1,8.6,2nd quarter,3:45.0,Sean Elliott,SAS,False,2-pointer,4,33-36,'SAS',trails
203,203,203,200011100DAL,24.0,5.0,3rd quarter,10:29.0,Sean Elliott,SAS,True,2-pointer,0,41-42,'SAS',trails
212,212,212,200011100DAL,23.9,21.7,3rd quarter,6:14.0,Sean Elliott,SAS,False,2-pointer,17,45-46,'SAS',trails
215,215,215,200011100DAL,25.8,9.2,3rd quarter,4:06.0,Sean Elliott,SAS,False,2-pointer,5,50-51,'SAS',trails
239,239,239,200011100DAL,24.0,5.0,4th quarter,0:19.9,Sean Elliott,SAS,False,2-pointer,0,74-76,'SAS',trails
240,240,240,200011100DAL,24.0,5.0,4th quarter,0:08.0,Sean Elliott,SAS,False,2-pointer,0,74-77,'SAS',trails
1459,1459,1459,200011110SAS,0.2,3.1,1st quarter,11:47.0,Sean Elliott,SAS,False,3-pointer,24,0-0,'SAS',tied
1462,1462,1462,200011110SAS,23.9,5.9,1st quarter,10:38.0,Sean Elliott,SAS,True,2-pointer,1,4-0,'SAS',leads
1473,1473,1473,200011110SAS,23.2,12.0,1st quarter,4:02.0,Sean Elliott,SAS,False,2-pointer,7,15-14,'SAS',leads
1488,1488,1488,200011110SAS,16.9,30.1,2nd quarter,4:14.0,Sean Elliott,SAS,False,3-pointer,26,31-46,'SAS',trails
1504,1504,1504,200011110SAS,25.8,5.4,3rd quarter,4:48.0,Sean Elliott,SAS,True,2-pointer,2,57-64,'SAS',trails
1507,1507,1507,200011110SAS,26.4,5.9,3rd quarter,2:11.0,Sean Elliott,SAS,True,2-pointer,3,62-64,'SAS',trails
1508,1508,1508,200011110SAS,11.6,23.8,3rd quarter,1:40.0,Sean Elliott,SAS,False,2-pointer,23,62-64,'SAS',trails
1509,1509,1509,200011110SAS,31.7,5.9,3rd quarter,0:58.9,Sean Elliott,SAS,False,2-pointer,8,62-64,'SAS',trails
1033,1033,1033,200011140SAS,24.3,9.2,1st quarter,11:02.0,Sean Elliott,SAS,True,2-pointer,4,4-0,'SAS',leads
1034,1034,1034,200011140SAS,23.9,25.7,1st quarter,10:11.0,Sean Elliott,SAS,False,2-pointer,21,4-3,'SAS',leads
1039,1039,1039,200011140SAS,8.3,12.0,1st quarter,7:17.0,Sean Elliott,SAS,True,2-pointer,17,11-6,'SAS',leads
1066,1066,1066,200011140SAS,25.1,5.0,2nd quarter,4:52.0,Sean Elliott,SAS,False,2-pointer,1,37-30,'SAS',leads
1067,1067,1067,200011140SAS,38.6,13.7,2nd quarter,4:16.0,Sean Elliott,SAS,True,2-pointer,17,39-30,'SAS',leads
1068,1068,1068,200011140SAS,23.9,5.9,2nd quarter,2:32.0,Sean Elliott,SAS,False,2-pointer,1,39-35,'SAS',leads
