Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,match_id,shotX,shotY,quarter,time_remaining,player,team,made,shot_type,distance,score,opp,status
377,377,377,201503190NYK,42.5,19.7,4th quarter,10:17.0,Sean Kilpatrick,MIN,False,3-pointer,24,73-73,'NYK',tied
845,845,845,201503230UTA,37.8,23.5,2nd quarter,11:05.0,Sean Kilpatrick,MIN,False,3-pointer,24,20-24,'UTA',trails
847,847,847,201503230UTA,21.9,3.3,2nd quarter,9:07.0,Sean Kilpatrick,MIN,False,2-pointer,2,23-28,'UTA',trails
848,848,848,201503230UTA,26.0,3.7,2nd quarter,9:04.0,Sean Kilpatrick,MIN,False,2-pointer,2,23-28,'UTA',trails
876,876,876,201503230UTA,27.9,23.8,4th quarter,11:16.0,Sean Kilpatrick,MIN,True,2-pointer,21,62-66,'UTA',trails
882,882,882,201503230UTA,47.1,4.2,4th quarter,8:41.0,Sean Kilpatrick,MIN,True,3-pointer,23,73-72,'UTA',leads
883,883,883,201503230UTA,38.6,22.8,4th quarter,8:06.0,Sean Kilpatrick,MIN,True,3-pointer,24,76-74,'UTA',leads
884,884,884,201503230UTA,39.2,22.7,4th quarter,7:28.0,Sean Kilpatrick,MIN,True,3-pointer,24,79-74,'UTA',leads
776,776,776,201503250MIN,22.4,13.7,2nd quarter,9:35.0,Sean Kilpatrick,MIN,False,2-pointer,10,21-28,'LAL',trails
777,777,777,201503250MIN,10.2,24.3,2nd quarter,9:25.0,Sean Kilpatrick,MIN,False,3-pointer,25,21-28,'LAL',trails
778,778,778,201503250MIN,45.4,15.4,2nd quarter,7:57.0,Sean Kilpatrick,MIN,False,3-pointer,24,25-30,'LAL',trails
782,782,782,201503250MIN,44.4,18.7,2nd quarter,5:20.0,Sean Kilpatrick,MIN,True,3-pointer,25,35-36,'LAL',trails
800,800,800,201503250MIN,32.0,27.1,3rd quarter,3:32.0,Sean Kilpatrick,MIN,False,3-pointer,25,55-64,'LAL',trails
803,803,803,201503250MIN,40.5,22.4,3rd quarter,1:34.0,Sean Kilpatrick,MIN,False,3-pointer,25,59-68,'LAL',trails
813,813,813,201503250MIN,1.1,4.7,4th quarter,7:36.0,Sean Kilpatrick,MIN,False,3-pointer,22,76-79,'LAL',trails
497,497,497,201503270HOU,24.0,3.1,2nd quarter,7:51.0,Sean Kilpatrick,MIN,True,2-pointer,0,29-40,'HOU',trails
498,498,498,201503270HOU,25.5,3.9,2nd quarter,7:25.0,Sean Kilpatrick,MIN,True,2-pointer,1,31-40,'HOU',trails
531,531,531,201503270HOU,4.9,18.4,4th quarter,8:54.0,Sean Kilpatrick,MIN,False,3-pointer,24,84-96,'HOU',trails
533,533,533,201503270HOU,22.4,4.5,4th quarter,8:00.0,Sean Kilpatrick,MIN,False,2-pointer,2,86-99,'HOU',trails
548,548,548,201503270HOU,1.7,14.3,4th quarter,0:44.0,Sean Kilpatrick,MIN,False,3-pointer,24,108-120,'HOU',trails
103,103,103,201601170DEN,46.2,5.1,1st quarter,0:31.0,Sean Kilpatrick,DEN,False,3-pointer,22,30-28,'IND',leads
110,110,110,201601170DEN,9.1,23.7,2nd quarter,10:08.0,Sean Kilpatrick,DEN,False,3-pointer,25,34-33,'IND',leads
126,126,126,201601190DEN,34.1,26.2,2nd quarter,11:39.0,Sean Kilpatrick,DEN,True,3-pointer,25,34-25,'OKC',leads
128,128,128,201601190DEN,21.8,27.9,2nd quarter,10:23.0,Sean Kilpatrick,DEN,False,3-pointer,24,37-27,'OKC',leads
162,162,162,201601190DEN,0.5,3.7,4th quarter,11:04.0,Sean Kilpatrick,DEN,False,3-pointer,23,79-84,'OKC',trails
251,251,251,201601210DEN,46.8,4.3,1st quarter,2:15.0,Sean Kilpatrick,DEN,False,3-pointer,22,17-32,'DEN',trails
260,260,260,201601210DEN,37.7,24.8,2nd quarter,9:27.0,Sean Kilpatrick,DEN,True,3-pointer,25,32-43,'DEN',trails
261,261,261,201601210DEN,0.0,2.4,2nd quarter,8:27.0,Sean Kilpatrick,DEN,False,3-pointer,24,32-45,'DEN',trails
262,262,262,201601210DEN,-0.1,2.4,2nd quarter,7:51.0,Sean Kilpatrick,DEN,False,3-pointer,24,32-46,'DEN',trails
446,446,446,201601230DEN,-0.6,3.2,2nd quarter,8:19.0,Sean Kilpatrick,DEN,False,3-pointer,24,35-39,'DET',trails
484,484,484,201601230DEN,1.5,2.0,3rd quarter,0:03.0,Sean Kilpatrick,DEN,True,3-pointer,22,84-74,'DET',leads
445,445,445,201601250DEN,27.3,4.6,1st quarter,0:59.0,Sean Kilpatrick,DEN,True,2-pointer,3,26-29,'DEN',trails
455,455,455,201601250DEN,13.1,24.4,2nd quarter,7:36.0,Sean Kilpatrick,DEN,False,3-pointer,24,35-43,'DEN',trails
491,491,491,201601250DEN,37.5,23.8,4th quarter,10:29.0,Sean Kilpatrick,DEN,False,3-pointer,24,80-94,'DEN',trails
494,494,494,201601250DEN,46.8,8.2,4th quarter,8:20.0,Sean Kilpatrick,DEN,True,3-pointer,23,87-100,'DEN',trails
507,507,507,201601250DEN,28.3,6.6,4th quarter,1:58.0,Sean Kilpatrick,DEN,True,2-pointer,5,99-117,'DEN',trails
186,186,186,201601270BOS,24.4,4.1,2nd quarter,11:16.0,Sean Kilpatrick,DEN,True,2-pointer,1,23-29,'DEN',trails
227,227,227,201601270BOS,36.8,24.8,4th quarter,9:56.0,Sean Kilpatrick,DEN,False,3-pointer,25,71-93,'DEN',trails
494,494,494,201602010DEN,11.5,25.4,4th quarter,6:06.0,Sean Kilpatrick,DEN,False,3-pointer,25,99-74,'TOR',leads
503,503,503,201602010DEN,22.0,4.1,4th quarter,1:01.0,Sean Kilpatrick,DEN,True,2-pointer,2,112-88,'TOR',leads
504,504,504,201602010DEN,8.7,23.8,4th quarter,0:18.0,Sean Kilpatrick,DEN,False,3-pointer,25,112-88,'TOR',leads
553,553,553,201603010LAL,23.4,7.6,1st quarter,2:12.0,Sean Kilpatrick,BRK,False,2-pointer,4,17-17,'LAL',tied
556,556,556,201603010LAL,3.5,18.4,1st quarter,0:00.0,Sean Kilpatrick,BRK,False,3-pointer,25,19-24,'LAL',trails
557,557,557,201603010LAL,25.9,3.7,2nd quarter,11:22.0,Sean Kilpatrick,BRK,True,2-pointer,2,21-25,'LAL',trails
562,562,562,201603010LAL,43.2,17.4,2nd quarter,9:47.0,Sean Kilpatrick,BRK,True,3-pointer,24,28-30,'LAL',trails
598,598,598,201603010LAL,26.2,3.8,4th quarter,10:37.0,Sean Kilpatrick,BRK,False,2-pointer,2,76-79,'LAL',trails
604,604,604,201603010LAL,43.2,17.4,4th quarter,8:11.0,Sean Kilpatrick,BRK,True,3-pointer,24,81-86,'LAL',trails
605,605,605,201603010LAL,25.9,3.8,4th quarter,7:35.0,Sean Kilpatrick,BRK,False,2-pointer,2,81-88,'LAL',trails
621,621,621,201603010LAL,3.5,18.4,4th quarter,0:07.0,Sean Kilpatrick,BRK,False,3-pointer,25,99-105,'LAL',trails
546,546,546,201603040DEN,24.4,11.2,2nd quarter,8:01.0,Sean Kilpatrick,BRK,True,2-pointer,8,44-34,'DEN',leads
547,547,547,201603040DEN,23.9,27.7,2nd quarter,7:28.0,Sean Kilpatrick,BRK,True,3-pointer,24,47-36,'DEN',leads
548,548,548,201603040DEN,26.0,3.8,2nd quarter,6:54.0,Sean Kilpatrick,BRK,False,2-pointer,2,47-38,'DEN',leads
554,554,554,201603040DEN,0.0,6.6,2nd quarter,4:07.0,Sean Kilpatrick,BRK,False,3-pointer,24,53-47,'DEN',leads
572,572,572,201603040DEN,0.0,9.1,3rd quarter,5:10.0,Sean Kilpatrick,BRK,True,3-pointer,24,81-78,'DEN',leads
574,574,574,201603040DEN,26.0,3.3,3rd quarter,3:25.0,Sean Kilpatrick,BRK,False,2-pointer,2,83-80,'DEN',leads
577,577,577,201603040DEN,25.7,4.1,3rd quarter,1:51.0,Sean Kilpatrick,BRK,False,2-pointer,2,86-84,'DEN',leads
579,579,579,201603040DEN,2.5,13.5,3rd quarter,0:28.0,Sean Kilpatrick,BRK,False,3-pointer,23,88-88,'DEN',tied
583,583,583,201603040DEN,24.6,5.1,4th quarter,9:49.0,Sean Kilpatrick,BRK,True,2-pointer,2,97-92,'DEN',leads
586,586,586,201603040DEN,1.7,3.8,4th quarter,7:08.0,Sean Kilpatrick,BRK,False,3-pointer,22,101-98,'DEN',leads
587,587,587,201603040DEN,39.9,17.4,4th quarter,6:46.0,Sean Kilpatrick,BRK,False,2-pointer,21,101-99,'DEN',leads
512,512,512,201603050MIN,-0.6,1.5,1st quarter,3:39.0,Sean Kilpatrick,BRK,True,3-pointer,24,18-26,'MIN',trails
517,517,517,201603050MIN,2.8,3.7,2nd quarter,11:45.0,Sean Kilpatrick,BRK,False,2-pointer,21,30-37,'MIN',trails
522,522,522,201603050MIN,22.4,4.1,2nd quarter,9:51.0,Sean Kilpatrick,BRK,False,2-pointer,1,32-42,'MIN',trails
550,550,550,201603050MIN,25.2,4.1,3rd quarter,4:09.0,Sean Kilpatrick,BRK,False,2-pointer,1,66-87,'MIN',trails
551,551,551,201603050MIN,1.8,16.4,3rd quarter,4:01.0,Sean Kilpatrick,BRK,False,3-pointer,25,66-87,'MIN',trails
555,555,555,201603050MIN,-0.5,3.2,3rd quarter,1:37.0,Sean Kilpatrick,BRK,True,3-pointer,24,74-93,'MIN',trails
556,556,556,201603050MIN,17.0,27.7,3rd quarter,1:07.0,Sean Kilpatrick,BRK,True,3-pointer,25,77-93,'MIN',trails
558,558,558,201603050MIN,22.6,22.3,3rd quarter,0:02.0,Sean Kilpatrick,BRK,False,2-pointer,19,77-97,'MIN',trails
560,560,560,201603050MIN,23.9,4.1,4th quarter,11:09.0,Sean Kilpatrick,BRK,True,2-pointer,1,83-97,'MIN',trails
562,562,562,201603050MIN,24.0,3.1,4th quarter,9:55.0,Sean Kilpatrick,BRK,True,2-pointer,0,88-100,'MIN',trails
572,572,572,201603050MIN,33.2,26.9,4th quarter,6:09.0,Sean Kilpatrick,BRK,False,3-pointer,25,96-110,'MIN',trails
573,573,573,201603050MIN,19.0,9.7,4th quarter,5:26.0,Sean Kilpatrick,BRK,False,2-pointer,8,96-112,'MIN',trails
580,580,580,201603050MIN,33.9,2.4,4th quarter,2:09.0,Sean Kilpatrick,BRK,True,2-pointer,9,109-124,'MIN',trails
706,706,706,201603080TOR,18.7,28.7,2nd quarter,10:48.0,Sean Kilpatrick,BRK,True,3-pointer,26,28-28,'TOR',tied
711,711,711,201603080TOR,-0.3,3.2,2nd quarter,8:38.0,Sean Kilpatrick,BRK,True,3-pointer,24,33-30,'TOR',leads
718,718,718,201603080TOR,20.8,5.4,2nd quarter,5:56.0,Sean Kilpatrick,BRK,False,2-pointer,4,39-33,'TOR',leads
745,745,745,201603080TOR,40.1,24.8,3rd quarter,1:11.0,Sean Kilpatrick,BRK,False,3-pointer,27,80-72,'TOR',leads
747,747,747,201603080TOR,-0.3,2.5,4th quarter,11:05.0,Sean Kilpatrick,BRK,False,3-pointer,24,80-81,'TOR',trails
748,748,748,201603080TOR,29.1,7.7,4th quarter,10:32.0,Sean Kilpatrick,BRK,False,2-pointer,6,80-84,'TOR',trails
753,753,753,201603080TOR,26.4,3.7,4th quarter,8:04.0,Sean Kilpatrick,BRK,True,2-pointer,2,84-94,'TOR',trails
1234,1234,1234,201603110PHI,15.2,10.5,1st quarter,1:47.0,Sean Kilpatrick,BRK,True,2-pointer,11,17-25,'PHI',trails
1237,1237,1237,201603110PHI,36.5,15.9,2nd quarter,11:31.0,Sean Kilpatrick,BRK,True,2-pointer,17,23-27,'PHI',trails
1283,1283,1283,201603110PHI,39.6,22.8,4th quarter,11:07.0,Sean Kilpatrick,BRK,False,3-pointer,25,67-74,'PHI',trails
1284,1284,1284,201603110PHI,25.7,6.1,4th quarter,10:58.0,Sean Kilpatrick,BRK,True,2-pointer,3,69-74,'PHI',trails
1286,1286,1286,201603110PHI,24.0,3.1,4th quarter,9:56.0,Sean Kilpatrick,BRK,True,2-pointer,0,71-74,'PHI',trails
1287,1287,1287,201603110PHI,1.8,1.9,4th quarter,8:56.0,Sean Kilpatrick,BRK,False,3-pointer,22,71-76,'PHI',trails
1290,1290,1290,201603110PHI,24.9,26.9,4th quarter,7:12.0,Sean Kilpatrick,BRK,False,3-pointer,23,73-83,'PHI',trails
281,281,281,201603130BRK,23.4,27.2,1st quarter,1:01.0,Sean Kilpatrick,BRK,False,3-pointer,24,21-25,'MIL',trails
283,283,283,201603130BRK,24.0,3.1,1st quarter,0:29.0,Sean Kilpatrick,BRK,False,2-pointer,0,23-25,'MIL',trails
286,286,286,201603130BRK,30.0,6.1,2nd quarter,10:34.0,Sean Kilpatrick,BRK,False,2-pointer,6,25-31,'MIL',trails
288,288,288,201603130BRK,8.2,18.1,2nd quarter,8:34.0,Sean Kilpatrick,BRK,True,2-pointer,21,30-35,'MIL',trails
289,289,289,201603130BRK,23.4,11.7,2nd quarter,7:44.0,Sean Kilpatrick,BRK,True,2-pointer,8,32-37,'MIL',trails
290,290,290,201603130BRK,17.0,19.0,2nd quarter,7:22.0,Sean Kilpatrick,BRK,True,2-pointer,17,34-37,'MIL',trails
291,291,291,201603130BRK,20.5,27.4,2nd quarter,6:51.0,Sean Kilpatrick,BRK,False,3-pointer,24,34-37,'MIL',trails
319,319,319,201603130BRK,23.3,29.7,4th quarter,11:44.0,Sean Kilpatrick,BRK,True,3-pointer,26,82-78,'MIL',leads
320,320,320,201603130BRK,47.5,10.5,4th quarter,10:26.0,Sean Kilpatrick,BRK,True,3-pointer,24,85-82,'MIL',leads
323,323,323,201603130BRK,1.0,4.3,4th quarter,6:51.0,Sean Kilpatrick,BRK,True,3-pointer,23,94-89,'MIL',leads
326,326,326,201603130BRK,32.9,20.8,4th quarter,4:09.0,Sean Kilpatrick,BRK,True,2-pointer,19,98-97,'MIL',leads
328,328,328,201603130BRK,37.2,24.4,4th quarter,1:24.0,Sean Kilpatrick,BRK,False,3-pointer,25,98-102,'MIL',trails
330,330,330,201603130BRK,22.4,2.4,4th quarter,0:25.0,Sean Kilpatrick,BRK,True,2-pointer,1,100-109,'MIL',trails
109,109,109,201603150BRK,30.3,15.9,1st quarter,1:29.0,Sean Kilpatrick,BRK,False,2-pointer,14,28-11,'PHI',leads
112,112,112,201603150BRK,23.6,28.2,2nd quarter,10:27.0,Sean Kilpatrick,BRK,False,3-pointer,25,35-19,'PHI',leads
117,117,117,201603150BRK,16.9,24.8,2nd quarter,8:01.0,Sean Kilpatrick,BRK,True,2-pointer,22,47-28,'PHI',leads
122,122,122,201603150BRK,15.9,8.1,2nd quarter,5:29.0,Sean Kilpatrick,BRK,False,2-pointer,9,51-33,'PHI',leads
