Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,match_id,shotX,shotY,quarter,time_remaining,player,team,made,shot_type,distance,score,opp,status
189,189,189,200511020CHI,8.1,18.3,1st quarter,1:43.0,Sean May,CHA,False,2-pointer,21,24-18,'CHA',leads
191,191,191,200511020CHI,24.0,5.0,1st quarter,0:31.4,Sean May,CHA,True,2-pointer,0,28-18,'CHA',leads
193,193,193,200511020CHI,37.6,22.4,2nd quarter,10:36.0,Sean May,CHA,False,2-pointer,22,30-24,'CHA',leads
196,196,196,200511020CHI,21.2,9.6,2nd quarter,9:54.0,Sean May,CHA,False,2-pointer,5,30-24,'CHA',leads
210,210,210,200511020CHI,7.6,4.1,2nd quarter,1:49.0,Sean May,CHA,True,2-pointer,16,53-34,'CHA',leads
211,211,211,200511020CHI,32.0,23.3,2nd quarter,1:19.0,Sean May,CHA,False,2-pointer,20,53-36,'CHA',leads
229,229,229,200511020CHI,24.0,5.0,3rd quarter,3:14.0,Sean May,CHA,False,2-pointer,0,81-60,'CHA',leads
232,232,232,200511020CHI,19.2,8.8,3rd quarter,0:37.9,Sean May,CHA,False,2-pointer,6,88-66,'CHA',leads
234,234,234,200511020CHI,24.0,5.0,4th quarter,11:37.0,Sean May,CHA,True,2-pointer,0,91-68,'CHA',leads
236,236,236,200511020CHI,8.7,13.9,4th quarter,10:59.0,Sean May,CHA,False,2-pointer,18,91-70,'CHA',leads
949,949,949,200511040PHI,24.0,5.0,1st quarter,0:28.6,Sean May,CHA,True,2-pointer,0,25-20,'CHA',leads
952,952,952,200511040PHI,37.5,5.0,2nd quarter,11:32.0,Sean May,CHA,False,2-pointer,14,26-22,'CHA',leads
955,955,955,200511040PHI,39.6,9.8,2nd quarter,9:04.0,Sean May,CHA,True,2-pointer,16,33-28,'CHA',leads
983,983,983,200511040PHI,34.3,4.9,3rd quarter,4:55.0,Sean May,CHA,True,2-pointer,10,72-59,'CHA',leads
984,984,984,200511040PHI,19.2,21.4,3rd quarter,4:01.0,Sean May,CHA,True,2-pointer,17,74-59,'CHA',leads
985,985,985,200511040PHI,23.8,10.1,3rd quarter,2:35.0,Sean May,CHA,True,2-pointer,5,76-59,'CHA',leads
986,986,986,200511040PHI,19.7,25.6,3rd quarter,1:51.0,Sean May,CHA,False,2-pointer,21,77-60,'CHA',leads
988,988,988,200511040PHI,24.0,5.0,3rd quarter,1:29.0,Sean May,CHA,False,2-pointer,0,77-60,'CHA',leads
989,989,989,200511040PHI,25.1,16.4,3rd quarter,1:05.0,Sean May,CHA,False,2-pointer,11,77-62,'CHA',leads
104,104,104,200511050CHA,31.2,25.6,2nd quarter,9:52.0,Sean May,CHA,False,2-pointer,22,28-34,'BOS',trails
108,108,108,200511050CHA,24.0,5.0,2nd quarter,6:36.0,Sean May,CHA,True,2-pointer,0,39-43,'BOS',trails
118,118,118,200511050CHA,8.2,13.2,2nd quarter,0:24.9,Sean May,CHA,False,2-pointer,18,55-57,'BOS',trails
128,128,128,200511050CHA,8.1,8.6,3rd quarter,4:30.0,Sean May,CHA,False,2-pointer,16,67-73,'BOS',trails
133,133,133,200511050CHA,34.5,6.8,3rd quarter,1:59.0,Sean May,CHA,True,2-pointer,11,74-81,'BOS',trails
135,135,135,200511050CHA,37.1,17.5,3rd quarter,0:03.9,Sean May,CHA,False,2-pointer,18,76-87,'BOS',trails
136,136,136,200511050CHA,24.0,5.0,3rd quarter,0:00.3,Sean May,CHA,True,2-pointer,0,78-87,'BOS',trails
94,94,94,200511070CHA,36.5,19.3,1st quarter,0:45.9,Sean May,CHA,False,2-pointer,19,10-17,'UTA',trails
96,96,96,200511070CHA,24.0,5.0,1st quarter,0:23.0,Sean May,CHA,True,2-pointer,0,12-17,'UTA',trails
100,100,100,200511070CHA,38.1,16.8,2nd quarter,10:22.0,Sean May,CHA,True,2-pointer,18,18-21,'UTA',trails
103,103,103,200511070CHA,24.0,5.0,2nd quarter,9:10.0,Sean May,CHA,False,2-pointer,0,18-26,'UTA',trails
126,126,126,200511070CHA,28.9,7.6,3rd quarter,4:19.0,Sean May,CHA,False,2-pointer,6,49-60,'UTA',trails
131,131,131,200511070CHA,24.0,5.0,3rd quarter,1:56.0,Sean May,CHA,False,2-pointer,0,55-68,'UTA',trails
132,132,132,200511070CHA,24.0,5.0,3rd quarter,1:56.0,Sean May,CHA,False,2-pointer,0,55-68,'UTA',trails
133,133,133,200511070CHA,33.5,4.9,3rd quarter,1:13.0,Sean May,CHA,True,2-pointer,10,58-70,'UTA',trails
134,134,134,200511070CHA,24.0,5.0,3rd quarter,0:41.9,Sean May,CHA,True,2-pointer,0,60-70,'UTA',trails
146,146,146,200511070CHA,24.3,11.4,4th quarter,6:37.0,Sean May,CHA,False,2-pointer,6,69-79,'UTA',trails
148,148,148,200511070CHA,24.0,5.0,4th quarter,4:06.0,Sean May,CHA,False,2-pointer,0,76-81,'UTA',trails
151,151,151,200511070CHA,16.5,15.4,4th quarter,3:07.0,Sean May,CHA,True,2-pointer,13,80-81,'UTA',trails
158,158,158,200511070CHA,8.2,3.2,1st overtime,2:51.0,Sean May,CHA,False,2-pointer,16,89-88,'UTA',leads
160,160,160,200511070CHA,31.7,5.2,1st overtime,2:06.0,Sean May,CHA,False,2-pointer,8,89-88,'UTA',leads
228,228,228,200511090CHA,34.3,5.0,1st quarter,1:19.0,Sean May,CHA,False,2-pointer,10,17-23,'SAS',trails
229,229,229,200511090CHA,34.2,19.8,1st quarter,0:39.9,Sean May,CHA,False,2-pointer,18,17-25,'SAS',trails
231,231,231,200511090CHA,24.0,5.0,1st quarter,0:01.0,Sean May,CHA,False,2-pointer,0,19-27,'SAS',trails
278,278,278,200511090CHA,24.0,5.0,4th quarter,10:33.0,Sean May,CHA,False,2-pointer,0,63-73,'SAS',trails
279,279,279,200511110CHA,7.1,23.6,4th quarter,10:32.0,Sean May,CHA,False,3-pointer,25,64-81,'DAL',trails
289,289,289,200511110CHA,28.7,21.0,4th quarter,2:17.0,Sean May,CHA,True,2-pointer,17,81-94,'DAL',trails
290,290,290,200511110CHA,24.0,5.0,4th quarter,0:17.0,Sean May,CHA,True,2-pointer,0,88-96,'DAL',trails
291,291,291,200511110CHA,43.7,22.6,4th quarter,0:01.0,Sean May,CHA,False,3-pointer,26,88-98,'DAL',trails
321,321,321,200511120MIA,24.0,5.0,1st quarter,0:04.8,Sean May,CHA,True,2-pointer,0,27-35,'MIA',trails
325,325,325,200511120MIA,35.0,18.3,2nd quarter,9:26.0,Sean May,CHA,False,2-pointer,17,33-40,'MIA',trails
335,335,335,200511120MIA,22.7,15.5,2nd quarter,2:08.0,Sean May,CHA,True,2-pointer,11,42-55,'MIA',trails
339,339,339,200511120MIA,27.9,25.6,2nd quarter,0:22.9,Sean May,CHA,False,2-pointer,21,43-55,'MIA',trails
361,361,361,200511120MIA,29.9,7.5,3rd quarter,0:01.9,Sean May,CHA,False,2-pointer,6,62-88,'MIA',trails
362,362,362,200511120MIA,24.0,5.0,4th quarter,11:28.0,Sean May,CHA,True,2-pointer,0,64-88,'MIA',trails
369,369,369,200511120MIA,35.7,7.0,4th quarter,6:55.0,Sean May,CHA,False,2-pointer,12,69-95,'MIA',trails
