Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,match_id,shotX,shotY,quarter,time_remaining,player,team,made,shot_type,distance,score,opp,status
27,27,27,202012300BOS,47.3,6.3,2nd quarter,5:36.0,Sean McDermott,MEM,False,3-pointer,24,30-52,'BOS',trails
68,68,68,202012300BOS,11.6,5.4,4th quarter,11:15.0,Sean McDermott,MEM,False,2-pointer,13,73-98,'BOS',trails
79,79,79,202012300BOS,47.1,11.9,4th quarter,6:24.0,Sean McDermott,MEM,False,3-pointer,25,85-111,'BOS',trails
87,87,87,202012300BOS,24.3,4.4,4th quarter,2:44.0,Sean McDermott,MEM,True,2-pointer,1,98-118,'BOS',trails
193,193,193,202101010CHO,1.4,4.4,1st quarter,3:14.0,Sean McDermott,MEM,False,3-pointer,23,21-12,'CHO',leads
216,216,216,202101010CHO,36.6,27.2,2nd quarter,3:29.0,Sean McDermott,MEM,False,3-pointer,27,44-42,'CHO',leads
253,253,253,202101010CHO,46.6,6.3,4th quarter,6:50.0,Sean McDermott,MEM,True,3-pointer,23,95-79,'CHO',leads
1289,1289,1289,202102140SAC,1.0,4.3,2nd quarter,8:13.0,Sean McDermott,MEM,False,3-pointer,23,37-30,'SAC',leads
1335,1335,1335,202102140SAC,24.0,3.3,4th quarter,7:44.0,Sean McDermott,MEM,True,2-pointer,0,109-89,'SAC',leads
285,285,285,202102160MEM,6.7,20.8,2nd quarter,8:16.0,Sean McDermott,MEM,True,3-pointer,25,43-37,'NOP',leads
287,287,287,202102160MEM,0.7,5.7,2nd quarter,6:59.0,Sean McDermott,MEM,True,3-pointer,23,48-39,'NOP',leads
293,293,293,202102160MEM,1.2,3.3,2nd quarter,3:54.0,Sean McDermott,MEM,False,3-pointer,23,48-46,'NOP',leads
339,339,339,202102160MEM,21.8,4.8,4th quarter,2:35.0,Sean McDermott,MEM,True,2-pointer,3,106-131,'NOP',trails
805,805,805,202102170MEM,33.3,27.4,2nd quarter,11:14.0,Sean McDermott,MEM,False,3-pointer,26,30-31,'OKC',trails
849,849,849,202102170MEM,46.0,15.9,4th quarter,10:55.0,Sean McDermott,MEM,True,3-pointer,25,91-87,'OKC',leads
627,627,627,202102190MEM,22.4,4.9,1st quarter,0:01.0,Sean McDermott,MEM,False,2-pointer,2,35-17,'DET',leads
635,635,635,202102190MEM,23.9,5.5,2nd quarter,8:17.0,Sean McDermott,MEM,False,2-pointer,2,42-26,'DET',leads
680,680,680,202102190MEM,6.6,21.8,4th quarter,9:10.0,Sean McDermott,MEM,False,3-pointer,25,88-79,'DET',leads
611,611,611,202102200MEM,20.2,29.7,1st quarter,3:14.0,Sean McDermott,MEM,False,3-pointer,27,13-23,'PHO',trails
616,616,616,202102200MEM,0.8,5.2,2nd quarter,11:31.0,Sean McDermott,MEM,False,3-pointer,23,15-30,'PHO',trails
664,664,664,202102200MEM,12.5,25.9,4th quarter,9:50.0,Sean McDermott,MEM,True,3-pointer,25,70-102,'PHO',trails
668,668,668,202102200MEM,24.0,3.3,4th quarter,7:56.0,Sean McDermott,MEM,True,2-pointer,0,76-107,'PHO',trails
672,672,672,202102200MEM,8.1,3.9,4th quarter,6:01.0,Sean McDermott,MEM,True,2-pointer,16,80-114,'PHO',trails
1103,1103,1103,202103150PHO,19.9,30.0,4th quarter,1:59.0,Sean McDermott,MEM,False,3-pointer,27,96-119,'PHO',trails
1107,1107,1107,202103150PHO,26.0,3.9,4th quarter,0:31.0,Sean McDermott,MEM,True,2-pointer,2,99-122,'PHO',trails
1288,1288,1288,202103270UTA,18.9,28.2,4th quarter,4:48.0,Sean McDermott,MEM,False,3-pointer,25,96-120,'UTA',trails
1291,1291,1291,202103270UTA,1.5,11.1,4th quarter,2:54.0,Sean McDermott,MEM,False,3-pointer,24,103-122,'UTA',trails
1294,1294,1294,202103270UTA,23.8,7.8,4th quarter,1:32.0,Sean McDermott,MEM,True,2-pointer,5,107-126,'UTA',trails
524,524,524,202104020MEM,3.7,19.6,4th quarter,3:25.0,Sean McDermott,MEM,False,3-pointer,26,118-98,'MEM',leads
528,528,528,202104020MEM,24.0,3.3,4th quarter,1:56.0,Sean McDermott,MEM,True,2-pointer,0,120-103,'MEM',leads
84,84,84,202104070ATL,46.8,9.1,4th quarter,2:25.0,Sean McDermott,MEM,False,3-pointer,23,131-109,'MEM',leads
85,85,85,202104070ATL,36.6,25.3,4th quarter,2:12.0,Sean McDermott,MEM,False,3-pointer,25,131-109,'MEM',leads
86,86,86,202104070ATL,25.8,28.5,4th quarter,1:14.0,Sean McDermott,MEM,False,3-pointer,25,131-113,'MEM',leads
