Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,match_id,shotX,shotY,quarter,time_remaining,player,team,made,shot_type,distance,score,opp,status
1288,1288,1288,201610260PHI,18.0,5.6,2nd quarter,8:27.0,Semaj Christon,OKC,True,2-pointer,7,29-36,'OKC',trails
1324,1324,1324,201610260PHI,38.3,4.6,3rd quarter,2:27.0,Semaj Christon,OKC,False,2-pointer,14,64-67,'OKC',trails
1329,1329,1329,201610260PHI,31.8,13.1,3rd quarter,0:18.0,Semaj Christon,OKC,False,2-pointer,13,69-75,'OKC',trails
1332,1332,1332,201610260PHI,24.1,5.6,4th quarter,10:40.0,Semaj Christon,OKC,True,2-pointer,3,75-77,'OKC',trails
1004,1004,1004,201610280OKC,25.9,3.3,1st quarter,1:00.0,Semaj Christon,OKC,False,2-pointer,1,24-36,'OKC',trails
1005,1005,1005,201610280OKC,13.9,11.2,1st quarter,0:01.0,Semaj Christon,OKC,False,2-pointer,13,25-40,'OKC',trails
1049,1049,1049,201610280OKC,28.8,6.6,4th quarter,11:25.0,Semaj Christon,OKC,True,2-pointer,6,79-83,'OKC',trails
1052,1052,1052,201610280OKC,22.0,4.6,4th quarter,10:02.0,Semaj Christon,OKC,False,2-pointer,2,81-85,'OKC',trails
934,934,934,201610300OKC,1.7,5.3,1st quarter,2:08.0,Semaj Christon,OKC,True,3-pointer,22,28-22,'LAL',leads
937,937,937,201610300OKC,23.4,18.6,1st quarter,0:03.0,Semaj Christon,OKC,False,2-pointer,16,30-24,'LAL',leads
939,939,939,201610300OKC,25.9,3.7,2nd quarter,10:24.0,Semaj Christon,OKC,False,2-pointer,2,30-26,'LAL',leads
991,991,991,201610300OKC,22.4,2.5,4th quarter,10:47.0,Semaj Christon,OKC,True,2-pointer,2,83-73,'LAL',leads
992,992,992,201610300OKC,22.0,12.2,4th quarter,9:56.0,Semaj Christon,OKC,False,2-pointer,9,83-75,'LAL',leads
1006,1006,1006,201610300OKC,21.0,7.6,4th quarter,1:17.0,Semaj Christon,OKC,False,2-pointer,5,108-93,'LAL',leads
689,689,689,201611020LAC,34.4,15.1,1st quarter,1:06.0,Semaj Christon,OKC,False,2-pointer,16,21-19,'OKC',leads
700,700,700,201611020LAC,28.5,3.7,2nd quarter,7:14.0,Semaj Christon,OKC,False,2-pointer,5,30-30,'OKC',tied
731,731,731,201611020LAC,36.0,8.6,3rd quarter,3:07.0,Semaj Christon,OKC,True,2-pointer,13,59-58,'OKC',leads
735,735,735,201611020LAC,30.9,11.5,3rd quarter,0:41.0,Semaj Christon,OKC,True,2-pointer,11,63-62,'OKC',leads
736,736,736,201611020LAC,28.3,16.9,3rd quarter,0:02.0,Semaj Christon,OKC,True,2-pointer,15,65-63,'OKC',leads
737,737,737,201611020LAC,24.2,4.6,4th quarter,10:19.0,Semaj Christon,OKC,False,2-pointer,2,66-66,'OKC',tied
739,739,739,201611020LAC,14.3,16.1,4th quarter,8:46.0,Semaj Christon,OKC,False,2-pointer,16,70-70,'OKC',tied
197,197,197,201611030GSW,0.0,1.9,1st quarter,1:46.0,Semaj Christon,OKC,False,3-pointer,24,31-23,'OKC',leads
240,240,240,201611030GSW,12.6,16.4,3rd quarter,1:25.0,Semaj Christon,OKC,False,2-pointer,17,70-95,'OKC',trails
244,244,244,201611030GSW,30.9,18.9,4th quarter,8:58.0,Semaj Christon,OKC,True,2-pointer,17,76-103,'OKC',trails
246,246,246,201611030GSW,23.4,5.1,4th quarter,7:56.0,Semaj Christon,OKC,False,2-pointer,2,76-103,'OKC',trails
256,256,256,201611030GSW,12.1,5.3,4th quarter,2:41.0,Semaj Christon,OKC,True,2-pointer,12,91-115,'OKC',trails
261,261,261,201611030GSW,4.6,21.8,4th quarter,0:22.0,Semaj Christon,OKC,False,3-pointer,27,93-122,'OKC',trails
779,779,779,201611050OKC,24.4,14.5,1st quarter,1:14.0,Semaj Christon,OKC,True,2-pointer,11,32-23,'OKC',leads
781,781,781,201611050OKC,22.6,16.9,1st quarter,0:02.0,Semaj Christon,OKC,False,2-pointer,13,32-25,'OKC',leads
820,820,820,201611050OKC,17.0,14.6,3rd quarter,1:48.0,Semaj Christon,OKC,True,2-pointer,13,85-65,'OKC',leads
821,821,821,201611050OKC,25.2,2.9,3rd quarter,1:24.0,Semaj Christon,OKC,True,2-pointer,1,87-67,'OKC',leads
823,823,823,201611050OKC,37.2,10.0,3rd quarter,0:02.0,Semaj Christon,OKC,False,2-pointer,14,90-72,'OKC',leads
832,832,832,201611050OKC,21.3,28.7,4th quarter,6:33.0,Semaj Christon,OKC,False,3-pointer,25,100-78,'OKC',leads
837,837,837,201611050OKC,23.3,6.3,4th quarter,3:53.0,Semaj Christon,OKC,False,2-pointer,3,106-80,'OKC',leads
842,842,842,201611050OKC,22.4,3.7,4th quarter,1:11.0,Semaj Christon,OKC,True,2-pointer,1,110-88,'OKC',leads
782,782,782,201611070OKC,27.2,13.0,1st quarter,0:55.0,Semaj Christon,OKC,False,2-pointer,11,36-25,'MIA',leads
828,828,828,201611070OKC,22.9,3.7,4th quarter,10:35.0,Semaj Christon,OKC,False,2-pointer,1,83-61,'MIA',leads
831,831,831,201611070OKC,19.5,18.9,4th quarter,9:11.0,Semaj Christon,OKC,True,2-pointer,17,88-65,'MIA',leads
834,834,834,201611070OKC,15.6,7.1,4th quarter,6:33.0,Semaj Christon,OKC,False,2-pointer,9,90-69,'MIA',leads
472,472,472,201611110OKC,8.2,11.0,1st quarter,2:13.0,Semaj Christon,OKC,False,2-pointer,17,19-14,'OKC',leads
474,474,474,201611110OKC,30.0,6.1,1st quarter,1:32.0,Semaj Christon,OKC,False,2-pointer,6,19-14,'OKC',leads
475,475,475,201611110OKC,24.0,3.1,1st quarter,1:14.0,Semaj Christon,OKC,True,2-pointer,0,21-14,'OKC',leads
477,477,477,201611110OKC,27.5,19.0,2nd quarter,10:23.0,Semaj Christon,OKC,False,2-pointer,16,26-22,'OKC',leads
519,519,519,201611110OKC,27.2,20.4,3rd quarter,0:31.0,Semaj Christon,OKC,True,2-pointer,17,74-82,'OKC',trails
523,523,523,201611110OKC,36.8,24.3,4th quarter,10:09.0,Semaj Christon,OKC,True,3-pointer,24,82-83,'OKC',trails
524,524,524,201611110OKC,24.0,3.1,4th quarter,9:27.0,Semaj Christon,OKC,False,2-pointer,0,82-85,'OKC',trails
528,528,528,201611110OKC,22.8,3.7,4th quarter,7:41.0,Semaj Christon,OKC,False,2-pointer,1,85-91,'OKC',trails
628,628,628,201611130OKC,13.4,14.5,2nd quarter,9:58.0,Semaj Christon,OKC,False,2-pointer,16,15-31,'OKC',trails
669,669,669,201611130OKC,46.8,5.1,3rd quarter,0:00.0,Semaj Christon,OKC,False,3-pointer,23,84-82,'OKC',leads
673,673,673,201611130OKC,22.0,3.7,4th quarter,10:00.0,Semaj Christon,OKC,False,2-pointer,2,86-86,'OKC',tied
677,677,677,201611130OKC,8.9,23.0,4th quarter,8:16.0,Semaj Christon,OKC,False,3-pointer,25,90-91,'OKC',trails
19,19,19,201611140DET,24.9,4.1,1st quarter,1:19.0,Semaj Christon,OKC,False,2-pointer,1,23-23,'DET',tied
29,29,29,201611140DET,13.6,19.5,2nd quarter,8:26.0,Semaj Christon,OKC,False,2-pointer,20,29-36,'DET',trails
67,67,67,201611140DET,13.8,8.6,4th quarter,11:15.0,Semaj Christon,OKC,False,2-pointer,12,68-78,'DET',trails
70,70,70,201611140DET,27.7,5.1,4th quarter,10:31.0,Semaj Christon,OKC,False,2-pointer,4,68-78,'DET',trails
1120,1120,1120,201611160OKC,24.0,19.4,1st quarter,0:03.0,Semaj Christon,OKC,True,2-pointer,16,38-30,'HOU',leads
1124,1124,1124,201611160OKC,31.8,5.3,2nd quarter,9:36.0,Semaj Christon,OKC,False,2-pointer,8,38-40,'HOU',trails
