Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,match_id,shotX,shotY,quarter,time_remaining,player,team,made,shot_type,distance,score,opp,status
30,30,30,201710170CLE,4.1,19.5,2nd quarter,8:41.0,Semi Ojeleye,BOS,False,3-pointer,25,22-34,'BOS',trails
35,35,35,201710170CLE,38.1,14.5,2nd quarter,5:59.0,Semi Ojeleye,BOS,False,2-pointer,18,28-41,'BOS',trails
130,130,130,201710180BOS,45.0,20.8,3rd quarter,6:51.0,Semi Ojeleye,BOS,False,3-pointer,27,66-64,'BOS',leads
133,133,133,201710180BOS,9.7,23.1,3rd quarter,4:28.0,Semi Ojeleye,BOS,True,3-pointer,24,72-68,'BOS',leads
116,116,116,201710240BOS,22.6,28.1,2nd quarter,5:27.0,Semi Ojeleye,BOS,False,3-pointer,25,46-27,'NYK',leads
355,355,355,201710260MIL,6.4,22.3,2nd quarter,10:11.0,Semi Ojeleye,BOS,False,3-pointer,26,28-25,'BOS',leads
398,398,398,201710260MIL,39.7,25.0,4th quarter,8:49.0,Semi Ojeleye,BOS,False,3-pointer,27,79-72,'BOS',leads
98,98,98,201710300BOS,35.2,28.6,1st quarter,5:04.0,Semi Ojeleye,BOS,False,3-pointer,27,17-15,'SAS',leads
102,102,102,201710300BOS,36.3,28.5,1st quarter,3:04.0,Semi Ojeleye,BOS,False,3-pointer,28,23-19,'SAS',leads
150,150,150,201710300BOS,0.1,3.7,3rd quarter,1:27.0,Semi Ojeleye,BOS,False,3-pointer,23,72-63,'SAS',leads
162,162,162,201710300BOS,47.0,4.0,4th quarter,5:37.0,Semi Ojeleye,BOS,True,3-pointer,23,98-80,'SAS',leads
163,163,163,201710300BOS,23.9,2.6,4th quarter,5:04.0,Semi Ojeleye,BOS,True,2-pointer,0,100-83,'SAS',leads
101,101,101,201711010BOS,47.0,3.4,2nd quarter,9:57.0,Semi Ojeleye,BOS,False,3-pointer,23,29-30,'SAC',trails
106,106,106,201711010BOS,39.5,22.6,2nd quarter,7:48.0,Semi Ojeleye,BOS,True,3-pointer,24,40-30,'SAC',leads
111,111,111,201711010BOS,9.3,24.7,2nd quarter,3:24.0,Semi Ojeleye,BOS,True,3-pointer,26,53-38,'SAC',leads
141,141,141,201711010BOS,1.9,2.8,4th quarter,9:14.0,Semi Ojeleye,BOS,False,3-pointer,22,91-65,'SAC',leads
144,144,144,201711010BOS,1.3,4.1,4th quarter,7:08.0,Semi Ojeleye,BOS,False,3-pointer,22,96-72,'SAC',leads
151,151,151,201711010BOS,10.2,26.1,4th quarter,4:28.0,Semi Ojeleye,BOS,True,3-pointer,26,101-79,'SAC',leads
1100,1100,1100,201711030OKC,47.2,3.4,4th quarter,5:56.0,Semi Ojeleye,BOS,True,3-pointer,23,79-79,'OKC',tied
1072,1072,1072,201711050ORL,24.0,4.6,2nd quarter,0:05.0,Semi Ojeleye,BOS,True,2-pointer,1,49-38,'BOS',leads
1082,1082,1082,201711050ORL,0.8,9.2,3rd quarter,6:20.0,Semi Ojeleye,BOS,True,3-pointer,24,67-60,'BOS',leads
19,19,19,201711060ATL,15.3,27.0,1st quarter,1:25.0,Semi Ojeleye,BOS,False,3-pointer,25,20-23,'BOS',trails
61,61,61,201711060ATL,1.5,8.5,4th quarter,10:52.0,Semi Ojeleye,BOS,True,3-pointer,23,87-77,'BOS',leads
63,63,63,201711060ATL,23.4,28.3,4th quarter,9:06.0,Semi Ojeleye,BOS,True,3-pointer,25,91-81,'BOS',leads
105,105,105,201711080BOS,10.2,25.1,1st quarter,2:37.0,Semi Ojeleye,BOS,False,3-pointer,26,26-13,'LAL',leads
114,114,114,201711080BOS,23.2,4.6,2nd quarter,11:22.0,Semi Ojeleye,BOS,True,2-pointer,1,35-16,'LAL',leads
116,116,116,201711080BOS,23.2,3.7,2nd quarter,10:25.0,Semi Ojeleye,BOS,False,2-pointer,1,37-18,'LAL',leads
153,153,153,201711080BOS,23.6,4.7,3rd quarter,2:27.0,Semi Ojeleye,BOS,False,2-pointer,1,81-76,'LAL',leads
159,159,159,201711080BOS,22.6,4.7,4th quarter,10:49.0,Semi Ojeleye,BOS,False,2-pointer,2,89-83,'LAL',leads
161,161,161,201711080BOS,1.8,4.0,4th quarter,10:12.0,Semi Ojeleye,BOS,False,3-pointer,22,89-83,'LAL',leads
95,95,95,201711100BOS,0.0,6.7,1st quarter,0:29.0,Semi Ojeleye,BOS,False,3-pointer,24,9-23,'CHO',trails
96,96,96,201711120BOS,0.8,1.9,2nd quarter,10:48.0,Semi Ojeleye,BOS,False,3-pointer,23,24-26,'TOR',trails
135,135,135,201711120BOS,39.0,26.9,3rd quarter,0:44.0,Semi Ojeleye,BOS,False,3-pointer,28,73-73,'TOR',tied
38,38,38,201711140BRK,24.5,3.1,2nd quarter,3:06.0,Semi Ojeleye,BOS,True,2-pointer,0,43-45,'BOS',trails
115,115,115,201711160BOS,43.4,18.4,2nd quarter,5:37.0,Semi Ojeleye,BOS,False,3-pointer,24,27-42,'BOS',trails
119,119,119,201711160BOS,47.2,2.1,2nd quarter,2:39.0,Semi Ojeleye,BOS,False,3-pointer,23,35-45,'BOS',trails
145,145,145,201711160BOS,13.2,27.6,4th quarter,9:40.0,Semi Ojeleye,BOS,False,3-pointer,26,70-72,'BOS',trails
67,67,67,201711180ATL,47.1,5.9,4th quarter,9:37.0,Semi Ojeleye,BOS,False,3-pointer,23,82-84,'BOS',trails
881,881,881,201711220MIA,1.8,3.6,2nd quarter,8:54.0,Semi Ojeleye,BOS,False,3-pointer,22,21-37,'MIA',trails
288,288,288,201711240BOS,46.6,2.6,1st quarter,1:25.0,Semi Ojeleye,BOS,False,3-pointer,22,33-24,'ORL',leads
298,298,298,201711240BOS,4.9,18.3,2nd quarter,10:43.0,Semi Ojeleye,BOS,False,3-pointer,24,42-26,'ORL',leads
301,301,301,201711240BOS,36.1,6.5,2nd quarter,9:23.0,Semi Ojeleye,BOS,True,2-pointer,12,44-30,'ORL',leads
302,302,302,201711240BOS,8.3,23.4,2nd quarter,8:47.0,Semi Ojeleye,BOS,False,3-pointer,25,44-30,'ORL',leads
304,304,304,201711240BOS,47.0,8.7,2nd quarter,8:21.0,Semi Ojeleye,BOS,True,3-pointer,23,47-30,'ORL',leads
