Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,match_id,shotX,shotY,quarter,time_remaining,player,team,made,shot_type,distance,score,opp,status
182,182,182,201011020DET,24.0,5.4,2nd quarter,9:55.0,Semih Erden,BOS,True,2-pointer,0,39-28,'DET',leads
853,853,853,201011070OKC,22.5,5.9,1st quarter,0:01.7,Semih Erden,BOS,True,2-pointer,2,27-21,'OKC',leads
854,854,854,201011070OKC,23.8,6.4,2nd quarter,11:39.0,Semih Erden,BOS,True,2-pointer,1,30-21,'OKC',leads
856,856,856,201011070OKC,30.4,6.4,2nd quarter,10:52.0,Semih Erden,BOS,False,2-pointer,7,30-21,'OKC',leads
892,892,892,201011070OKC,20.3,5.4,4th quarter,11:37.0,Semih Erden,BOS,False,2-pointer,4,73-64,'OKC',leads
353,353,353,201011080DAL,23.8,5.7,2nd quarter,11:19.0,Semih Erden,BOS,True,2-pointer,1,21-25,'DAL',trails
360,360,360,201011080DAL,26.1,6.1,2nd quarter,7:04.0,Semih Erden,BOS,True,2-pointer,2,30-36,'DAL',trails
395,395,395,201011080DAL,24.1,7.3,3rd quarter,1:26.0,Semih Erden,BOS,False,2-pointer,2,67-65,'DAL',leads
399,399,399,201011080DAL,24.0,4.8,4th quarter,10:11.0,Semih Erden,BOS,False,2-pointer,0,71-72,'DAL',trails
378,378,378,201011110MIA,26.0,6.1,1st quarter,1:56.0,Semih Erden,BOS,True,2-pointer,2,24-15,'MIA',leads
399,399,399,201011110MIA,23.3,6.4,2nd quarter,1:07.0,Semih Erden,BOS,False,2-pointer,2,57-42,'MIA',leads
96,96,96,201011170BOS,24.0,5.7,1st quarter,2:20.0,Semih Erden,BOS,True,2-pointer,1,28-19,'BOS',leads
102,102,102,201011170BOS,23.8,5.7,2nd quarter,9:31.0,Semih Erden,BOS,False,2-pointer,1,35-31,'BOS',leads
103,103,103,201011170BOS,24.0,5.6,2nd quarter,9:30.0,Semih Erden,BOS,True,2-pointer,1,37-31,'BOS',leads
141,141,141,201011170BOS,23.8,5.4,4th quarter,10:51.0,Semih Erden,BOS,False,2-pointer,0,91-69,'BOS',leads
142,142,142,201011170BOS,23.2,4.5,4th quarter,10:10.0,Semih Erden,BOS,True,2-pointer,1,93-69,'BOS',leads
153,153,153,201011170BOS,21.9,9.3,4th quarter,1:48.0,Semih Erden,BOS,False,2-pointer,5,112-77,'BOS',leads
81,81,81,201011190BOS,27.9,5.1,1st quarter,0:56.6,Semih Erden,BOS,True,2-pointer,4,23-21,'OKC',leads
91,91,91,201011190BOS,23.8,4.4,2nd quarter,5:21.0,Semih Erden,BOS,False,2-pointer,1,34-39,'OKC',trails
92,92,92,201011190BOS,23.9,4.4,2nd quarter,5:19.0,Semih Erden,BOS,False,2-pointer,1,34-39,'OKC',trails
540,540,540,201011210TOR,22.2,5.9,2nd quarter,9:28.0,Semih Erden,BOS,False,2-pointer,2,34-30,'TOR',leads
19,19,19,201011220ATL,18.1,6.5,1st quarter,2:38.0,Semih Erden,BOS,True,2-pointer,6,33-10,'BOS',leads
69,69,69,201011220ATL,24.4,5.6,4th quarter,3:09.0,Semih Erden,BOS,True,2-pointer,1,99-70,'BOS',leads
81,81,81,201011240BOS,22.1,5.0,1st quarter,3:16.0,Semih Erden,BOS,False,2-pointer,2,16-13,'NJN',leads
82,82,82,201011240BOS,23.5,5.3,1st quarter,3:13.0,Semih Erden,BOS,False,2-pointer,1,16-13,'NJN',leads
85,85,85,201011240BOS,25.0,5.4,1st quarter,1:42.0,Semih Erden,BOS,False,2-pointer,1,18-15,'NJN',leads
86,86,86,201011240BOS,17.6,4.8,1st quarter,1:09.0,Semih Erden,BOS,False,2-pointer,6,18-17,'NJN',leads
97,97,97,201011260BOS,17.3,7.8,1st quarter,1:50.0,Semih Erden,BOS,True,2-pointer,7,31-18,'TOR',leads
104,104,104,201011260BOS,25.3,5.0,2nd quarter,9:08.0,Semih Erden,BOS,True,2-pointer,1,38-24,'TOR',leads
105,105,105,201011260BOS,24.6,5.0,2nd quarter,8:43.0,Semih Erden,BOS,True,2-pointer,1,40-27,'TOR',leads
141,141,141,201011260BOS,24.0,5.3,4th quarter,8:46.0,Semih Erden,BOS,True,2-pointer,0,92-79,'TOR',leads
80,80,80,201011300CLE,24.0,6.4,4th quarter,2:24.0,Semih Erden,BOS,False,2-pointer,1,97-80,'BOS',leads
253,253,253,201012010BOS,24.1,5.1,2nd quarter,9:05.0,Semih Erden,BOS,True,2-pointer,0,25-32,'POR',trails
266,266,266,201012030BOS,23.5,5.0,2nd quarter,3:47.0,Semih Erden,BOS,True,2-pointer,1,43-40,'BOS',leads
270,270,270,201012030BOS,23.6,4.7,2nd quarter,1:46.0,Semih Erden,BOS,True,2-pointer,1,49-45,'BOS',leads
296,296,296,201012030BOS,23.6,4.5,3rd quarter,0:02.8,Semih Erden,BOS,True,2-pointer,1,82-67,'BOS',leads
353,353,353,201012050NJN,26.6,6.1,1st quarter,0:55.9,Semih Erden,BOS,False,2-pointer,3,27-20,'NJN',leads
390,390,390,201012050NJN,23.0,5.0,3rd quarter,2:17.0,Semih Erden,BOS,False,2-pointer,1,76-50,'NJN',leads
392,392,392,201012050NJN,21.6,5.7,3rd quarter,1:50.0,Semih Erden,BOS,False,2-pointer,3,76-50,'NJN',leads
410,410,410,201012050NJN,20.0,23.1,4th quarter,1:20.0,Semih Erden,BOS,True,2-pointer,19,98-72,'NJN',leads
98,98,98,201012080BOS,26.0,6.5,2nd quarter,11:12.0,Semih Erden,BOS,True,2-pointer,3,37-21,'DEN',leads
127,127,127,201012080BOS,26.3,5.0,3rd quarter,1:14.0,Semih Erden,BOS,True,2-pointer,2,79-67,'DEN',leads
152,152,152,201012090PHI,23.3,5.4,1st quarter,11:36.0,Semih Erden,BOS,True,2-pointer,1,2-0,'BOS',leads
189,189,189,201012090PHI,23.6,5.9,3rd quarter,10:52.0,Semih Erden,BOS,True,2-pointer,1,58-56,'BOS',leads
154,154,154,201012110CHA,25.5,5.7,1st quarter,11:19.0,Semih Erden,BOS,False,2-pointer,2,0-2,'BOS',trails
156,156,156,201012110CHA,24.0,6.2,1st quarter,9:18.0,Semih Erden,BOS,True,2-pointer,1,2-6,'BOS',trails
159,159,159,201012110CHA,37.2,7.2,1st quarter,8:12.0,Semih Erden,BOS,False,2-pointer,13,4-6,'BOS',trails
187,187,187,201012110CHA,23.2,6.4,2nd quarter,1:17.0,Semih Erden,BOS,False,2-pointer,2,37-30,'BOS',leads
222,222,222,201012110CHA,23.2,3.4,4th quarter,0:57.9,Semih Erden,BOS,True,2-pointer,2,91-61,'BOS',leads
223,223,223,201012110CHA,23.5,11.1,4th quarter,0:14.1,Semih Erden,BOS,True,2-pointer,6,93-61,'BOS',leads
790,790,790,201012150NYK,24.9,5.7,1st quarter,11:26.0,Semih Erden,BOS,True,2-pointer,1,4-3,'NYK',leads
796,796,796,201012150NYK,29.3,5.0,1st quarter,8:04.0,Semih Erden,BOS,False,2-pointer,5,9-15,'NYK',trails
798,798,798,201012150NYK,22.9,5.7,1st quarter,7:59.0,Semih Erden,BOS,True,2-pointer,1,11-15,'NYK',trails
839,839,839,201012150NYK,21.7,6.2,3rd quarter,7:23.0,Semih Erden,BOS,True,2-pointer,3,65-67,'NYK',trails
72,72,72,201012160BOS,23.0,5.1,1st quarter,8:02.0,Semih Erden,BOS,True,2-pointer,1,7-8,'BOS',trails
114,114,114,201012160BOS,23.5,10.2,3rd quarter,8:02.0,Semih Erden,BOS,True,2-pointer,5,55-53,'BOS',leads
119,119,119,201012160BOS,23.2,5.1,3rd quarter,5:38.0,Semih Erden,BOS,True,2-pointer,1,61-56,'BOS',leads
132,132,132,201012160BOS,24.4,6.7,4th quarter,11:17.0,Semih Erden,BOS,True,2-pointer,2,77-71,'BOS',leads
135,135,135,201012160BOS,24.0,6.1,4th quarter,9:09.0,Semih Erden,BOS,False,2-pointer,1,77-75,'BOS',leads
138,138,138,201012160BOS,24.0,5.6,4th quarter,7:58.0,Semih Erden,BOS,True,2-pointer,1,84-75,'BOS',leads
258,258,258,201012220BOS,25.8,3.4,2nd quarter,8:04.0,Semih Erden,BOS,False,2-pointer,2,27-24,'BOS',leads
155,155,155,201101070BOS,23.2,5.0,4th quarter,2:11.0,Semih Erden,BOS,True,2-pointer,1,117-93,'TOR',leads
87,87,87,201101120BOS,25.5,3.3,1st quarter,5:13.0,Semih Erden,BOS,False,2-pointer,2,12-10,'SAC',leads
