Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,match_id,shotX,shotY,quarter,time_remaining,player,team,made,shot_type,distance,score,opp,status
1510,1510,1510,200511050POR,24.0,5.0,1st quarter,11:24.0,Sergei Monia,POR,True,2-pointer,0,2-0,'POR',leads
1522,1522,1522,200511050POR,1.3,8.3,1st quarter,4:12.0,Sergei Monia,POR,False,3-pointer,23,15-13,'POR',leads
1543,1543,1543,200511050POR,16.0,6.8,2nd quarter,5:28.0,Sergei Monia,POR,True,2-pointer,8,39-36,'POR',leads
1551,1551,1551,200511050POR,0.5,1.9,2nd quarter,0:32.9,Sergei Monia,POR,False,3-pointer,24,50-48,'POR',leads
1555,1555,1555,200511050POR,24.0,5.0,3rd quarter,9:44.0,Sergei Monia,POR,False,2-pointer,0,52-51,'POR',leads
1585,1585,1585,200511050POR,5.1,4.2,4th quarter,2:03.0,Sergei Monia,POR,True,2-pointer,19,93-87,'POR',leads
1606,1606,1606,200511090POR,1.2,10.6,1st quarter,11:26.0,Sergei Monia,POR,False,3-pointer,23,0-0,'POR',tied
1611,1611,1611,200511090POR,24.0,5.0,1st quarter,9:24.0,Sergei Monia,POR,False,2-pointer,0,2-5,'POR',trails
1612,1612,1612,200511090POR,24.0,5.0,1st quarter,8:49.0,Sergei Monia,POR,False,2-pointer,0,2-5,'POR',trails
974,974,974,200511110POR,17.1,30.8,1st quarter,8:24.0,Sergei Monia,POR,False,3-pointer,27,8-9,'POR',trails
1503,1503,1503,200511180POR,35.2,24.9,1st quarter,11:26.0,Sergei Monia,POR,False,2-pointer,23,0-2,'POR',trails
1510,1510,1510,200511180POR,34.2,27.2,1st quarter,8:07.0,Sergei Monia,POR,True,3-pointer,24,8-13,'POR',trails
1514,1514,1514,200511180POR,24.0,5.0,1st quarter,7:08.0,Sergei Monia,POR,False,2-pointer,0,8-16,'POR',trails
1515,1515,1515,200511180POR,24.0,5.0,1st quarter,7:03.0,Sergei Monia,POR,True,2-pointer,0,10-16,'POR',trails
1516,1516,1516,200511180POR,24.0,10.3,1st quarter,6:13.0,Sergei Monia,POR,False,2-pointer,5,10-19,'POR',trails
1517,1517,1517,200511180POR,1.5,13.6,1st quarter,5:36.0,Sergei Monia,POR,True,3-pointer,24,13-19,'POR',trails
654,654,654,200511200NYK,-0.1,4.1,1st quarter,9:37.0,Sergei Monia,POR,True,3-pointer,24,5-4,'POR',leads
655,655,655,200511200NYK,6.8,17.0,1st quarter,9:05.0,Sergei Monia,POR,True,2-pointer,21,7-4,'POR',leads
676,676,676,200511200NYK,46.8,7.3,2nd quarter,5:16.0,Sergei Monia,POR,True,3-pointer,23,43-42,'POR',leads
688,688,688,200511200NYK,24.0,5.0,3rd quarter,8:51.0,Sergei Monia,POR,False,2-pointer,0,61-57,'POR',leads
311,311,311,200511220MEM,24.0,5.0,1st quarter,10:31.0,Sergei Monia,POR,True,2-pointer,0,2-4,'POR',trails
320,320,320,200511220MEM,36.3,19.0,1st quarter,4:09.0,Sergei Monia,POR,True,2-pointer,19,21-16,'POR',leads
344,344,344,200511220MEM,7.9,23.6,2nd quarter,0:01.0,Sergei Monia,POR,True,3-pointer,25,51-38,'POR',leads
943,943,943,200511230MIA,24.3,8.6,1st quarter,8:56.0,Sergei Monia,POR,True,2-pointer,4,4-5,'POR',trails
947,947,947,200511230MIA,46.8,7.0,1st quarter,5:58.0,Sergei Monia,POR,True,3-pointer,23,7-15,'POR',trails
974,974,974,200511230MIA,40.6,17.3,2nd quarter,0:25.4,Sergei Monia,POR,True,2-pointer,21,45-50,'POR',trails
975,975,975,200511230MIA,24.0,5.0,3rd quarter,10:55.0,Sergei Monia,POR,False,2-pointer,0,45-52,'POR',trails
977,977,977,200511230MIA,45.8,16.0,3rd quarter,9:02.0,Sergei Monia,POR,False,3-pointer,24,47-55,'POR',trails
1008,1008,1008,200511230MIA,24.0,5.0,4th quarter,1:23.0,Sergei Monia,POR,True,2-pointer,0,74-92,'POR',trails
1140,1140,1140,200511250ORL,24.0,5.0,1st quarter,7:31.0,Sergei Monia,POR,False,2-pointer,0,9-10,'POR',trails
1145,1145,1145,200511250ORL,17.1,8.1,1st quarter,5:41.0,Sergei Monia,POR,False,2-pointer,8,15-12,'POR',leads
1164,1164,1164,200511250ORL,20.1,24.6,2nd quarter,5:34.0,Sergei Monia,POR,False,2-pointer,20,39-43,'POR',trails
1168,1168,1168,200511250ORL,-0.3,9.0,2nd quarter,3:53.0,Sergei Monia,POR,False,3-pointer,25,41-48,'POR',trails
1170,1170,1170,200511250ORL,24.0,5.0,2nd quarter,3:19.0,Sergei Monia,POR,True,2-pointer,0,43-51,'POR',trails
1177,1177,1177,200511250ORL,4.0,21.0,3rd quarter,10:30.0,Sergei Monia,POR,False,3-pointer,26,55-56,'POR',trails
1178,1178,1178,200511250ORL,24.0,5.0,3rd quarter,9:34.0,Sergei Monia,POR,False,2-pointer,0,56-59,'POR',trails
1182,1182,1182,200511250ORL,4.3,7.0,3rd quarter,6:46.0,Sergei Monia,POR,False,2-pointer,20,56-64,'POR',trails
1188,1188,1188,200511250ORL,46.5,7.5,3rd quarter,3:08.0,Sergei Monia,POR,False,3-pointer,23,65-75,'POR',trails
