Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,match_id,shotX,shotY,quarter,time_remaining,player,team,made,shot_type,distance,score,opp,status
1872,1872,1872,200010310VAN,15.0,30.1,1st quarter,4:45.0,Shammond Williams,SEA,False,3-pointer,27,7-22,'SEA',trails
1898,1898,1898,200010310VAN,46.8,5.9,3rd quarter,11:31.0,Shammond Williams,SEA,True,3-pointer,23,39-56,'SEA',trails
1900,1900,1900,200010310VAN,46.8,14.9,3rd quarter,10:35.0,Shammond Williams,SEA,True,3-pointer,25,42-56,'SEA',trails
1907,1907,1907,200010310VAN,23.6,6.9,3rd quarter,6:20.0,Shammond Williams,SEA,True,2-pointer,2,49-62,'SEA',trails
1919,1919,1919,200010310VAN,24.1,31.8,4th quarter,11:22.0,Shammond Williams,SEA,True,3-pointer,27,67-67,'SEA',tied
1923,1923,1923,200010310VAN,22.8,5.9,4th quarter,7:55.0,Shammond Williams,SEA,True,2-pointer,2,71-76,'SEA',trails
1932,1932,1932,200010310VAN,39.7,26.7,4th quarter,2:49.0,Shammond Williams,SEA,False,3-pointer,27,79-87,'SEA',trails
1934,1934,1934,200010310VAN,46.8,8.0,4th quarter,1:21.0,Shammond Williams,SEA,True,3-pointer,23,83-90,'SEA',trails
1055,1055,1055,200011010SEA,26.2,9.0,2nd quarter,11:33.0,Shammond Williams,SEA,True,2-pointer,5,44-32,'SEA',leads
1058,1058,1058,200011010SEA,-0.6,6.9,2nd quarter,9:07.0,Shammond Williams,SEA,False,3-pointer,25,47-36,'SEA',leads
1060,1060,1060,200011010SEA,13.5,30.7,2nd quarter,8:24.0,Shammond Williams,SEA,True,3-pointer,28,52-38,'SEA',leads
1087,1087,1087,200011010SEA,36.1,26.9,3rd quarter,2:54.0,Shammond Williams,SEA,True,3-pointer,25,86-73,'SEA',leads
1089,1089,1089,200011010SEA,42.4,26.3,3rd quarter,1:37.0,Shammond Williams,SEA,False,3-pointer,28,88-73,'SEA',leads
1095,1095,1095,200011010SEA,29.8,22.9,4th quarter,10:25.0,Shammond Williams,SEA,True,2-pointer,19,96-80,'SEA',leads
