Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,match_id,shotX,shotY,quarter,time_remaining,player,team,made,shot_type,distance,score,opp,status
1412,1412,1412,201703060PHI,24.9,4.6,1st quarter,0:00.0,Shawn Long,PHI,True,2-pointer,1,19-27,'MIL',trails
1446,1446,1446,201703060PHI,23.3,5.8,3rd quarter,5:10.0,Shawn Long,PHI,False,2-pointer,2,53-78,'MIL',trails
1447,1447,1447,201703060PHI,24.6,4.8,3rd quarter,5:08.0,Shawn Long,PHI,True,2-pointer,1,55-78,'MIL',trails
1454,1454,1454,201703060PHI,24.1,2.4,3rd quarter,2:45.0,Shawn Long,PHI,False,2-pointer,0,61-85,'MIL',trails
1455,1455,1455,201703060PHI,23.3,5.1,3rd quarter,2:11.0,Shawn Long,PHI,True,2-pointer,2,63-87,'MIL',trails
1458,1458,1458,201703060PHI,37.3,26.2,3rd quarter,0:27.0,Shawn Long,PHI,True,3-pointer,26,68-91,'MIL',trails
1473,1473,1473,201703060PHI,24.0,3.1,4th quarter,3:02.0,Shawn Long,PHI,True,2-pointer,0,89-110,'MIL',trails
1478,1478,1478,201703060PHI,24.9,5.1,4th quarter,0:27.0,Shawn Long,PHI,False,2-pointer,2,96-112,'MIL',trails
726,726,726,201703120LAL,22.5,8.2,1st quarter,0:26.0,Shawn Long,PHI,False,2-pointer,5,32-24,'LAL',leads
737,737,737,201703120LAL,40.3,3.6,2nd quarter,2:20.0,Shawn Long,PHI,True,2-pointer,16,60-56,'LAL',leads
763,763,763,201703120LAL,24.5,4.6,3rd quarter,0:36.0,Shawn Long,PHI,True,2-pointer,1,93-85,'LAL',leads
378,378,378,201703140GSW,24.6,4.6,2nd quarter,0:59.0,Shawn Long,PHI,False,2-pointer,1,59-56,'GSW',leads
1000,1000,1000,201703170PHI,25.5,27.7,4th quarter,2:09.0,Shawn Long,PHI,False,3-pointer,24,109-70,'DAL',leads
1004,1004,1004,201703170PHI,24.4,2.5,4th quarter,0:30.0,Shawn Long,PHI,True,2-pointer,1,116-74,'DAL',leads
999,999,999,201703190PHI,23.6,3.8,3rd quarter,4:34.0,Shawn Long,PHI,True,2-pointer,0,64-71,'BOS',trails
1005,1005,1005,201703190PHI,23.6,3.7,3rd quarter,0:56.0,Shawn Long,PHI,True,2-pointer,1,72-79,'BOS',trails
1006,1006,1006,201703190PHI,24.0,3.1,3rd quarter,0:07.0,Shawn Long,PHI,True,2-pointer,0,74-79,'BOS',trails
1008,1008,1008,201703190PHI,25.9,3.7,4th quarter,11:36.0,Shawn Long,PHI,False,2-pointer,2,76-79,'BOS',trails
1097,1097,1097,201703200ORL,24.4,4.6,3rd quarter,6:59.0,Shawn Long,PHI,True,2-pointer,1,68-52,'ORL',leads
540,540,540,201703220OKC,37.2,11.0,1st quarter,0:37.0,Shawn Long,PHI,False,2-pointer,15,20-27,'OKC',trails
555,555,555,201703220OKC,23.4,4.1,2nd quarter,4:38.0,Shawn Long,PHI,True,2-pointer,1,35-47,'OKC',trails
556,556,556,201703220OKC,24.4,27.2,2nd quarter,4:00.0,Shawn Long,PHI,False,3-pointer,24,35-49,'OKC',trails
582,582,582,201703220OKC,24.4,3.7,3rd quarter,0:31.0,Shawn Long,PHI,True,2-pointer,0,70-95,'OKC',trails
594,594,594,201703220OKC,25.4,5.3,4th quarter,4:48.0,Shawn Long,PHI,False,2-pointer,2,82-112,'OKC',trails
595,595,595,201703220OKC,22.6,3.3,4th quarter,4:17.0,Shawn Long,PHI,True,2-pointer,1,85-112,'OKC',trails
605,605,605,201703220OKC,24.0,3.1,4th quarter,0:28.0,Shawn Long,PHI,True,2-pointer,0,97-122,'OKC',trails
205,205,205,201703240CHI,25.2,5.1,2nd quarter,8:02.0,Shawn Long,PHI,True,2-pointer,2,35-32,'CHI',leads
207,207,207,201703240CHI,23.9,3.4,2nd quarter,7:16.0,Shawn Long,PHI,True,2-pointer,0,38-32,'CHI',leads
