Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,match_id,shotX,shotY,quarter,time_remaining,player,team,made,shot_type,distance,score,opp,status
9,9,9,200612110CHI,47.5,9.6,1st quarter,4:08.0,Shawne Williams,IND,False,3-pointer,24,15-22,'IND',trails
19,19,19,200612110CHI,0.8,11.6,2nd quarter,9:35.0,Shawne Williams,IND,True,3-pointer,24,30-45,'IND',trails
22,22,22,200612110CHI,24.0,5.0,2nd quarter,7:27.0,Shawne Williams,IND,True,2-pointer,0,34-49,'IND',trails
51,51,51,200612110CHI,44.2,11.1,4th quarter,10:59.0,Shawne Williams,IND,False,2-pointer,21,75-89,'IND',trails
52,52,52,200612110CHI,24.0,5.0,4th quarter,10:37.0,Shawne Williams,IND,True,2-pointer,0,77-91,'IND',trails
57,57,57,200612110CHI,3.8,5.7,4th quarter,7:17.0,Shawne Williams,IND,True,2-pointer,20,81-92,'IND',trails
58,58,58,200612110CHI,0.2,5.5,4th quarter,6:31.0,Shawne Williams,IND,False,3-pointer,24,81-94,'IND',trails
59,59,59,200612110CHI,24.0,5.0,4th quarter,6:01.0,Shawne Williams,IND,True,2-pointer,0,83-94,'IND',trails
70,70,70,200612110CHI,26.1,13.1,4th quarter,0:53.1,Shawne Williams,IND,True,2-pointer,8,91-104,'IND',trails
574,574,574,200612130IND,4.6,15.9,2nd quarter,8:48.0,Shawne Williams,IND,False,2-pointer,22,33-27,'IND',leads
608,608,608,200612130IND,0.7,4.5,4th quarter,11:32.0,Shawne Williams,IND,False,3-pointer,23,76-71,'IND',leads
795,795,795,200612150IND,24.0,6.3,4th quarter,3:07.0,Shawne Williams,IND,True,2-pointer,1,106-86,'NYK',leads
798,798,798,200612150IND,3.8,8.6,4th quarter,1:14.0,Shawne Williams,IND,False,2-pointer,21,112-94,'NYK',leads
709,709,709,200612260IND,20.1,6.7,1st quarter,6:43.0,Shawne Williams,IND,False,2-pointer,4,8-11,'HOU',trails
712,712,712,200612260IND,0.7,3.2,1st quarter,5:12.0,Shawne Williams,IND,False,3-pointer,23,11-11,'HOU',tied
159,159,159,200701090IND,4.9,22.1,4th quarter,1:37.0,Shawne Williams,IND,True,3-pointer,26,84-65,'IND',leads
162,162,162,200701090IND,0.3,3.7,4th quarter,0:24.2,Shawne Williams,IND,True,3-pointer,24,91-70,'IND',leads
236,236,236,200701100BOS,47.5,5.7,4th quarter,0:21.9,Shawne Williams,IND,False,3-pointer,24,97-84,'IND',leads
171,171,171,200701180MIA,41.7,22.3,1st quarter,6:48.0,Shawne Williams,IND,False,3-pointer,25,7-15,MIA,trails
186,186,186,200701180MIA,12.3,5.2,2nd quarter,11:20.0,Shawne Williams,IND,True,2-pointer,12,24-25,MIA,trails
190,190,190,200701180MIA,38.3,21.6,2nd quarter,8:20.0,Shawne Williams,IND,False,2-pointer,22,24-31,MIA,trails
219,219,219,200701180MIA,44.4,5.0,3rd quarter,2:49.0,Shawne Williams,IND,True,2-pointer,20,66-79,MIA,trails
222,222,222,200701180MIA,24.0,5.0,3rd quarter,1:38.0,Shawne Williams,IND,True,2-pointer,0,70-81,MIA,trails
223,223,223,200701180MIA,42.7,21.4,3rd quarter,1:08.0,Shawne Williams,IND,False,3-pointer,25,70-81,MIA,trails
244,244,244,200701180MIA,4.1,18.5,4th quarter,0:13.8,Shawne Williams,IND,True,3-pointer,24,101-102,MIA,trails
899,899,899,200701200IND,9.1,8.6,2nd quarter,9:21.0,Shawne Williams,IND,False,2-pointer,15,24-32,'NYK',trails
566,566,566,200701220IND,22.9,7.2,2nd quarter,11:02.0,Shawne Williams,IND,False,2-pointer,2,29-23,'IND',leads
567,567,567,200701220IND,25.3,8.1,2nd quarter,11:00.0,Shawne Williams,IND,False,2-pointer,3,29-23,'IND',leads
586,586,586,200701220IND,23.7,7.6,2nd quarter,0:01.0,Shawne Williams,IND,False,2-pointer,3,60-43,'IND',leads
887,887,887,200701270IND,10.9,26.4,2nd quarter,10:41.0,Shawne Williams,IND,True,3-pointer,25,21-26,'IND',trails
888,888,888,200701270IND,14.8,28.8,2nd quarter,10:03.0,Shawne Williams,IND,False,3-pointer,26,21-26,'IND',trails
940,940,940,200701270IND,25.5,5.2,4th quarter,1:07.0,Shawne Williams,IND,False,2-pointer,2,98-82,'IND',leads
941,941,941,200701270IND,25.5,7.3,4th quarter,1:05.0,Shawne Williams,IND,True,2-pointer,3,100-82,'IND',leads
344,344,344,200701280DET,33.7,28.8,1st quarter,2:29.0,Shawne Williams,IND,False,3-pointer,26,8-21,'IND',trails
346,346,346,200701280DET,24.0,5.0,1st quarter,1:23.0,Shawne Williams,IND,True,2-pointer,0,10-23,'IND',trails
604,604,604,200702050IND,5.4,16.5,2nd quarter,3:10.0,Shawne Williams,IND,False,2-pointer,22,34-50,'IND',trails
719,719,719,200702140IND,25.0,5.7,1st quarter,11:49.0,Shawne Williams,IND,False,2-pointer,1,0-0,IND,tied
720,720,720,200702140IND,25.1,6.5,1st quarter,11:46.0,Shawne Williams,IND,False,2-pointer,2,0-0,IND,tied
730,730,730,200702140IND,24.0,5.7,1st quarter,7:23.0,Shawne Williams,IND,True,2-pointer,1,9-13,IND,trails
734,734,734,200702140IND,21.5,8.8,1st quarter,5:43.0,Shawne Williams,IND,False,2-pointer,5,11-17,IND,trails
1764,1764,1764,200702230TOR,23.5,28.2,4th quarter,11:39.0,Shawne Williams,IND,True,2-pointer,23,66-91,'IND',trails
1766,1766,1766,200702230TOR,1.2,5.7,4th quarter,10:07.0,Shawne Williams,IND,True,3-pointer,23,72-91,'IND',trails
1767,1767,1767,200702230TOR,24.0,5.0,4th quarter,9:37.0,Shawne Williams,IND,False,2-pointer,0,72-91,'IND',trails
1775,1775,1775,200702230TOR,38.0,9.9,4th quarter,6:05.0,Shawne Williams,IND,False,2-pointer,15,82-95,'IND',trails
1785,1785,1785,200702230TOR,23.4,26.5,4th quarter,1:33.0,Shawne Williams,IND,False,2-pointer,22,88-105,'IND',trails
1787,1787,1787,200702230TOR,46.5,8.3,4th quarter,0:21.9,Shawne Williams,IND,False,3-pointer,23,88-110,'IND',trails
661,661,661,200702250IND,24.5,6.2,4th quarter,0:29.0,Shawne Williams,IND,True,2-pointer,1,91-107,'IND',trails
627,627,627,200703030LAC,47.2,8.8,1st quarter,1:25.0,Shawne Williams,IND,False,3-pointer,24,15-20,'IND',trails
631,631,631,200703030LAC,2.0,6.2,2nd quarter,10:47.0,Shawne Williams,IND,True,3-pointer,22,20-24,'IND',trails
633,633,633,200703030LAC,26.6,9.1,2nd quarter,9:41.0,Shawne Williams,IND,True,2-pointer,5,22-24,'IND',trails
637,637,637,200703030LAC,47.5,5.8,2nd quarter,6:53.0,Shawne Williams,IND,False,3-pointer,24,25-31,'IND',trails
666,666,666,200703030LAC,27.3,31.6,4th quarter,10:43.0,Shawne Williams,IND,False,3-pointer,27,46-65,'IND',trails
673,673,673,200703030LAC,1.0,13.1,4th quarter,6:28.0,Shawne Williams,IND,False,3-pointer,24,46-76,'IND',trails
675,675,675,200703030LAC,37.3,5.0,4th quarter,5:10.0,Shawne Williams,IND,False,2-pointer,13,47-78,'IND',trails
676,676,676,200703030LAC,5.9,6.5,4th quarter,4:10.0,Shawne Williams,IND,False,2-pointer,18,47-80,'IND',trails
680,680,680,200703030LAC,44.9,20.0,4th quarter,1:25.0,Shawne Williams,IND,True,3-pointer,26,62-83,'IND',trails
854,854,854,200703060SAC,3.6,15.0,2nd quarter,0:50.9,Shawne Williams,IND,False,2-pointer,23,42-53,'IND',trails
856,856,856,200703060SAC,42.1,21.6,2nd quarter,0:02.2,Shawne Williams,IND,False,3-pointer,25,42-57,'IND',trails
1514,1514,1514,200703070UTA,4.9,2.6,4th quarter,2:55.0,Shawne Williams,IND,False,2-pointer,19,68-89,'IND',trails
227,227,227,200703110CLE,23.7,4.9,4th quarter,0:18.8,Shawne Williams,IND,True,2-pointer,0,88-99,'IND',trails
828,828,828,200703130MIN,3.8,20.1,2nd quarter,10:54.0,Shawne Williams,IND,True,3-pointer,25,23-21,'IND',leads
829,829,829,200703130MIN,4.5,12.6,2nd quarter,10:22.0,Shawne Williams,IND,True,2-pointer,21,25-22,'IND',leads
830,830,830,200703130MIN,24.0,5.0,2nd quarter,8:41.0,Shawne Williams,IND,True,2-pointer,0,27-24,'IND',leads
833,833,833,200703130MIN,6.6,24.9,2nd quarter,6:30.0,Shawne Williams,IND,False,3-pointer,26,29-24,'IND',leads
862,862,862,200703130MIN,37.1,18.3,3rd quarter,2:27.0,Shawne Williams,IND,False,2-pointer,19,62-51,'IND',leads
746,746,746,200703140IND,23.4,7.3,1st quarter,2:37.0,Shawne Williams,IND,False,2-pointer,2,21-19,'IND',leads
750,750,750,200703140IND,24.0,30.7,1st quarter,0:40.9,Shawne Williams,IND,False,3-pointer,26,21-23,'IND',trails
755,755,755,200703140IND,22.7,6.8,2nd quarter,8:13.0,Shawne Williams,IND,True,2-pointer,2,29-31,'IND',trails
757,757,757,200703140IND,13.0,17.8,2nd quarter,7:18.0,Shawne Williams,IND,False,2-pointer,17,29-33,'IND',trails
801,801,801,200703140IND,11.0,4.9,4th quarter,2:49.0,Shawne Williams,IND,True,2-pointer,13,91-106,'IND',trails
802,802,802,200703140IND,22.5,5.2,4th quarter,2:13.0,Shawne Williams,IND,True,2-pointer,2,93-106,'IND',trails
805,805,805,200703140IND,0.7,8.0,4th quarter,0:39.6,Shawne Williams,IND,True,3-pointer,23,96-110,'IND',trails
806,806,806,200703140IND,21.9,5.0,4th quarter,0:16.9,Shawne Williams,IND,False,2-pointer,2,96-112,'IND',trails
441,441,441,200703170IND,0.5,3.7,1st quarter,0:44.9,Shawne Williams,IND,False,3-pointer,24,34-21,IND,leads
