Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,match_id,shotX,shotY,quarter,time_remaining,player,team,made,shot_type,distance,score,opp,status
1284,1284,1284,201012220TOR,37.3,18.7,4th quarter,1:36.0,Solomon Alabi,TOR,False,2-pointer,19,88-115,'TOR',trails
1179,1179,1179,201101210ORL,22.9,10.2,4th quarter,5:55.0,Solomon Alabi,TOR,False,2-pointer,5,66-93,'TOR',trails
1180,1180,1180,201101210ORL,23.3,8.7,4th quarter,5:51.0,Solomon Alabi,TOR,False,2-pointer,4,66-93,'TOR',trails
1185,1185,1185,201101210ORL,23.5,6.2,4th quarter,4:09.0,Solomon Alabi,TOR,True,2-pointer,1,68-99,'TOR',trails
1188,1188,1188,201101210ORL,41.0,8.0,4th quarter,1:41.0,Solomon Alabi,TOR,False,2-pointer,17,70-106,'TOR',trails
871,871,871,201101290MIN,39.4,7.8,4th quarter,5:46.0,Solomon Alabi,TOR,False,2-pointer,16,70-98,'TOR',trails
874,874,874,201101290MIN,18.8,7.5,4th quarter,3:37.0,Solomon Alabi,TOR,False,2-pointer,6,75-101,'TOR',trails
880,880,880,201101290MIN,15.4,12.4,4th quarter,1:09.0,Solomon Alabi,TOR,False,2-pointer,11,81-101,'TOR',trails
883,883,883,201101290MIN,12.9,5.0,4th quarter,0:18.9,Solomon Alabi,TOR,False,2-pointer,11,85-103,'TOR',trails
1614,1614,1614,201102270TOR,12.3,8.1,4th quarter,2:20.0,Solomon Alabi,TOR,False,2-pointer,12,89-110,'DAL',trails
1618,1618,1618,201102270TOR,28.3,9.2,4th quarter,0:52.8,Solomon Alabi,TOR,True,2-pointer,6,96-112,'DAL',trails
693,693,693,201104110MIL,26.1,8.0,2nd quarter,9:25.0,Solomon Alabi,TOR,False,2-pointer,4,40-29,'TOR',leads
697,697,697,201104110MIL,24.4,6.5,2nd quarter,7:44.0,Solomon Alabi,TOR,True,2-pointer,2,42-31,'TOR',leads
2273,2273,2273,201104130TOR,23.0,11.3,1st quarter,1:46.0,Solomon Alabi,TOR,False,2-pointer,6,18-22,'MIA',trails
2324,2324,2324,201104130TOR,9.4,9.1,4th quarter,0:28.8,Solomon Alabi,TOR,False,2-pointer,15,79-97,'MIA',trails
919,919,919,201201290NJN,35.4,12.1,4th quarter,1:50.0,Solomon Alabi,TOR,False,2-pointer,13,90-71,'NJN',leads
1682,1682,1682,201203230TOR,26.1,10.6,4th quarter,1:08.0,Solomon Alabi,TOR,False,2-pointer,6,92-77,'NYK',leads
1684,1684,1684,201203230TOR,24.4,6.1,4th quarter,0:17.4,Solomon Alabi,TOR,True,2-pointer,1,96-77,'NYK',leads
1255,1255,1255,201203260TOR,26.9,19.9,4th quarter,0:39.9,Solomon Alabi,TOR,True,2-pointer,15,98-115,'TOR',trails
1407,1407,1407,201204040PHI,23.6,5.4,4th quarter,1:20.0,Solomon Alabi,TOR,True,2-pointer,1,97-76,'TOR',leads
1409,1409,1409,201204040PHI,8.8,6.7,4th quarter,0:22.9,Solomon Alabi,TOR,False,2-pointer,15,99-78,'TOR',leads
71,71,71,201204150ATL,17.5,14.3,4th quarter,1:31.0,Solomon Alabi,TOR,False,2-pointer,11,100-82,'TOR',leads
1600,1600,1600,201204160TOR,24.0,21.2,2nd quarter,11:24.0,Solomon Alabi,TOR,False,2-pointer,16,32-30,'TOR',leads
1601,1601,1601,201204160TOR,37.0,6.1,2nd quarter,10:12.0,Solomon Alabi,TOR,False,2-pointer,13,33-34,'TOR',trails
1602,1602,1602,201204160TOR,24.2,6.9,2nd quarter,10:07.0,Solomon Alabi,TOR,True,2-pointer,2,35-34,'TOR',leads
1605,1605,1605,201204160TOR,24.0,5.7,2nd quarter,8:56.0,Solomon Alabi,TOR,True,2-pointer,1,40-36,'TOR',leads
1615,1615,1615,201204160TOR,23.6,7.3,2nd quarter,1:56.0,Solomon Alabi,TOR,False,2-pointer,2,48-50,'TOR',trails
1618,1618,1618,201204160TOR,22.4,5.7,2nd quarter,0:30.3,Solomon Alabi,TOR,True,2-pointer,2,51-54,'TOR',trails
1642,1642,1642,201204160TOR,35.0,6.4,4th quarter,10:23.0,Solomon Alabi,TOR,False,2-pointer,11,68-81,'TOR',trails
1656,1656,1656,201204160TOR,8.5,8.6,4th quarter,2:26.0,Solomon Alabi,TOR,False,2-pointer,16,81-99,'TOR',trails
1659,1659,1659,201204160TOR,24.0,6.9,4th quarter,0:58.2,Solomon Alabi,TOR,True,2-pointer,2,85-106,'TOR',trails
1304,1304,1304,201204180MIA,24.7,5.1,2nd quarter,5:36.0,Solomon Alabi,TOR,False,2-pointer,1,37-32,'MIA',leads
1305,1305,1305,201204180MIA,23.2,5.7,2nd quarter,5:34.0,Solomon Alabi,TOR,True,2-pointer,1,39-32,'MIA',leads
