Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,match_id,shotX,shotY,quarter,time_remaining,player,team,made,shot_type,distance,score,opp,status
658,658,658,200901170DEN,22.7,22.9,4th quarter,2:16.0,Sonny Weems,DEN,True,2-pointer,18,86-101,'ORL',trails
659,659,659,200901170DEN,5.8,6.7,4th quarter,1:43.0,Sonny Weems,DEN,True,2-pointer,18,88-101,'ORL',trails
660,660,660,200901170DEN,3.6,6.9,4th quarter,0:39.9,Sonny Weems,DEN,False,2-pointer,20,88-104,'ORL',trails
310,310,310,200901200DEN,29.9,8.6,4th quarter,5:01.0,Sonny Weems,DEN,False,2-pointer,7,112-85,'SAC',leads
312,312,312,200901200DEN,19.4,11.9,4th quarter,3:02.0,Sonny Weems,DEN,False,2-pointer,8,114-87,'SAC',leads
313,313,313,200901200DEN,24.0,5.0,4th quarter,2:51.0,Sonny Weems,DEN,False,2-pointer,0,114-87,'SAC',leads
316,316,316,200901200DEN,6.1,21.8,4th quarter,1:12.0,Sonny Weems,DEN,False,3-pointer,25,118-90,'SAC',leads
318,318,318,200901200DEN,1.2,16.9,4th quarter,0:19.9,Sonny Weems,DEN,False,3-pointer,26,118-96,'SAC',leads
480,480,480,200901250DEN,14.2,18.4,4th quarter,2:36.0,Sonny Weems,DEN,True,2-pointer,17,113-92,'UTA',leads
481,481,481,200901250DEN,35.1,20.6,4th quarter,2:04.0,Sonny Weems,DEN,False,2-pointer,19,113-93,'UTA',leads
484,484,484,200901250DEN,39.4,13.5,4th quarter,1:42.0,Sonny Weems,DEN,False,2-pointer,18,115-93,'UTA',leads
1344,1344,1344,200902060WAS,23.6,3.1,4th quarter,5:58.0,Sonny Weems,DEN,True,2-pointer,2,113-84,'DEN',leads
1349,1349,1349,200902060WAS,40.8,10.3,4th quarter,3:24.0,Sonny Weems,DEN,False,2-pointer,18,116-91,'DEN',leads
1355,1355,1355,200902060WAS,23.2,5.1,4th quarter,0:28.4,Sonny Weems,DEN,True,2-pointer,1,124-101,'DEN',leads
