Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,match_id,shotX,shotY,quarter,time_remaining,player,team,made,shot_type,distance,score,opp,status
1323,1323,1323,200010310POR,24.0,5.0,2nd quarter,6:44.0,Stacey Augmon,POR,True,2-pointer,0,38-34,'POR',leads
1324,1324,1324,200010310POR,23.6,7.1,2nd quarter,6:00.0,Stacey Augmon,POR,False,2-pointer,2,38-36,'POR',leads
1328,1328,1328,200010310POR,20.7,5.4,2nd quarter,4:36.0,Stacey Augmon,POR,True,2-pointer,3,42-40,'POR',leads
1333,1333,1333,200010310POR,43.1,8.4,2nd quarter,0:03.0,Stacey Augmon,POR,False,2-pointer,19,44-53,'POR',trails
1335,1335,1335,200010310POR,23.6,8.0,2nd quarter,0:00.3,Stacey Augmon,POR,False,2-pointer,3,44-53,'POR',trails
1347,1347,1347,200010310POR,44.5,4.6,3rd quarter,5:45.0,Stacey Augmon,POR,False,2-pointer,21,54-63,'POR',trails
1351,1351,1351,200010310POR,24.5,9.5,3rd quarter,2:33.0,Stacey Augmon,POR,True,2-pointer,5,60-65,'POR',trails
1371,1371,1371,200010310POR,40.1,6.5,4th quarter,3:06.0,Stacey Augmon,POR,False,2-pointer,16,78-85,'POR',trails
842,842,842,200011020PHO,10.2,15.1,4th quarter,0:02.4,Stacey Augmon,POR,True,2-pointer,17,82-108,POR,trails
1742,1742,1742,200011040SEA,35.5,4.8,2nd quarter,11:39.0,Stacey Augmon,POR,True,2-pointer,12,29-22,'POR',leads
1751,1751,1751,200011040SEA,13.5,18.5,2nd quarter,6:08.0,Stacey Augmon,POR,False,2-pointer,17,36-28,'POR',leads
366,366,366,200011060SAC,31.7,5.0,2nd quarter,9:17.0,Stacey Augmon,POR,True,2-pointer,8,24-23,'POR',leads
381,381,381,200011060SAC,37.4,21.7,2nd quarter,1:43.0,Stacey Augmon,POR,False,2-pointer,21,34-34,'POR',tied
728,728,728,200011070POR,27.2,7.6,2nd quarter,10:00.0,Stacey Augmon,POR,True,2-pointer,4,31-22,'POR',leads
731,731,731,200011070POR,25.8,10.5,2nd quarter,8:02.0,Stacey Augmon,POR,False,2-pointer,6,37-29,'POR',leads
772,772,772,200011070POR,31.9,7.8,4th quarter,8:45.0,Stacey Augmon,POR,True,2-pointer,8,84-67,'POR',leads
773,773,773,200011070POR,35.5,6.5,4th quarter,8:17.0,Stacey Augmon,POR,False,2-pointer,12,84-67,'POR',leads
1054,1054,1054,200011090POR,40.5,6.5,1st quarter,0:00.4,Stacey Augmon,POR,False,2-pointer,17,22-16,'POR',leads
1059,1059,1059,200011090POR,23.9,8.0,2nd quarter,9:19.0,Stacey Augmon,POR,True,2-pointer,3,29-22,'POR',leads
1064,1064,1064,200011090POR,24.0,5.0,2nd quarter,6:21.0,Stacey Augmon,POR,True,2-pointer,0,37-29,'POR',leads
1072,1072,1072,200011090POR,24.0,5.0,2nd quarter,0:01.7,Stacey Augmon,POR,False,2-pointer,0,50-41,'POR',leads
1100,1100,1100,200011090POR,24.0,5.0,4th quarter,5:11.0,Stacey Augmon,POR,False,2-pointer,0,95-80,'POR',leads
1304,1304,1304,200011110POR,20.1,22.9,1st quarter,10:35.0,Stacey Augmon,POR,True,2-pointer,18,2-0,'POR',leads
1307,1307,1307,200011110POR,9.9,20.8,1st quarter,8:41.0,Stacey Augmon,POR,False,2-pointer,21,4-5,'POR',trails
1314,1314,1314,200011110POR,42.0,5.0,1st quarter,3:54.0,Stacey Augmon,POR,False,2-pointer,18,20-16,'POR',leads
1339,1339,1339,200011110POR,33.1,5.0,3rd quarter,11:15.0,Stacey Augmon,POR,True,2-pointer,9,57-42,'POR',leads
1346,1346,1346,200011110POR,24.0,5.0,3rd quarter,2:50.0,Stacey Augmon,POR,True,2-pointer,0,77-56,'POR',leads
22,22,22,200011140ATL,12.3,17.5,2nd quarter,9:53.0,Stacey Augmon,POR,True,2-pointer,17,32-22,'POR',leads
28,28,28,200011140ATL,24.0,5.0,2nd quarter,6:28.0,Stacey Augmon,POR,True,2-pointer,0,40-34,'POR',leads
33,33,33,200011140ATL,10.2,6.9,2nd quarter,4:15.0,Stacey Augmon,POR,False,2-pointer,14,44-38,'POR',leads
508,508,508,200011160TOR,24.0,5.0,2nd quarter,7:13.0,Stacey Augmon,POR,False,2-pointer,0,28-25,'POR',leads
545,545,545,200011160TOR,24.0,5.0,4th quarter,9:08.0,Stacey Augmon,POR,False,2-pointer,0,68-61,'POR',leads
502,502,502,200011190ORL,7.4,5.9,1st quarter,1:02.0,Stacey Augmon,POR,False,2-pointer,17,24-18,'POR',leads
545,545,545,200011190ORL,24.0,5.0,3rd quarter,0:01.0,Stacey Augmon,POR,False,2-pointer,0,70-72,'POR',trails
802,802,802,200011220MIL,24.0,5.0,2nd quarter,7:16.0,Stacey Augmon,POR,True,2-pointer,0,38-26,'POR',leads
832,832,832,200011220MIL,35.0,18.7,4th quarter,8:52.0,Stacey Augmon,POR,False,2-pointer,18,79-71,'POR',leads
1193,1193,1193,200011250POR,16.1,5.4,2nd quarter,9:42.0,Stacey Augmon,POR,True,2-pointer,8,32-22,'POR',leads
750,750,750,200011300POR,24.0,5.0,2nd quarter,6:20.0,Stacey Augmon,POR,True,2-pointer,0,35-33,'POR',leads
753,753,753,200011300POR,24.0,5.0,2nd quarter,4:47.0,Stacey Augmon,POR,True,2-pointer,0,38-35,'POR',leads
771,771,771,200011300POR,34.8,22.1,3rd quarter,2:00.0,Stacey Augmon,POR,True,2-pointer,20,75-63,'POR',leads
782,782,782,200011300POR,28.1,8.6,4th quarter,6:15.0,Stacey Augmon,POR,True,2-pointer,5,83-72,'POR',leads
783,783,783,200011300POR,18.8,5.9,4th quarter,5:33.0,Stacey Augmon,POR,False,2-pointer,5,83-72,'POR',leads
854,854,854,200012020HOU,24.1,22.1,2nd quarter,6:14.0,Stacey Augmon,POR,False,2-pointer,17,33-33,'POR',tied
858,858,858,200012020HOU,24.0,5.0,2nd quarter,3:34.0,Stacey Augmon,POR,True,2-pointer,0,35-38,'POR',trails
896,896,896,200012020HOU,24.7,8.8,4th quarter,4:12.0,Stacey Augmon,POR,True,2-pointer,4,83-77,'POR',leads
658,658,658,200012030PHO,16.3,9.5,2nd quarter,8:25.0,Stacey Augmon,POR,True,2-pointer,9,23-20,'POR',leads
697,697,697,200012030PHO,24.0,5.0,4th quarter,3:56.0,Stacey Augmon,POR,True,2-pointer,0,70-70,'POR',tied
698,698,698,200012030PHO,17.7,12.2,4th quarter,3:26.0,Stacey Augmon,POR,False,2-pointer,10,70-70,'POR',tied
1057,1057,1057,200012060POR,36.3,5.4,2nd quarter,9:15.0,Stacey Augmon,POR,False,2-pointer,12,23-21,'POR',leads
1063,1063,1063,200012060POR,24.3,7.6,2nd quarter,6:19.0,Stacey Augmon,POR,False,2-pointer,3,35-25,'POR',leads
1094,1094,1094,200012060POR,24.0,5.0,3rd quarter,0:14.7,Stacey Augmon,POR,True,2-pointer,0,66-58,'POR',leads
1105,1105,1105,200012060POR,24.0,5.0,4th quarter,6:18.0,Stacey Augmon,POR,True,2-pointer,0,82-72,'POR',leads
1193,1193,1193,200012080POR,37.2,21.5,1st quarter,0:02.2,Stacey Augmon,POR,False,2-pointer,21,30-32,'POR',trails
