Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,match_id,shotX,shotY,quarter,time_remaining,player,team,made,shot_type,distance,score,opp,status
279,279,279,200103290CHI,24.0,5.0,2nd quarter,1:02.0,Steve Goodrich,CHI,True,2-pointer,0,54-49,'BOS',leads
297,297,297,200103310CHI,43.9,6.3,4th quarter,10:24.0,Steve Goodrich,CHI,False,2-pointer,20,62-78,'MIA',trails
121,121,121,200104030CHI,24.7,28.0,2nd quarter,2:14.0,Steve Goodrich,CHI,True,2-pointer,23,42-48,'DET',trails
124,124,124,200104030CHI,17.1,17.5,2nd quarter,0:49.9,Steve Goodrich,CHI,False,2-pointer,14,45-54,'DET',trails
105,105,105,200104050CHI,39.0,25.3,2nd quarter,2:31.0,Steve Goodrich,CHI,False,3-pointer,25,44-47,LAL,trails
107,107,107,200104050CHI,24.0,5.0,2nd quarter,2:25.0,Steve Goodrich,CHI,False,2-pointer,0,44-47,LAL,trails
372,372,372,200104060IND,46.8,4.2,4th quarter,10:06.0,Steve Goodrich,CHI,True,3-pointer,23,85-80,'IND',leads
972,972,972,200104080TOR,24.0,5.0,2nd quarter,4:48.0,Steve Goodrich,CHI,False,2-pointer,0,33-35,'TOR',trails
979,979,979,200104080TOR,24.0,5.0,2nd quarter,1:42.0,Steve Goodrich,CHI,False,2-pointer,0,37-39,'TOR',trails
981,981,981,200104080TOR,24.0,5.0,2nd quarter,1:14.0,Steve Goodrich,CHI,True,2-pointer,0,39-41,'TOR',trails
738,738,738,200104100MIL,35.0,20.6,4th quarter,7:39.0,Steve Goodrich,CHI,False,2-pointer,19,67-92,'MIL',trails
751,751,751,200104100MIL,24.0,5.0,4th quarter,0:50.8,Steve Goodrich,CHI,False,2-pointer,0,82-105,'MIL',trails
1009,1009,1009,200104110WAS,23.2,5.4,3rd quarter,2:14.0,Steve Goodrich,CHI,False,2-pointer,1,82-77,'WAS',leads
85,85,85,200104130CHI,24.0,5.0,1st quarter,1:59.0,Steve Goodrich,CHI,True,2-pointer,0,17-13,'UTA',leads
299,299,299,200104150CHI,8.7,25.3,3rd quarter,0:40.9,Steve Goodrich,CHI,False,3-pointer,25,60-71,'IND',trails
309,309,309,200104150CHI,24.0,5.0,4th quarter,6:31.0,Steve Goodrich,CHI,True,2-pointer,0,73-79,'IND',trails
923,923,923,200104170NJN,24.0,5.0,4th quarter,8:52.0,Steve Goodrich,CHI,False,2-pointer,0,85-76,'NJN',leads
924,924,924,200104170NJN,24.0,5.0,4th quarter,8:49.0,Steve Goodrich,CHI,True,2-pointer,0,87-76,'NJN',leads
916,916,916,200111270NJN,24.0,5.0,2nd quarter,10:22.0,Steve Goodrich,NJN,False,2-pointer,0,30-23,'NJN',leads
969,969,969,200111270NJN,24.0,5.0,4th quarter,5:44.0,Steve Goodrich,NJN,False,2-pointer,0,89-58,'NJN',leads
886,886,886,200112080MIL,43.5,12.4,4th quarter,0:36.7,Steve Goodrich,NJN,True,2-pointer,21,79-95,'NJN',trails
242,242,242,200112110CHI,10.6,10.7,4th quarter,2:46.0,Steve Goodrich,NJN,False,2-pointer,15,100-86,'NJN',leads
244,244,244,200112110CHI,18.4,9.7,4th quarter,1:34.0,Steve Goodrich,NJN,False,2-pointer,7,102-86,'NJN',leads
369,369,369,200112310WAS,39.7,18.7,4th quarter,1:54.0,Steve Goodrich,NJN,False,2-pointer,21,74-94,'NJN',trails
370,370,370,200112310WAS,21.7,5.9,4th quarter,1:09.0,Steve Goodrich,NJN,True,2-pointer,2,76-94,'NJN',trails
983,983,983,200201020NJN,24.0,5.0,4th quarter,4:28.0,Steve Goodrich,NJN,False,2-pointer,0,88-63,'NJN',leads
990,990,990,200201020NJN,25.1,22.1,4th quarter,0:14.6,Steve Goodrich,NJN,False,2-pointer,17,92-74,'NJN',leads
187,187,187,200201050CHH,17.5,9.7,2nd quarter,7:30.0,Steve Goodrich,NJN,False,2-pointer,8,28-21,'CHH',leads
