Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,match_id,shotX,shotY,quarter,time_remaining,player,team,made,shot_type,distance,score,opp,status
303,303,303,201910220TOR,22.3,3.8,2nd quarter,3:47.0,Terence Davis,TOR,False,2-pointer,2,44-49,'NOP',trails
304,304,304,201910220TOR,24.0,2.7,2nd quarter,3:43.0,Terence Davis,TOR,False,2-pointer,1,44-49,'NOP',trails
305,305,305,201910220TOR,24.0,2.7,2nd quarter,3:41.0,Terence Davis,TOR,True,2-pointer,1,46-49,'NOP',trails
307,307,307,201910220TOR,43.6,18.4,2nd quarter,3:06.0,Terence Davis,TOR,False,3-pointer,25,46-52,'NOP',trails
345,345,345,201910220TOR,34.8,26.8,4th quarter,9:06.0,Terence Davis,TOR,True,3-pointer,26,94-96,'NOP',trails
346,346,346,201910220TOR,47.0,8.6,4th quarter,8:38.0,Terence Davis,TOR,False,3-pointer,24,94-96,'NOP',trails
17,17,17,201910250BOS,7.0,24.4,1st quarter,1:12.0,Terence Davis,TOR,True,3-pointer,27,21-22,'TOR',trails
18,18,18,201910250BOS,2.0,15.9,1st quarter,0:48.0,Terence Davis,TOR,False,3-pointer,25,21-22,'TOR',trails
21,21,21,201910250BOS,21.0,29.6,2nd quarter,11:29.0,Terence Davis,TOR,False,3-pointer,27,21-24,'TOR',trails
60,60,60,201910250BOS,24.4,3.4,4th quarter,11:24.0,Terence Davis,TOR,False,2-pointer,0,82-76,'TOR',leads
263,263,263,201910260CHI,23.6,4.7,4th quarter,1:02.0,Terence Davis,TOR,False,2-pointer,1,106-81,'TOR',leads
571,571,571,201911020MIL,26.6,6.5,3rd quarter,2:07.0,Terence Davis,TOR,False,2-pointer,4,81-92,'TOR',trails
576,576,576,201911020MIL,22.8,5.9,3rd quarter,0:00.0,Terence Davis,TOR,True,2-pointer,3,90-95,'TOR',trails
1139,1139,1139,201911080NOP,9.3,25.3,4th quarter,11:25.0,Terence Davis,TOR,False,3-pointer,27,97-77,'NOP',leads
13,13,13,201911100LAL,25.3,30.1,1st quarter,3:18.0,Terence Davis,TOR,True,3-pointer,27,18-26,'LAL',trails
15,15,15,201911100LAL,13.4,28.1,1st quarter,2:17.0,Terence Davis,TOR,False,3-pointer,27,20-26,'LAL',trails
59,59,59,201911100LAL,28.2,6.6,3rd quarter,3:32.0,Terence Davis,TOR,False,2-pointer,5,70-71,'LAL',trails
61,61,61,201911100LAL,46.6,13.0,3rd quarter,2:44.0,Terence Davis,TOR,True,3-pointer,25,73-71,'LAL',leads
62,62,62,201911100LAL,0.8,4.1,3rd quarter,2:15.0,Terence Davis,TOR,False,3-pointer,23,73-71,'LAL',leads
68,68,68,201911100LAL,24.0,2.7,4th quarter,11:05.0,Terence Davis,TOR,True,2-pointer,1,82-78,'LAL',leads
81,81,81,201911100LAL,23.2,4.3,4th quarter,4:39.0,Terence Davis,TOR,True,2-pointer,1,101-90,'LAL',leads
82,82,82,201911100LAL,47.7,6.4,4th quarter,3:50.0,Terence Davis,TOR,True,3-pointer,24,104-92,'LAL',leads
534,534,534,201911110LAC,24.8,3.2,1st quarter,4:35.0,Terence Davis,TOR,True,2-pointer,1,12-9,'TOR',leads
542,542,542,201911110LAC,38.7,24.9,2nd quarter,11:13.0,Terence Davis,TOR,False,3-pointer,26,23-16,'TOR',leads
543,543,543,201911110LAC,27.2,5.8,2nd quarter,10:46.0,Terence Davis,TOR,False,2-pointer,4,23-19,'TOR',leads
580,580,580,201911110LAC,12.7,26.6,3rd quarter,2:38.0,Terence Davis,TOR,True,3-pointer,26,70-69,'TOR',leads
1115,1115,1115,201911130POR,11.6,6.9,2nd quarter,11:35.0,Terence Davis,TOR,False,2-pointer,13,23-30,'POR',trails
1117,1117,1117,201911130POR,24.5,4.1,2nd quarter,10:50.0,Terence Davis,TOR,True,2-pointer,1,25-30,'POR',trails
1119,1119,1119,201911130POR,37.0,26.7,2nd quarter,9:57.0,Terence Davis,TOR,True,3-pointer,27,28-30,'POR',trails
1120,1120,1120,201911130POR,12.4,25.9,2nd quarter,9:00.0,Terence Davis,TOR,False,3-pointer,25,30-36,'POR',trails
1122,1122,1122,201911130POR,39.5,27.9,2nd quarter,7:41.0,Terence Davis,TOR,True,3-pointer,29,33-36,'POR',trails
1133,1133,1133,201911130POR,8.1,24.2,2nd quarter,2:35.0,Terence Davis,TOR,True,3-pointer,26,47-45,'POR',leads
1153,1153,1153,201911130POR,22.1,3.6,3rd quarter,2:23.0,Terence Davis,TOR,True,2-pointer,2,78-75,'POR',leads
1160,1160,1160,201911130POR,31.7,27.2,4th quarter,11:25.0,Terence Davis,TOR,False,3-pointer,25,87-81,'POR',leads
1161,1161,1161,201911130POR,25.1,4.6,4th quarter,11:03.0,Terence Davis,TOR,False,2-pointer,2,87-81,'POR',leads
1163,1163,1163,201911130POR,31.7,27.3,4th quarter,10:15.0,Terence Davis,TOR,False,3-pointer,25,89-83,'POR',leads
196,196,196,201911160DAL,4.4,17.7,1st quarter,1:21.0,Terence Davis,TOR,False,3-pointer,24,19-25,'DAL',trails
197,197,197,201911160DAL,37.4,25.5,1st quarter,0:55.0,Terence Davis,TOR,False,3-pointer,26,19-27,'DAL',trails
200,200,200,201911160DAL,24.3,4.3,2nd quarter,10:46.0,Terence Davis,TOR,False,2-pointer,1,23-32,'DAL',trails
203,203,203,201911160DAL,24.4,8.6,2nd quarter,9:40.0,Terence Davis,TOR,True,2-pointer,5,29-36,'DAL',trails
205,205,205,201911160DAL,26.8,30.8,2nd quarter,8:38.0,Terence Davis,TOR,False,3-pointer,28,29-40,'DAL',trails
250,250,250,201911160DAL,23.1,4.4,4th quarter,8:53.0,Terence Davis,TOR,False,2-pointer,1,81-90,'DAL',trails
1337,1337,1337,201911180TOR,0.7,4.3,1st quarter,2:44.0,Terence Davis,TOR,False,3-pointer,23,21-18,'TOR',leads
1339,1339,1339,201911180TOR,22.8,3.8,1st quarter,1:44.0,Terence Davis,TOR,False,2-pointer,1,24-18,'TOR',leads
1402,1402,1402,201911180TOR,40.8,26.3,4th quarter,9:01.0,Terence Davis,TOR,True,3-pointer,29,105-78,'TOR',leads
1406,1406,1406,201911180TOR,24.3,29.1,4th quarter,7:14.0,Terence Davis,TOR,True,3-pointer,26,110-81,'TOR',leads
1407,1407,1407,201911180TOR,47.7,7.9,4th quarter,6:43.0,Terence Davis,TOR,True,3-pointer,24,113-81,'TOR',leads
1409,1409,1409,201911180TOR,23.1,3.6,4th quarter,5:43.0,Terence Davis,TOR,True,2-pointer,1,117-82,'TOR',leads
1410,1410,1410,201911180TOR,2.2,17.3,4th quarter,5:20.0,Terence Davis,TOR,True,3-pointer,26,120-82,'TOR',leads
1688,1688,1688,201911200TOR,1.5,14.2,1st quarter,2:34.0,Terence Davis,TOR,True,3-pointer,25,25-26,'TOR',trails
1689,1689,1689,201911200TOR,25.4,28.5,1st quarter,1:47.0,Terence Davis,TOR,True,3-pointer,25,28-29,'TOR',trails
1692,1692,1692,201911200TOR,22.2,4.2,1st quarter,0:30.0,Terence Davis,TOR,True,2-pointer,2,30-32,'TOR',trails
1702,1702,1702,201911200TOR,26.5,16.2,2nd quarter,7:40.0,Terence Davis,TOR,True,2-pointer,13,43-34,'TOR',leads
1704,1704,1704,201911200TOR,1.4,1.9,2nd quarter,6:29.0,Terence Davis,TOR,True,3-pointer,23,48-37,'TOR',leads
1710,1710,1710,201911200TOR,10.7,23.9,2nd quarter,3:50.0,Terence Davis,TOR,False,3-pointer,25,53-43,'TOR',leads
1728,1728,1728,201911200TOR,14.2,22.3,3rd quarter,3:25.0,Terence Davis,TOR,False,2-pointer,21,73-65,'TOR',leads
1737,1737,1737,201911200TOR,5.5,19.5,4th quarter,10:18.0,Terence Davis,TOR,False,3-pointer,25,83-70,'TOR',leads
1747,1747,1747,201911200TOR,26.0,4.2,4th quarter,7:03.0,Terence Davis,TOR,True,2-pointer,2,91-79,'TOR',leads
1758,1758,1758,201911200TOR,22.8,5.8,4th quarter,1:32.0,Terence Davis,TOR,True,2-pointer,3,110-92,'TOR',leads
22,22,22,201911230ATL,22.6,4.6,2nd quarter,11:27.0,Terence Davis,TOR,False,2-pointer,2,26-27,'TOR',trails
35,35,35,201911230ATL,13.7,1.2,2nd quarter,4:16.0,Terence Davis,TOR,False,2-pointer,11,44-48,'TOR',trails
65,65,65,201911230ATL,16.7,28.3,3rd quarter,0:53.0,Terence Davis,TOR,True,3-pointer,26,87-85,'TOR',leads
66,66,66,201911230ATL,5.0,19.2,3rd quarter,0:12.0,Terence Davis,TOR,False,3-pointer,25,87-88,'TOR',trails
73,73,73,201911230ATL,20.7,28.5,4th quarter,10:08.0,Terence Davis,TOR,False,3-pointer,25,89-90,'TOR',trails
78,78,78,201911230ATL,24.3,4.8,4th quarter,7:10.0,Terence Davis,TOR,True,2-pointer,2,97-92,'TOR',leads
1860,1860,1860,201911250TOR,13.5,27.0,1st quarter,4:44.0,Terence Davis,TOR,False,3-pointer,26,17-19,'TOR',trails
1869,1869,1869,201911250TOR,39.8,26.5,1st quarter,0:20.0,Terence Davis,TOR,False,3-pointer,28,28-31,'TOR',trails
1872,1872,1872,201911250TOR,24.0,2.7,2nd quarter,11:10.0,Terence Davis,TOR,True,2-pointer,1,30-36,'TOR',trails
1908,1908,1908,201911250TOR,0.1,2.4,3rd quarter,0:34.0,Terence Davis,TOR,True,3-pointer,24,81-77,'TOR',leads
1911,1911,1911,201911250TOR,22.1,4.1,4th quarter,10:38.0,Terence Davis,TOR,True,2-pointer,2,83-83,'TOR',tied
1913,1913,1913,201911250TOR,4.5,20.8,4th quarter,9:57.0,Terence Davis,TOR,False,3-pointer,26,83-85,'TOR',trails
1916,1916,1916,201911250TOR,36.6,10.0,4th quarter,8:27.0,Terence Davis,TOR,True,2-pointer,14,86-87,'TOR',trails
1918,1918,1918,201911250TOR,23.3,4.2,4th quarter,7:31.0,Terence Davis,TOR,True,2-pointer,1,88-87,'TOR',leads
2412,2412,2412,201911270TOR,33.7,26.1,1st quarter,1:15.0,Terence Davis,TOR,False,3-pointer,25,19-29,'NYK',trails
2413,2413,2413,201911270TOR,24.6,5.7,1st quarter,1:11.0,Terence Davis,TOR,True,2-pointer,2,21-29,'NYK',trails
2417,2417,2417,201911270TOR,10.1,23.8,2nd quarter,10:45.0,Terence Davis,TOR,False,3-pointer,25,24-32,'NYK',trails
2419,2419,2419,201911270TOR,25.1,3.2,2nd quarter,9:48.0,Terence Davis,TOR,True,2-pointer,1,26-32,'NYK',trails
2420,2420,2420,201911270TOR,23.0,27.9,2nd quarter,9:18.0,Terence Davis,TOR,True,3-pointer,25,29-32,'NYK',trails
2426,2426,2426,201911270TOR,4.2,18.2,2nd quarter,6:52.0,Terence Davis,TOR,True,3-pointer,25,39-34,'NYK',leads
2428,2428,2428,201911270TOR,3.8,18.4,2nd quarter,6:05.0,Terence Davis,TOR,False,3-pointer,25,43-34,'NYK',leads
2430,2430,2430,201911270TOR,0.9,1.8,2nd quarter,5:14.0,Terence Davis,TOR,False,3-pointer,23,43-37,'NYK',leads
2459,2459,2459,201911270TOR,22.0,5.4,3rd quarter,1:15.0,Terence Davis,TOR,False,2-pointer,3,85-67,'NYK',leads
2466,2466,2466,201911270TOR,23.8,5.0,4th quarter,8:42.0,Terence Davis,TOR,True,2-pointer,2,101-76,'NYK',leads
2470,2470,2470,201911270TOR,26.3,4.8,4th quarter,6:29.0,Terence Davis,TOR,False,2-pointer,3,107-81,'NYK',leads
2477,2477,2477,201911270TOR,11.3,24.6,4th quarter,2:14.0,Terence Davis,TOR,True,3-pointer,25,121-89,'NYK',leads
1579,1579,1579,201911290ORL,24.4,3.9,1st quarter,3:53.0,Terence Davis,TOR,True,2-pointer,1,13-15,'TOR',trails
1582,1582,1582,201911290ORL,24.3,6.8,1st quarter,2:09.0,Terence Davis,TOR,False,2-pointer,4,15-15,'TOR',tied
1584,1584,1584,201911290ORL,4.5,20.3,1st quarter,1:37.0,Terence Davis,TOR,False,3-pointer,26,17-15,'TOR',leads
1637,1637,1637,201911290ORL,23.6,4.1,4th quarter,6:08.0,Terence Davis,TOR,True,2-pointer,1,79-70,'TOR',leads
1555,1555,1555,201912010TOR,23.9,3.7,2nd quarter,10:43.0,Terence Davis,TOR,True,2-pointer,0,42-23,'TOR',leads
1561,1561,1561,201912010TOR,23.4,6.7,2nd quarter,7:18.0,Terence Davis,TOR,True,2-pointer,3,54-29,'TOR',leads
1562,1562,1562,201912010TOR,26.8,29.1,2nd quarter,6:53.0,Terence Davis,TOR,True,3-pointer,26,57-29,'TOR',leads
1565,1565,1565,201912010TOR,26.8,5.0,2nd quarter,5:35.0,Terence Davis,TOR,False,2-pointer,3,60-29,'TOR',leads
1566,1566,1566,201912010TOR,3.7,18.5,2nd quarter,5:19.0,Terence Davis,TOR,False,3-pointer,25,61-29,'TOR',leads
1569,1569,1569,201912010TOR,24.3,4.6,2nd quarter,4:05.0,Terence Davis,TOR,True,2-pointer,1,63-29,'TOR',leads
1613,1613,1613,201912010TOR,11.8,30.0,4th quarter,1:43.0,Terence Davis,TOR,True,3-pointer,29,128-106,'TOR',leads
1066,1066,1066,201912030TOR,28.8,17.9,2nd quarter,9:26.0,Terence Davis,TOR,False,2-pointer,15,29-37,'MIA',trails
1101,1101,1101,201912030TOR,13.0,26.7,3rd quarter,1:29.0,Terence Davis,TOR,False,3-pointer,26,76-83,'MIA',trails
1105,1105,1105,201912030TOR,47.3,4.1,4th quarter,10:45.0,Terence Davis,TOR,False,3-pointer,23,83-86,'MIA',trails
477,477,477,201912050TOR,16.7,29.0,1st quarter,2:22.0,Terence Davis,TOR,True,3-pointer,27,20-22,'HOU',trails
