Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,match_id,shotX,shotY,quarter,time_remaining,player,team,made,shot_type,distance,score,opp,status
857,857,857,202201260IND,21.9,3.8,4th quarter,8:14.0,Terry Taylor,IND,True,2-pointer,2,106-131,'IND',trails
1133,1133,1133,202201280OKC,20.3,5.4,2nd quarter,9:44.0,Terry Taylor,IND,True,2-pointer,4,32-32,'IND',tied
1134,1134,1134,202201280OKC,21.8,4.2,2nd quarter,9:05.0,Terry Taylor,IND,True,2-pointer,2,34-34,'IND',tied
1135,1135,1135,202201280OKC,21.1,5.8,2nd quarter,8:07.0,Terry Taylor,IND,False,2-pointer,4,34-34,'IND',tied
1136,1136,1136,202201280OKC,31.9,5.9,2nd quarter,7:59.0,Terry Taylor,IND,False,2-pointer,8,34-34,'IND',tied
1164,1164,1164,202201280OKC,24.0,3.3,3rd quarter,5:24.0,Terry Taylor,IND,True,2-pointer,0,56-70,'IND',trails
1166,1166,1166,202201280OKC,26.5,8.3,3rd quarter,4:06.0,Terry Taylor,IND,True,2-pointer,6,59-70,'IND',trails
75,75,75,202201290DAL,23.3,4.2,4th quarter,9:06.0,Terry Taylor,IND,True,2-pointer,1,86-110,'DAL',trails
76,76,76,202201290DAL,0.7,5.4,4th quarter,8:13.0,Terry Taylor,IND,False,3-pointer,23,86-113,'DAL',trails
788,788,788,202201310IND,22.6,4.6,1st quarter,2:50.0,Terry Taylor,IND,True,2-pointer,2,25-22,'IND',leads
798,798,798,202201310IND,24.0,3.3,2nd quarter,10:55.0,Terry Taylor,IND,False,2-pointer,0,32-30,'IND',leads
803,803,803,202201310IND,25.9,3.6,2nd quarter,8:45.0,Terry Taylor,IND,True,2-pointer,2,40-37,'IND',leads
806,806,806,202201310IND,22.5,4.3,2nd quarter,7:22.0,Terry Taylor,IND,False,2-pointer,2,42-40,'IND',leads
816,816,816,202201310IND,25.4,6.0,2nd quarter,1:52.0,Terry Taylor,IND,False,2-pointer,3,55-50,'IND',leads
817,817,817,202201310IND,22.1,4.8,2nd quarter,1:48.0,Terry Taylor,IND,True,2-pointer,2,57-50,'IND',leads
833,833,833,202201310IND,25.7,3.9,3rd quarter,2:47.0,Terry Taylor,IND,True,2-pointer,2,79-82,'IND',trails
834,834,834,202201310IND,0.7,4.4,3rd quarter,2:19.0,Terry Taylor,IND,True,3-pointer,23,82-82,'IND',tied
848,848,848,202201310IND,24.0,3.3,4th quarter,7:53.0,Terry Taylor,IND,True,2-pointer,0,103-94,'IND',leads
850,850,850,202201310IND,21.6,6.5,4th quarter,7:04.0,Terry Taylor,IND,False,2-pointer,4,106-96,'IND',leads
851,851,851,202201310IND,23.3,3.8,4th quarter,7:01.0,Terry Taylor,IND,True,2-pointer,1,108-96,'IND',leads
609,609,609,202202020IND,20.7,4.7,1st quarter,11:27.0,Terry Taylor,IND,False,2-pointer,4,0-0,'IND',tied
611,611,611,202202020IND,22.0,3.2,1st quarter,10:48.0,Terry Taylor,IND,True,2-pointer,2,2-0,'IND',leads
614,614,614,202202020IND,0.9,5.2,1st quarter,9:16.0,Terry Taylor,IND,True,3-pointer,23,8-6,'IND',leads
616,616,616,202202020IND,38.8,24.6,1st quarter,8:05.0,Terry Taylor,IND,False,3-pointer,26,8-6,'IND',leads
620,620,620,202202020IND,24.6,3.6,1st quarter,6:41.0,Terry Taylor,IND,True,2-pointer,1,18-8,'IND',leads
640,640,640,202202020IND,23.5,3.9,2nd quarter,8:20.0,Terry Taylor,IND,True,2-pointer,1,47-37,'IND',leads
644,644,644,202202020IND,22.3,4.9,2nd quarter,6:01.0,Terry Taylor,IND,True,2-pointer,2,55-43,'IND',leads
651,651,651,202202020IND,22.7,7.8,2nd quarter,2:57.0,Terry Taylor,IND,True,2-pointer,5,62-45,'IND',leads
663,663,663,202202020IND,21.6,5.7,3rd quarter,8:16.0,Terry Taylor,IND,False,2-pointer,3,74-62,'IND',leads
677,677,677,202202020IND,25.5,4.6,3rd quarter,2:09.0,Terry Taylor,IND,True,2-pointer,2,88-80,'IND',leads
686,686,686,202202020IND,24.0,3.3,4th quarter,9:26.0,Terry Taylor,IND,False,2-pointer,0,94-88,'IND',leads
687,687,687,202202020IND,24.0,3.3,4th quarter,9:25.0,Terry Taylor,IND,False,2-pointer,0,94-88,'IND',leads
688,688,688,202202020IND,21.3,4.2,4th quarter,8:49.0,Terry Taylor,IND,True,2-pointer,3,96-90,'IND',leads
695,695,695,202202020IND,21.5,6.0,4th quarter,5:00.0,Terry Taylor,IND,True,2-pointer,4,106-99,'IND',leads
697,697,697,202202020IND,22.8,9.8,4th quarter,3:47.0,Terry Taylor,IND,True,2-pointer,7,108-99,'IND',leads
764,764,764,202202040IND,13.3,25.5,1st quarter,11:44.0,Terry Taylor,IND,False,3-pointer,25,0-2,'IND',trails
768,768,768,202202040IND,24.0,3.3,1st quarter,10:15.0,Terry Taylor,IND,False,2-pointer,0,0-8,'IND',trails
772,772,772,202202040IND,25.2,3.7,1st quarter,8:19.0,Terry Taylor,IND,True,2-pointer,1,9-15,'IND',trails
775,775,775,202202040IND,22.1,4.8,1st quarter,6:46.0,Terry Taylor,IND,False,2-pointer,2,13-21,'IND',trails
778,778,778,202202040IND,31.4,20.6,1st quarter,5:44.0,Terry Taylor,IND,False,2-pointer,19,15-23,'IND',trails
783,783,783,202202040IND,22.5,3.3,1st quarter,3:02.0,Terry Taylor,IND,True,2-pointer,2,24-33,'IND',trails
799,799,799,202202040IND,23.3,7.0,2nd quarter,6:41.0,Terry Taylor,IND,True,2-pointer,4,42-49,'IND',trails
805,805,805,202202040IND,22.5,3.6,2nd quarter,2:42.0,Terry Taylor,IND,True,2-pointer,2,52-58,'IND',trails
809,809,809,202202040IND,21.9,4.9,2nd quarter,0:16.0,Terry Taylor,IND,False,2-pointer,3,59-65,'IND',trails
810,810,810,202202040IND,24.0,3.3,2nd quarter,0:15.0,Terry Taylor,IND,True,2-pointer,0,61-65,'IND',trails
815,815,815,202202040IND,12.9,26.1,3rd quarter,8:57.0,Terry Taylor,IND,True,3-pointer,25,68-73,'IND',trails
817,817,817,202202040IND,22.2,8.4,3rd quarter,8:04.0,Terry Taylor,IND,True,2-pointer,5,70-77,'IND',trails
818,818,818,202202040IND,21.6,6.2,3rd quarter,7:29.0,Terry Taylor,IND,False,2-pointer,4,70-77,'IND',trails
838,838,838,202202040IND,22.7,4.6,4th quarter,8:11.0,Terry Taylor,IND,True,2-pointer,2,96-99,'IND',trails
842,842,842,202202040IND,21.3,8.2,4th quarter,6:32.0,Terry Taylor,IND,False,2-pointer,6,98-105,'IND',trails
844,844,844,202202040IND,23.8,4.6,4th quarter,6:20.0,Terry Taylor,IND,False,2-pointer,1,98-105,'IND',trails
853,853,853,202202040IND,23.1,4.7,4th quarter,2:38.0,Terry Taylor,IND,True,2-pointer,2,108-112,'IND',trails
201,201,201,202202060CLE,23.1,3.8,2nd quarter,3:38.0,Terry Taylor,IND,False,2-pointer,1,38-31,'IND',leads
202,202,202,202202060CLE,24.0,3.3,2nd quarter,3:36.0,Terry Taylor,IND,False,2-pointer,0,38-31,'IND',leads
204,204,204,202202060CLE,24.8,6.9,2nd quarter,3:09.0,Terry Taylor,IND,False,2-pointer,4,38-31,'IND',leads
205,205,205,202202060CLE,24.0,3.3,2nd quarter,3:03.0,Terry Taylor,IND,True,2-pointer,0,40-31,'IND',leads
209,209,209,202202060CLE,19.7,12.6,2nd quarter,0:31.0,Terry Taylor,IND,True,2-pointer,10,47-36,'IND',leads
240,240,240,202202060CLE,29.7,7.7,4th quarter,4:44.0,Terry Taylor,IND,False,2-pointer,7,76-91,'IND',trails
14,14,14,202202080ATL,23.3,2.4,1st quarter,4:07.0,Terry Taylor,IND,False,2-pointer,1,13-30,'IND',trails
15,15,15,202202080ATL,27.3,7.3,1st quarter,4:05.0,Terry Taylor,IND,False,2-pointer,5,13-30,'IND',trails
21,21,21,202202080ATL,23.3,3.1,1st quarter,2:13.0,Terry Taylor,IND,False,2-pointer,1,16-32,'IND',trails
22,22,22,202202080ATL,24.0,3.3,1st quarter,2:09.0,Terry Taylor,IND,True,2-pointer,0,18-32,'IND',trails
36,36,36,202202080ATL,24.7,3.6,2nd quarter,7:55.0,Terry Taylor,IND,True,2-pointer,1,32-52,'IND',trails
42,42,42,202202080ATL,24.0,3.3,2nd quarter,5:18.0,Terry Taylor,IND,False,2-pointer,0,39-58,'IND',trails
43,43,43,202202080ATL,24.0,3.3,2nd quarter,5:16.0,Terry Taylor,IND,False,2-pointer,0,39-58,'IND',trails
77,77,77,202202080ATL,12.7,25.9,4th quarter,9:31.0,Terry Taylor,IND,True,3-pointer,25,84-112,'IND',trails
88,88,88,202202080ATL,23.4,7.5,4th quarter,2:22.0,Terry Taylor,IND,False,2-pointer,4,107-130,'IND',trails
281,281,281,202202130IND,21.9,3.7,1st quarter,2:08.0,Terry Taylor,IND,True,2-pointer,2,29-24,'IND',leads
335,335,335,202202130IND,22.1,3.7,3rd quarter,1:25.0,Terry Taylor,IND,True,2-pointer,2,94-96,'IND',trails
339,339,339,202202130IND,46.8,3.9,4th quarter,10:48.0,Terry Taylor,IND,False,3-pointer,23,102-107,'IND',trails
341,341,341,202202130IND,24.0,3.3,4th quarter,9:50.0,Terry Taylor,IND,True,2-pointer,0,104-110,'IND',trails
342,342,342,202202130IND,25.8,4.4,4th quarter,9:16.0,Terry Taylor,IND,True,2-pointer,2,106-110,'IND',trails
346,346,346,202202130IND,32.8,12.2,4th quarter,7:24.0,Terry Taylor,IND,False,2-pointer,12,108-112,'IND',trails
347,347,347,202202130IND,23.0,4.6,4th quarter,7:11.0,Terry Taylor,IND,False,2-pointer,2,108-112,'IND',trails
357,357,357,202202150MIL,19.5,12.7,2nd quarter,7:36.0,Terry Taylor,IND,True,2-pointer,10,43-46,'IND',trails
358,358,358,202202150MIL,21.8,5.5,2nd quarter,7:14.0,Terry Taylor,IND,True,2-pointer,3,45-46,'IND',trails
360,360,360,202202150MIL,21.5,7.2,2nd quarter,6:27.0,Terry Taylor,IND,False,2-pointer,5,48-46,'IND',leads
372,372,372,202202150MIL,24.3,4.4,2nd quarter,0:33.0,Terry Taylor,IND,True,2-pointer,1,60-69,'IND',trails
390,390,390,202202150MIL,24.2,4.3,3rd quarter,4:13.0,Terry Taylor,IND,True,2-pointer,1,85-89,'IND',trails
395,395,395,202202150MIL,24.3,4.6,3rd quarter,1:28.0,Terry Taylor,IND,True,2-pointer,1,91-93,'IND',trails
402,402,402,202202150MIL,0.7,8.5,4th quarter,8:47.0,Terry Taylor,IND,False,3-pointer,24,97-106,'IND',trails
620,620,620,202202160IND,23.9,5.1,1st quarter,7:30.0,Terry Taylor,IND,False,2-pointer,2,4-7,'IND',trails
648,648,648,202202160IND,24.0,3.3,2nd quarter,2:44.0,Terry Taylor,IND,False,2-pointer,0,52-39,'IND',leads
664,664,664,202202160IND,26.3,5.0,3rd quarter,5:45.0,Terry Taylor,IND,True,2-pointer,3,72-63,'IND',leads
665,665,665,202202160IND,24.7,5.4,3rd quarter,5:23.0,Terry Taylor,IND,True,2-pointer,2,74-63,'IND',leads
668,668,668,202202160IND,24.0,6.9,3rd quarter,3:40.0,Terry Taylor,IND,True,2-pointer,4,78-65,'IND',leads
670,670,670,202202160IND,24.3,4.4,3rd quarter,2:22.0,Terry Taylor,IND,True,2-pointer,1,80-68,'IND',leads
671,671,671,202202160IND,25.7,3.3,3rd quarter,1:55.0,Terry Taylor,IND,True,2-pointer,2,82-71,'IND',leads
685,685,685,202202160IND,23.3,3.8,4th quarter,5:02.0,Terry Taylor,IND,True,2-pointer,1,97-94,'IND',leads
689,689,689,202202160IND,23.8,3.9,4th quarter,3:03.0,Terry Taylor,IND,True,2-pointer,1,101-94,'IND',leads
691,691,691,202202160IND,25.6,3.8,4th quarter,2:04.0,Terry Taylor,IND,True,2-pointer,2,103-96,'IND',leads
694,694,694,202202160IND,23.0,3.1,4th quarter,1:04.0,Terry Taylor,IND,True,2-pointer,1,105-101,'IND',leads
314,314,314,202202250IND,23.6,5.7,2nd quarter,4:01.0,Terry Taylor,IND,True,2-pointer,2,53-55,'IND',trails
347,347,347,202202250IND,23.8,5.4,4th quarter,11:47.0,Terry Taylor,IND,True,2-pointer,2,95-92,'IND',leads
350,350,350,202202250IND,46.7,8.5,4th quarter,9:39.0,Terry Taylor,IND,False,3-pointer,23,98-97,'IND',leads
1085,1085,1085,202202280ORL,21.1,5.3,2nd quarter,6:01.0,Terry Taylor,IND,True,2-pointer,4,49-38,'IND',leads
1088,1088,1088,202202280ORL,22.9,7.9,2nd quarter,4:14.0,Terry Taylor,IND,True,2-pointer,5,51-43,'IND',leads
1099,1099,1099,202202280ORL,20.2,8.1,3rd quarter,4:56.0,Terry Taylor,IND,False,2-pointer,6,64-78,'IND',trails
1115,1115,1115,202202280ORL,20.5,5.7,4th quarter,5:36.0,Terry Taylor,IND,True,2-pointer,4,92-108,'IND',trails
902,902,902,202203020ORL,24.8,6.2,1st quarter,1:07.0,Terry Taylor,IND,True,2-pointer,3,20-24,'IND',trails
905,905,905,202203020ORL,21.3,6.4,2nd quarter,11:09.0,Terry Taylor,IND,True,2-pointer,4,25-34,'IND',trails
911,911,911,202203020ORL,20.8,7.0,2nd quarter,7:36.0,Terry Taylor,IND,True,2-pointer,5,32-43,'IND',trails
376,376,376,202203040DET,35.4,5.9,1st quarter,0:31.0,Terry Taylor,IND,False,2-pointer,12,28-37,'IND',trails
388,388,388,202203040DET,25.2,4.8,2nd quarter,8:25.0,Terry Taylor,IND,True,2-pointer,2,40-53,'IND',trails
415,415,415,202203040DET,22.0,3.7,3rd quarter,6:39.0,Terry Taylor,IND,True,2-pointer,2,71-78,'IND',trails
416,416,416,202203040DET,24.6,4.8,3rd quarter,6:03.0,Terry Taylor,IND,False,2-pointer,2,72-78,'IND',trails
422,422,422,202203040DET,22.0,4.0,3rd quarter,1:35.0,Terry Taylor,IND,True,2-pointer,2,84-84,'IND',tied
423,423,423,202203040DET,22.1,4.8,3rd quarter,1:01.0,Terry Taylor,IND,False,2-pointer,2,84-84,'IND',tied
1262,1262,1262,202203060WAS,22.5,6.3,1st quarter,6:32.0,Terry Taylor,IND,True,2-pointer,3,10-11,'IND',trails
8,8,8,202203130ATL,46.5,10.8,1st quarter,7:47.0,Terry Taylor,IND,True,3-pointer,24,10-15,'IND',trails
25,25,25,202203130ATL,26.1,6.2,2nd quarter,9:58.0,Terry Taylor,IND,True,2-pointer,4,35-44,'IND',trails
27,27,27,202203130ATL,38.2,23.8,2nd quarter,8:54.0,Terry Taylor,IND,False,3-pointer,25,35-46,'IND',trails
39,39,39,202203130ATL,24.1,3.9,2nd quarter,2:04.0,Terry Taylor,IND,True,2-pointer,1,51-62,'IND',trails
44,44,44,202203130ATL,24.0,3.3,3rd quarter,11:18.0,Terry Taylor,IND,True,2-pointer,0,63-77,'IND',trails
47,47,47,202203130ATL,23.1,7.4,3rd quarter,9:32.0,Terry Taylor,IND,True,2-pointer,4,67-83,'IND',trails
50,50,50,202203130ATL,23.8,7.0,3rd quarter,8:41.0,Terry Taylor,IND,False,2-pointer,4,67-83,'IND',trails
56,56,56,202203130ATL,9.9,11.6,3rd quarter,5:14.0,Terry Taylor,IND,True,2-pointer,16,82-89,'IND',trails
126,126,126,202203150IND,23.8,4.3,1st quarter,0:54.0,Terry Taylor,IND,True,2-pointer,1,25-31,'IND',trails
149,149,149,202203150IND,24.0,3.3,2nd quarter,0:49.0,Terry Taylor,IND,True,2-pointer,0,47-72,'IND',trails
150,150,150,202203150IND,11.3,3.6,2nd quarter,0:09.0,Terry Taylor,IND,True,2-pointer,13,49-72,'IND',trails
167,167,167,202203150IND,23.1,9.5,3rd quarter,6:06.0,Terry Taylor,IND,True,2-pointer,6,59-92,'IND',trails
173,173,173,202203150IND,24.0,3.3,3rd quarter,3:22.0,Terry Taylor,IND,True,2-pointer,0,63-94,'IND',trails
175,175,175,202203150IND,7.5,22.9,3rd quarter,2:26.0,Terry Taylor,IND,False,3-pointer,26,63-96,'IND',trails
189,189,189,202203150IND,19.5,5.2,4th quarter,7:50.0,Terry Taylor,IND,True,2-pointer,5,80-116,'IND',trails
194,194,194,202203150IND,18.0,6.4,4th quarter,3:32.0,Terry Taylor,IND,True,2-pointer,7,93-127,'IND',trails
563,563,563,202203180HOU,20.9,5.3,1st quarter,1:03.0,Terry Taylor,IND,False,2-pointer,4,28-25,'HOU',leads
620,620,620,202203180HOU,18.0,4.6,4th quarter,10:14.0,Terry Taylor,IND,False,2-pointer,6,87-95,'HOU',trails
818,818,818,202203200IND,24.0,3.3,1st quarter,1:20.0,Terry Taylor,IND,True,2-pointer,0,30-20,'POR',leads
822,822,822,202203200IND,1.3,4.4,2nd quarter,11:12.0,Terry Taylor,IND,True,3-pointer,23,40-25,'POR',leads
860,860,860,202203200IND,21.2,4.6,3rd quarter,2:00.0,Terry Taylor,IND,True,2-pointer,3,92-74,'POR',leads
868,868,868,202203200IND,22.0,4.2,4th quarter,9:44.0,Terry Taylor,IND,True,2-pointer,2,102-86,'POR',leads
874,874,874,202203200IND,22.0,4.3,4th quarter,5:51.0,Terry Taylor,IND,True,2-pointer,2,116-89,'POR',leads
878,878,878,202203200IND,24.0,3.3,4th quarter,3:54.0,Terry Taylor,IND,True,2-pointer,0,118-91,'POR',leads
881,881,881,202203200IND,22.5,3.6,4th quarter,2:20.0,Terry Taylor,IND,True,2-pointer,2,124-93,'POR',leads
