Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,match_id,shotX,shotY,quarter,time_remaining,player,team,made,shot_type,distance,score,opp,status
21,21,21,201210310CHI,21.7,6.1,2nd quarter,8:08.0,Thomas Robinson,SAC,False,2-pointer,3,25-29,'SAC',trails
22,22,22,201210310CHI,22.4,6.2,2nd quarter,7:48.0,Thomas Robinson,SAC,True,2-pointer,2,27-29,'SAC',trails
23,23,23,201210310CHI,41.4,16.2,2nd quarter,7:19.0,Thomas Robinson,SAC,False,2-pointer,21,27-31,'SAC',trails
48,48,48,201210310CHI,19.4,6.7,3rd quarter,7:09.0,Thomas Robinson,SAC,False,2-pointer,5,44-56,'SAC',trails
53,53,53,201210310CHI,29.0,8.0,3rd quarter,3:55.0,Thomas Robinson,SAC,False,2-pointer,6,51-64,'SAC',trails
988,988,988,201211020MIN,24.4,6.2,2nd quarter,9:09.0,Thomas Robinson,SAC,False,2-pointer,1,23-36,'SAC',trails
709,709,709,201211030IND,21.7,4.8,2nd quarter,8:07.0,Thomas Robinson,SAC,False,2-pointer,2,30-29,'IND',leads
710,710,710,201211030IND,24.0,7.3,2nd quarter,8:02.0,Thomas Robinson,SAC,False,2-pointer,2,30-29,'IND',leads
742,742,742,201211030IND,10.6,16.5,3rd quarter,1:08.0,Thomas Robinson,SAC,True,2-pointer,18,61-71,'IND',trails
745,745,745,201211030IND,25.5,5.9,4th quarter,11:12.0,Thomas Robinson,SAC,True,2-pointer,2,68-74,'IND',trails
747,747,747,201211030IND,24.1,5.1,4th quarter,9:49.0,Thomas Robinson,SAC,True,2-pointer,0,73-76,'IND',trails
752,752,752,201211030IND,39.9,17.3,4th quarter,6:40.0,Thomas Robinson,SAC,False,2-pointer,20,79-81,'IND',trails
1125,1125,1125,201211050SAC,9.6,14.9,2nd quarter,6:45.0,Thomas Robinson,SAC,False,2-pointer,17,31-29,'SAC',leads
1127,1127,1127,201211050SAC,25.8,6.4,2nd quarter,5:14.0,Thomas Robinson,SAC,False,2-pointer,2,36-31,'SAC',leads
1131,1131,1131,201211050SAC,28.2,7.5,2nd quarter,4:10.0,Thomas Robinson,SAC,True,2-pointer,5,42-33,'SAC',leads
1133,1133,1133,201211050SAC,23.3,6.5,2nd quarter,3:38.0,Thomas Robinson,SAC,True,2-pointer,2,44-33,'SAC',leads
1137,1137,1137,201211050SAC,19.2,24.0,2nd quarter,1:17.0,Thomas Robinson,SAC,False,2-pointer,20,47-40,'SAC',leads
1164,1164,1164,201211050SAC,23.8,8.7,4th quarter,8:22.0,Thomas Robinson,SAC,True,2-pointer,4,81-72,'SAC',leads
1924,1924,1924,201211070SAC,21.9,5.6,2nd quarter,5:17.0,Thomas Robinson,SAC,True,2-pointer,2,43-40,'SAC',leads
