Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,match_id,shotX,shotY,quarter,time_remaining,player,team,made,shot_type,distance,score,opp,status
308,308,308,201611070CHO,3.3,18.6,2nd quarter,2:23.0,Treveon Graham,CHO,True,3-pointer,26,66-51,'IND',leads
346,346,346,201611070CHO,0.5,6.3,4th quarter,1:49.0,Treveon Graham,CHO,False,3-pointer,24,118-95,'IND',leads
280,280,280,201611110CHO,23.1,14.0,1st quarter,8:38.0,Treveon Graham,CHO,True,2-pointer,11,6-4,'TOR',leads
360,360,360,201611110CHO,36.3,20.5,4th quarter,2:01.0,Treveon Graham,CHO,False,2-pointer,21,102-105,'TOR',trails
247,247,247,201611280MEM,48.1,2.9,4th quarter,3:30.0,Treveon Graham,CHO,True,3-pointer,24,100-75,'CHO',leads
252,252,252,201611280MEM,45.8,16.9,4th quarter,0:17.0,Treveon Graham,CHO,True,3-pointer,26,104-85,'CHO',leads
334,334,334,201612090CHO,15.6,26.2,4th quarter,4:15.0,Treveon Graham,CHO,False,3-pointer,24,105-78,'CHO',leads
336,336,336,201612090CHO,24.0,3.7,4th quarter,3:04.0,Treveon Graham,CHO,True,2-pointer,0,107-80,'CHO',leads
321,321,321,201612310CHO,46.8,7.1,4th quarter,0:37.0,Treveon Graham,CHO,True,3-pointer,23,109-119,'CHO',trails
361,361,361,201701180CHO,39.9,6.8,4th quarter,0:24.0,Treveon Graham,CHO,False,2-pointer,16,107-82,'POR',leads
322,322,322,201701200CHO,26.5,4.1,4th quarter,4:35.0,Treveon Graham,CHO,False,2-pointer,3,106-74,'TOR',leads
323,323,323,201701200CHO,25.9,4.6,4th quarter,4:09.0,Treveon Graham,CHO,False,2-pointer,2,106-74,'TOR',leads
434,434,434,201701310POR,25.4,4.1,4th quarter,3:26.0,Treveon Graham,CHO,False,2-pointer,2,85-107,'POR',trails
1119,1119,1119,201702010GSW,30.4,9.5,4th quarter,2:51.0,Treveon Graham,CHO,False,2-pointer,9,104-124,'CHO',trails
1120,1120,1120,201702010GSW,22.8,4.9,4th quarter,1:51.0,Treveon Graham,CHO,False,2-pointer,2,104-124,'CHO',trails
1123,1123,1123,201702010GSW,0.8,4.8,4th quarter,0:10.0,Treveon Graham,CHO,True,3-pointer,23,111-126,'CHO',trails
2065,2065,2065,201702150TOR,47.8,10.5,1st quarter,0:47.0,Treveon Graham,CHO,False,3-pointer,25,20-29,'TOR',trails
2066,2066,2066,201702150TOR,24.0,11.7,1st quarter,0:02.0,Treveon Graham,CHO,False,2-pointer,9,20-31,'TOR',trails
503,503,503,201703100CHO,26.2,3.8,4th quarter,1:58.0,Treveon Graham,CHO,True,2-pointer,2,117-79,'CHO',leads
508,508,508,201703100CHO,31.9,19.9,4th quarter,0:22.0,Treveon Graham,CHO,False,2-pointer,19,121-81,'CHO',leads
131,131,131,201703130CHO,1.5,5.3,2nd quarter,3:06.0,Treveon Graham,CHO,False,3-pointer,22,40-50,'CHO',trails
761,761,761,201703150IND,27.5,9.1,4th quarter,3:46.0,Treveon Graham,CHO,False,2-pointer,7,71-96,'IND',trails
763,763,763,201703150IND,25.7,3.7,4th quarter,2:47.0,Treveon Graham,CHO,False,2-pointer,1,73-96,'IND',trails
341,341,341,201703200CHO,28.6,27.2,4th quarter,1:58.0,Treveon Graham,CHO,True,3-pointer,24,105-83,'CHO',leads
297,297,297,201704080CHO,40.8,21.5,2nd quarter,8:05.0,Treveon Graham,CHO,True,3-pointer,24,35-42,'CHO',trails
1077,1077,1077,201704100MIL,6.9,25.4,2nd quarter,11:16.0,Treveon Graham,CHO,True,3-pointer,28,27-18,'CHO',leads
1079,1079,1079,201704100MIL,38.5,11.2,2nd quarter,10:25.0,Treveon Graham,CHO,False,2-pointer,16,27-18,'CHO',leads
1084,1084,1084,201704100MIL,23.6,3.7,2nd quarter,8:49.0,Treveon Graham,CHO,True,2-pointer,0,31-22,'CHO',leads
1118,1118,1118,201704100MIL,29.3,29.2,4th quarter,10:08.0,Treveon Graham,CHO,True,3-pointer,26,71-68,'CHO',leads
1121,1121,1121,201704100MIL,23.6,3.8,4th quarter,8:06.0,Treveon Graham,CHO,True,2-pointer,0,73-74,'CHO',trails
15,15,15,201704110ATL,25.0,11.5,1st quarter,2:27.0,Treveon Graham,CHO,True,2-pointer,8,22-27,'CHO',trails
16,16,16,201704110ATL,22.0,5.6,1st quarter,1:56.0,Treveon Graham,CHO,False,2-pointer,3,22-30,'CHO',trails
20,20,20,201704110ATL,24.9,3.3,1st quarter,0:29.0,Treveon Graham,CHO,True,2-pointer,1,26-35,'CHO',trails
22,22,22,201704110ATL,24.4,12.5,2nd quarter,11:40.0,Treveon Graham,CHO,True,2-pointer,9,28-38,'CHO',trails
29,29,29,201704110ATL,41.9,6.6,2nd quarter,7:23.0,Treveon Graham,CHO,False,2-pointer,18,31-50,'CHO',trails
31,31,31,201704110ATL,17.7,25.9,2nd quarter,6:55.0,Treveon Graham,CHO,False,3-pointer,23,31-50,'CHO',trails
64,64,64,201704110ATL,22.4,20.5,3rd quarter,2:14.0,Treveon Graham,CHO,True,2-pointer,17,59-80,'CHO',trails
65,65,65,201704110ATL,24.2,10.0,3rd quarter,1:37.0,Treveon Graham,CHO,True,2-pointer,7,61-80,'CHO',trails
69,69,69,201704110ATL,25.9,3.7,3rd quarter,0:06.0,Treveon Graham,CHO,False,2-pointer,2,61-84,'CHO',trails
78,78,78,201704110ATL,42.7,20.4,4th quarter,6:26.0,Treveon Graham,CHO,False,3-pointer,25,67-94,'CHO',trails
374,374,374,201710180DET,7.2,22.2,2nd quarter,2:32.0,Treveon Graham,CHO,True,3-pointer,25,39-50,'DET',trails
406,406,406,201710180DET,29.5,7.1,4th quarter,8:48.0,Treveon Graham,CHO,False,2-pointer,6,74-88,'DET',trails
