Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,match_id,shotX,shotY,quarter,time_remaining,player,team,made,shot_type,distance,score,opp,status
600,600,600,201810240GSW,23.0,5.4,4th quarter,4:39.0,Troy Brown,WAS,False,2-pointer,2,110-131,'GSW',trails
607,607,607,201810240GSW,33.2,8.8,4th quarter,1:11.0,Troy Brown,WAS,False,2-pointer,11,117-142,'GSW',trails
609,609,609,201810240GSW,25.6,5.5,4th quarter,0:35.0,Troy Brown,WAS,True,2-pointer,3,122-142,'GSW',trails
425,425,425,201810280LAC,21.4,15.3,4th quarter,6:34.0,Troy Brown,WAS,False,2-pointer,12,87-114,'WAS',trails
433,433,433,201810280LAC,19.3,9.0,4th quarter,3:31.0,Troy Brown,WAS,False,2-pointer,7,97-125,'WAS',trails
434,434,434,201810280LAC,1.4,2.5,4th quarter,3:26.0,Troy Brown,WAS,True,3-pointer,23,100-125,'WAS',trails
1347,1347,1347,201811020WAS,26.6,5.8,4th quarter,7:11.0,Troy Brown,WAS,True,2-pointer,4,95-119,'OKC',trails
1351,1351,1351,201811020WAS,1.3,16.4,4th quarter,5:03.0,Troy Brown,WAS,False,3-pointer,26,102-124,'OKC',trails
1355,1355,1355,201811020WAS,22.9,6.2,4th quarter,3:35.0,Troy Brown,WAS,True,2-pointer,3,106-132,'OKC',trails
1362,1362,1362,201811020WAS,43.2,22.1,4th quarter,0:49.0,Troy Brown,WAS,True,3-pointer,27,111-134,'OKC',trails
1212,1212,1212,201811040WAS,15.2,12.7,4th quarter,0:44.0,Troy Brown,WAS,False,2-pointer,13,108-93,'NYK',leads
261,261,261,201811060DAL,25.8,4.9,4th quarter,0:21.0,Troy Brown,WAS,False,2-pointer,2,100-119,'DAL',trails
1911,1911,1911,201811140WAS,35.8,14.3,4th quarter,2:30.0,Troy Brown,WAS,True,2-pointer,16,112-91,'WAS',leads
1430,1430,1430,201811160WAS,23.5,6.8,4th quarter,0:26.0,Troy Brown,WAS,False,2-pointer,4,104-115,'WAS',trails
858,858,858,201811180WAS,42.3,20.8,4th quarter,8:18.0,Troy Brown,WAS,False,3-pointer,25,79-103,'POR',trails
859,859,859,201811180WAS,25.6,4.1,4th quarter,7:55.0,Troy Brown,WAS,True,2-pointer,2,81-103,'POR',trails
1142,1142,1142,201811280NOP,21.8,5.2,4th quarter,2:31.0,Troy Brown,WAS,False,2-pointer,3,99-118,'NOP',trails
1267,1267,1267,201811300PHI,9.2,11.1,2nd quarter,11:08.0,Troy Brown,WAS,False,2-pointer,17,19-33,'WAS',trails
1307,1307,1307,201811300PHI,25.0,16.1,3rd quarter,3:40.0,Troy Brown,WAS,True,2-pointer,13,60-87,'WAS',trails
1311,1311,1311,201811300PHI,20.6,12.5,3rd quarter,1:47.0,Troy Brown,WAS,True,2-pointer,10,62-93,'WAS',trails
1318,1318,1318,201811300PHI,34.7,17.6,4th quarter,9:59.0,Troy Brown,WAS,False,2-pointer,18,76-103,'WAS',trails
1320,1320,1320,201811300PHI,19.1,28.1,4th quarter,8:45.0,Troy Brown,WAS,False,3-pointer,25,76-109,'WAS',trails
1333,1333,1333,201811300PHI,17.7,5.7,4th quarter,1:23.0,Troy Brown,WAS,False,2-pointer,7,94-123,'WAS',trails
1334,1334,1334,201811300PHI,26.1,3.5,4th quarter,1:00.0,Troy Brown,WAS,False,2-pointer,2,94-123,'WAS',trails
1209,1209,1209,201812010WAS,23.6,4.7,4th quarter,1:12.0,Troy Brown,WAS,True,2-pointer,1,102-86,'WAS',leads
19,19,19,201812050ATL,23.8,6.3,1st quarter,3:17.0,Troy Brown,WAS,True,2-pointer,3,26-21,'WAS',leads
25,25,25,201812050ATL,25.3,14.1,1st quarter,0:03.0,Troy Brown,WAS,True,2-pointer,11,33-25,'WAS',leads
28,28,28,201812050ATL,18.5,20.0,2nd quarter,9:39.0,Troy Brown,WAS,False,2-pointer,18,40-28,'WAS',leads
93,93,93,201812050ATL,23.7,4.7,4th quarter,0:37.0,Troy Brown,WAS,False,2-pointer,1,131-114,'WAS',leads
1186,1186,1186,201812160WAS,28.2,12.9,1st quarter,0:43.0,Troy Brown,WAS,False,2-pointer,11,30-19,'LAL',leads
1233,1233,1233,201812160WAS,19.2,7.2,3rd quarter,3:19.0,Troy Brown,WAS,False,2-pointer,6,89-65,'LAL',leads
1264,1264,1264,201812160WAS,25.3,6.1,4th quarter,0:57.0,Troy Brown,WAS,False,2-pointer,3,126-110,'LAL',leads
1266,1266,1266,201812160WAS,13.1,29.5,4th quarter,0:23.0,Troy Brown,WAS,False,3-pointer,28,128-110,'LAL',leads
598,598,598,201812190HOU,0.3,6.2,4th quarter,2:50.0,Troy Brown,WAS,False,3-pointer,24,107-130,'HOU',trails
599,599,599,201812190HOU,34.3,12.7,4th quarter,2:29.0,Troy Brown,WAS,False,2-pointer,14,107-133,'HOU',trails
600,600,600,201812190HOU,25.8,5.7,4th quarter,2:09.0,Troy Brown,WAS,False,2-pointer,3,107-133,'HOU',trails
918,918,918,201812230IND,27.9,21.1,4th quarter,5:34.0,Troy Brown,WAS,False,2-pointer,18,77-96,'IND',trails
1482,1482,1482,201812290WAS,24.5,4.5,1st quarter,2:02.0,Troy Brown,WAS,True,2-pointer,1,20-24,'CHO',trails
1484,1484,1484,201812290WAS,25.8,5.3,1st quarter,1:14.0,Troy Brown,WAS,True,2-pointer,3,24-24,'CHO',tied
1488,1488,1488,201812290WAS,37.8,24.5,2nd quarter,10:49.0,Troy Brown,WAS,True,3-pointer,25,32-29,'CHO',leads
1537,1537,1537,201812290WAS,29.9,29.8,4th quarter,7:52.0,Troy Brown,WAS,False,3-pointer,27,103-101,'CHO',leads
1485,1485,1485,201901020WAS,24.1,3.7,2nd quarter,11:01.0,Troy Brown,WAS,False,2-pointer,0,37-31,'WAS',leads
1490,1490,1490,201901020WAS,14.3,17.3,2nd quarter,9:05.0,Troy Brown,WAS,True,2-pointer,17,44-36,'WAS',leads
1494,1494,1494,201901020WAS,5.2,20.8,2nd quarter,6:53.0,Troy Brown,WAS,False,3-pointer,26,46-42,'WAS',leads
932,932,932,201901080PHI,25.8,23.3,3rd quarter,1:35.0,Troy Brown,WAS,False,2-pointer,20,70-98,'WAS',trails
938,938,938,201901080PHI,26.0,20.2,4th quarter,10:28.0,Troy Brown,WAS,False,2-pointer,17,82-106,'WAS',trails
940,940,940,201901080PHI,23.7,4.3,4th quarter,9:46.0,Troy Brown,WAS,False,2-pointer,1,85-109,'WAS',trails
951,951,951,201901080PHI,20.2,17.3,4th quarter,5:44.0,Troy Brown,WAS,False,2-pointer,15,95-114,'WAS',trails
1725,1725,1725,201901090WAS,33.9,21.2,4th quarter,1:52.0,Troy Brown,WAS,True,2-pointer,20,118-97,'WAS',leads
1242,1242,1242,201901130WAS,17.2,5.4,3rd quarter,2:40.0,Troy Brown,WAS,True,2-pointer,7,74-90,'TOR',trails
1243,1243,1243,201901130WAS,46.7,14.0,3rd quarter,2:04.0,Troy Brown,WAS,True,3-pointer,25,77-90,'TOR',trails
1247,1247,1247,201901130WAS,24.3,5.8,4th quarter,11:10.0,Troy Brown,WAS,True,2-pointer,3,86-100,'TOR',trails
1069,1069,1069,201901170WAS,24.9,4.4,3rd quarter,2:22.0,Troy Brown,WAS,True,2-pointer,1,73-84,'NYK',trails
1077,1077,1077,201901170WAS,3.1,17.0,4th quarter,8:39.0,Troy Brown,WAS,False,3-pointer,25,79-89,'NYK',trails
690,690,690,201901240WAS,29.0,6.0,2nd quarter,9:45.0,Troy Brown,WAS,True,2-pointer,6,33-41,'WAS',trails
1412,1412,1412,201901270SAS,23.8,4.8,1st quarter,1:38.0,Troy Brown,WAS,True,2-pointer,2,21-31,'SAS',trails
1480,1480,1480,201901270SAS,22.8,4.7,4th quarter,1:14.0,Troy Brown,WAS,False,2-pointer,2,117-131,'SAS',trails
1481,1481,1481,201901270SAS,1.9,18.7,4th quarter,0:57.0,Troy Brown,WAS,False,3-pointer,27,117-131,'SAS',trails
213,213,213,201901290CLE,36.2,8.8,2nd quarter,10:47.0,Troy Brown,WAS,True,2-pointer,13,28-28,'CLE',tied
214,214,214,201901290CLE,36.6,26.2,2nd quarter,10:26.0,Troy Brown,WAS,False,3-pointer,26,28-28,'CLE',tied
272,272,272,201901290CLE,23.8,3.4,4th quarter,0:35.0,Troy Brown,WAS,True,2-pointer,0,108-115,'CLE',trails
274,274,274,201901290CLE,4.0,17.2,4th quarter,0:01.0,Troy Brown,WAS,False,3-pointer,24,113-116,'CLE',trails
1381,1381,1381,201901300WAS,27.5,8.3,4th quarter,1:25.0,Troy Brown,WAS,False,2-pointer,6,107-86,'IND',leads
2105,2105,2105,201902020WAS,11.1,15.4,4th quarter,3:37.0,Troy Brown,WAS,True,2-pointer,18,103-126,'WAS',trails
2108,2108,2108,201902020WAS,25.1,5.4,4th quarter,1:24.0,Troy Brown,WAS,False,2-pointer,2,108-128,'WAS',trails
2111,2111,2111,201902230WAS,16.2,27.8,2nd quarter,8:20.0,Troy Brown,WAS,False,3-pointer,26,34-38,'IND',trails
406,406,406,201902270BRK,21.1,2.9,1st quarter,3:01.0,Troy Brown,WAS,False,2-pointer,3,20-20,'WAS',tied
409,409,409,201902270BRK,46.1,4.9,1st quarter,2:20.0,Troy Brown,WAS,True,3-pointer,22,23-20,'WAS',leads
419,419,419,201902270BRK,1.6,2.1,2nd quarter,11:04.0,Troy Brown,WAS,False,3-pointer,22,34-31,'WAS',leads
421,421,421,201902270BRK,26.3,21.5,2nd quarter,9:45.0,Troy Brown,WAS,True,2-pointer,18,36-34,'WAS',leads
461,461,461,201902270BRK,47.3,7.8,3rd quarter,1:35.0,Troy Brown,WAS,False,3-pointer,24,99-75,'WAS',leads
463,463,463,201902270BRK,18.2,5.7,3rd quarter,0:01.0,Troy Brown,WAS,False,2-pointer,6,101-77,'WAS',leads
468,468,468,201902270BRK,24.6,4.6,4th quarter,10:30.0,Troy Brown,WAS,True,2-pointer,1,103-81,'WAS',leads
262,262,262,201903010BOS,34.7,17.2,1st quarter,0:57.0,Troy Brown,WAS,True,2-pointer,18,19-28,'BOS',trails
263,263,263,201903010BOS,1.0,4.8,1st quarter,0:01.0,Troy Brown,WAS,False,3-pointer,23,20-30,'BOS',trails
264,264,264,201903010BOS,30.7,13.9,2nd quarter,11:45.0,Troy Brown,WAS,False,2-pointer,13,20-30,'BOS',trails
268,268,268,201903010BOS,25.3,4.3,2nd quarter,10:08.0,Troy Brown,WAS,False,2-pointer,2,23-30,'BOS',trails
272,272,272,201903010BOS,25.0,4.2,2nd quarter,8:00.0,Troy Brown,WAS,True,2-pointer,1,25-35,'BOS',trails
303,303,303,201903010BOS,23.3,3.1,3rd quarter,1:59.0,Troy Brown,WAS,True,2-pointer,1,76-78,'BOS',trails
313,313,313,201903010BOS,24.4,17.9,4th quarter,8:39.0,Troy Brown,WAS,False,2-pointer,15,86-89,'BOS',trails
1346,1346,1346,201903030WAS,25.8,5.8,1st quarter,1:45.0,Troy Brown,WAS,False,2-pointer,3,33-32,'WAS',leads
1348,1348,1348,201903030WAS,19.9,10.2,1st quarter,1:16.0,Troy Brown,WAS,False,2-pointer,8,36-34,'WAS',leads
1350,1350,1350,201903030WAS,24.1,4.3,1st quarter,0:56.0,Troy Brown,WAS,True,2-pointer,1,38-34,'WAS',leads
1404,1404,1404,201903030WAS,20.6,8.4,4th quarter,11:46.0,Troy Brown,WAS,False,2-pointer,6,97-87,'WAS',leads
1405,1405,1405,201903030WAS,34.4,12.0,4th quarter,11:03.0,Troy Brown,WAS,False,2-pointer,14,97-89,'WAS',leads
1674,1674,1674,201903060WAS,22.4,14.4,1st quarter,2:03.0,Troy Brown,WAS,False,2-pointer,11,24-35,'DAL',trails
1675,1675,1675,201903060WAS,46.3,6.8,1st quarter,1:35.0,Troy Brown,WAS,True,3-pointer,23,27-37,'DAL',trails
1679,1679,1679,201903060WAS,7.3,23.4,2nd quarter,11:19.0,Troy Brown,WAS,False,3-pointer,26,35-43,'DAL',trails
1680,1680,1680,201903060WAS,24.3,4.0,2nd quarter,10:48.0,Troy Brown,WAS,True,2-pointer,1,37-45,'DAL',trails
1688,1688,1688,201903060WAS,19.9,9.7,2nd quarter,7:01.0,Troy Brown,WAS,False,2-pointer,8,46-51,'DAL',trails
1717,1717,1717,201903060WAS,25.3,5.1,3rd quarter,1:56.0,Troy Brown,WAS,True,2-pointer,2,95-93,'DAL',leads
1724,1724,1724,201903060WAS,46.9,9.0,4th quarter,10:06.0,Troy Brown,WAS,False,3-pointer,24,103-103,'DAL',tied
1727,1727,1727,201903060WAS,11.7,19.9,4th quarter,8:31.0,Troy Brown,WAS,False,2-pointer,21,105-108,'DAL',trails
194,194,194,201903080CHO,23.9,4.6,2nd quarter,6:53.0,Troy Brown,WAS,True,2-pointer,1,36-40,'CHO',trails
219,219,219,201903080CHO,24.3,5.2,3rd quarter,2:51.0,Troy Brown,WAS,True,2-pointer,2,76-77,'CHO',trails
220,220,220,201903080CHO,0.4,10.0,3rd quarter,1:51.0,Troy Brown,WAS,True,3-pointer,25,79-79,'CHO',tied
222,222,222,201903080CHO,23.7,5.1,3rd quarter,0:54.0,Troy Brown,WAS,True,2-pointer,2,81-82,'CHO',trails
227,227,227,201903080CHO,26.3,10.0,4th quarter,9:13.0,Troy Brown,WAS,False,2-pointer,7,89-89,'CHO',tied
228,228,228,201903080CHO,18.9,29.5,4th quarter,8:55.0,Troy Brown,WAS,False,3-pointer,27,89-91,'CHO',trails
580,580,580,201903090MIN,1.5,13.3,2nd quarter,11:02.0,Troy Brown,WAS,False,3-pointer,25,39-32,'MIN',leads
