Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,match_id,shotX,shotY,quarter,time_remaining,player,team,made,shot_type,distance,score,opp,status
1561,1561,1561,202012230PHI,27.9,3.8,1st quarter,0:35.0,Tyrese Maxey,PHI,True,2-pointer,4,27-26,'WAS',leads
1565,1565,1565,202012230PHI,24.3,2.5,2nd quarter,10:04.0,Tyrese Maxey,PHI,True,2-pointer,1,35-32,'WAS',leads
1568,1568,1568,202012230PHI,26.9,2.2,2nd quarter,8:50.0,Tyrese Maxey,PHI,True,2-pointer,3,39-32,'WAS',leads
1572,1572,1572,202012230PHI,33.1,28.8,2nd quarter,6:39.0,Tyrese Maxey,PHI,False,3-pointer,27,42-37,'WAS',leads
1599,1599,1599,202012230PHI,25.3,6.0,3rd quarter,2:14.0,Tyrese Maxey,PHI,False,2-pointer,3,71-80,'WAS',trails
1601,1601,1601,202012230PHI,24.3,9.7,3rd quarter,0:42.0,Tyrese Maxey,PHI,False,2-pointer,6,73-83,'WAS',trails
770,770,770,202012260NYK,25.5,11.3,2nd quarter,10:42.0,Tyrese Maxey,PHI,False,2-pointer,8,31-29,'NYK',leads
772,772,772,202012260NYK,21.6,5.3,2nd quarter,9:33.0,Tyrese Maxey,PHI,False,2-pointer,3,33-31,'NYK',leads
777,777,777,202012260NYK,22.9,4.2,2nd quarter,7:54.0,Tyrese Maxey,PHI,True,2-pointer,1,38-34,'NYK',leads
827,827,827,202012260NYK,22.7,3.2,4th quarter,1:06.0,Tyrese Maxey,PHI,False,2-pointer,1,104-89,'NYK',leads
387,387,387,202012270CLE,-0.3,1.9,2nd quarter,10:00.0,Tyrese Maxey,PHI,False,3-pointer,24,28-38,'CLE',trails
415,415,415,202012270CLE,24.8,3.8,3rd quarter,4:21.0,Tyrese Maxey,PHI,True,2-pointer,1,64-85,'CLE',trails
417,417,417,202012270CLE,7.1,24.8,3rd quarter,3:43.0,Tyrese Maxey,PHI,False,3-pointer,27,64-87,'CLE',trails
418,418,418,202012270CLE,23.1,4.6,3rd quarter,2:46.0,Tyrese Maxey,PHI,False,2-pointer,2,65-88,'CLE',trails
421,421,421,202012270CLE,25.6,4.6,3rd quarter,1:10.0,Tyrese Maxey,PHI,False,2-pointer,2,68-91,'CLE',trails
423,423,423,202012270CLE,25.4,3.7,3rd quarter,0:03.0,Tyrese Maxey,PHI,True,2-pointer,1,72-93,'CLE',trails
438,438,438,202012270CLE,15.2,12.7,4th quarter,2:59.0,Tyrese Maxey,PHI,True,2-pointer,13,89-116,'CLE',trails
441,441,441,202012270CLE,24.6,3.8,4th quarter,1:57.0,Tyrese Maxey,PHI,False,2-pointer,1,91-116,'CLE',trails
1140,1140,1140,202012290PHI,47.3,8.3,1st quarter,1:13.0,Tyrese Maxey,PHI,False,3-pointer,24,17-22,'TOR',trails
1141,1141,1141,202012290PHI,44.5,19.5,1st quarter,0:48.0,Tyrese Maxey,PHI,False,3-pointer,26,17-22,'TOR',trails
1143,1143,1143,202012290PHI,32.3,2.1,1st quarter,0:07.0,Tyrese Maxey,PHI,False,2-pointer,8,17-25,'TOR',trails
548,548,548,202012310ORL,26.9,6.1,2nd quarter,11:20.0,Tyrese Maxey,PHI,True,2-pointer,4,40-22,'ORL',leads
552,552,552,202012310ORL,20.8,6.5,2nd quarter,9:27.0,Tyrese Maxey,PHI,True,2-pointer,5,46-25,'ORL',leads
558,558,558,202012310ORL,12.2,14.4,2nd quarter,6:51.0,Tyrese Maxey,PHI,False,2-pointer,16,54-27,'ORL',leads
594,594,594,202012310ORL,29.8,15.6,4th quarter,10:54.0,Tyrese Maxey,PHI,True,2-pointer,14,100-71,'ORL',leads
598,598,598,202012310ORL,27.8,7.8,4th quarter,7:32.0,Tyrese Maxey,PHI,False,2-pointer,6,105-76,'ORL',leads
601,601,601,202012310ORL,20.6,18.2,4th quarter,6:22.0,Tyrese Maxey,PHI,True,2-pointer,15,112-78,'ORL',leads
602,602,602,202012310ORL,33.3,18.7,4th quarter,5:46.0,Tyrese Maxey,PHI,True,2-pointer,18,114-80,'ORL',leads
606,606,606,202012310ORL,15.3,10.2,4th quarter,3:32.0,Tyrese Maxey,PHI,False,2-pointer,11,114-90,'ORL',leads
607,607,607,202012310ORL,18.6,24.6,4th quarter,3:16.0,Tyrese Maxey,PHI,False,2-pointer,22,114-90,'ORL',leads
993,993,993,202101020PHI,25.9,3.7,1st quarter,2:04.0,Tyrese Maxey,PHI,True,2-pointer,2,34-19,'CHO',leads
994,994,994,202101020PHI,23.2,7.3,1st quarter,0:48.0,Tyrese Maxey,PHI,False,2-pointer,4,36-19,'CHO',leads
999,999,999,202101020PHI,21.1,6.3,2nd quarter,9:42.0,Tyrese Maxey,PHI,False,2-pointer,4,44-33,'CHO',leads
1001,1001,1001,202101020PHI,43.2,20.3,2nd quarter,9:03.0,Tyrese Maxey,PHI,False,3-pointer,26,44-33,'CHO',leads
1002,1002,1002,202101020PHI,44.8,16.8,2nd quarter,8:48.0,Tyrese Maxey,PHI,True,3-pointer,25,47-33,'CHO',leads
