Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,match_id,shotX,shotY,quarter,time_remaining,player,team,made,shot_type,distance,score,opp,status
630,630,630,201801060LAC,24.6,7.0,1st quarter,0:58.0,Tyrone Wallace,LAC,True,2-pointer,4,23-31,'GSW',trails
632,632,632,201801060LAC,25.1,16.1,2nd quarter,11:48.0,Tyrone Wallace,LAC,False,2-pointer,13,28-31,'GSW',trails
634,634,634,201801060LAC,24.0,5.1,2nd quarter,10:23.0,Tyrone Wallace,LAC,False,2-pointer,2,32-33,'GSW',trails
665,665,665,201801060LAC,21.1,8.5,3rd quarter,5:15.0,Tyrone Wallace,LAC,True,2-pointer,6,67-81,'GSW',trails
670,670,670,201801060LAC,38.4,6.2,3rd quarter,3:32.0,Tyrone Wallace,LAC,False,2-pointer,14,71-90,'GSW',trails
673,673,673,201801060LAC,33.8,19.0,3rd quarter,0:37.0,Tyrone Wallace,LAC,False,2-pointer,18,73-103,'GSW',trails
687,687,687,201801060LAC,24.4,11.8,4th quarter,6:10.0,Tyrone Wallace,LAC,False,2-pointer,8,85-111,'GSW',trails
688,688,688,201801060LAC,31.9,5.5,4th quarter,5:51.0,Tyrone Wallace,LAC,False,2-pointer,8,85-113,'GSW',trails
689,689,689,201801060LAC,48.2,6.9,4th quarter,5:45.0,Tyrone Wallace,LAC,True,3-pointer,24,88-113,'GSW',trails
692,692,692,201801060LAC,23.5,4.1,4th quarter,3:27.0,Tyrone Wallace,LAC,True,2-pointer,1,94-115,'GSW',trails
700,700,700,201801060LAC,17.2,15.1,4th quarter,0:23.0,Tyrone Wallace,LAC,False,2-pointer,13,105-121,'GSW',trails
701,701,701,201801060LAC,23.8,5.5,4th quarter,0:12.0,Tyrone Wallace,LAC,False,2-pointer,2,105-121,'GSW',trails
815,815,815,201801080LAC,21.2,3.0,1st quarter,2:33.0,Tyrone Wallace,LAC,False,2-pointer,2,27-21,'ATL',leads
818,818,818,201801080LAC,24.0,4.5,1st quarter,1:34.0,Tyrone Wallace,LAC,True,2-pointer,1,31-23,'ATL',leads
819,819,819,201801080LAC,22.1,13.5,1st quarter,0:03.0,Tyrone Wallace,LAC,False,2-pointer,10,32-25,'ATL',leads
823,823,823,201801080LAC,23.4,3.0,2nd quarter,9:56.0,Tyrone Wallace,LAC,True,2-pointer,0,36-28,'ATL',leads
824,824,824,201801080LAC,26.9,4.0,2nd quarter,9:28.0,Tyrone Wallace,LAC,False,2-pointer,3,36-29,'ATL',leads
829,829,829,201801080LAC,24.2,3.2,2nd quarter,6:17.0,Tyrone Wallace,LAC,True,2-pointer,0,43-32,'ATL',leads
861,861,861,201801080LAC,37.9,24.4,3rd quarter,0:56.0,Tyrone Wallace,LAC,False,3-pointer,25,79-76,'ATL',leads
532,532,532,201801100GSW,27.0,14.6,1st quarter,1:38.0,Tyrone Wallace,LAC,False,2-pointer,11,29-29,'GSW',tied
537,537,537,201801100GSW,38.1,23.9,2nd quarter,11:20.0,Tyrone Wallace,LAC,True,3-pointer,25,35-36,'GSW',trails
543,543,543,201801100GSW,33.3,8.2,2nd quarter,7:49.0,Tyrone Wallace,LAC,False,2-pointer,10,42-38,'GSW',leads
557,557,557,201801100GSW,30.1,10.9,2nd quarter,1:20.0,Tyrone Wallace,LAC,True,2-pointer,9,57-62,'GSW',trails
563,563,563,201801100GSW,23.3,5.1,3rd quarter,9:12.0,Tyrone Wallace,LAC,True,2-pointer,2,64-68,'GSW',trails
568,568,568,201801100GSW,24.0,6.3,3rd quarter,6:17.0,Tyrone Wallace,LAC,True,2-pointer,3,74-81,'GSW',trails
570,570,570,201801100GSW,25.3,4.7,3rd quarter,5:33.0,Tyrone Wallace,LAC,True,2-pointer,2,79-81,'GSW',trails
581,581,581,201801100GSW,20.0,14.7,4th quarter,11:07.0,Tyrone Wallace,LAC,False,2-pointer,12,99-90,'GSW',leads
583,583,583,201801100GSW,24.9,4.7,4th quarter,10:20.0,Tyrone Wallace,LAC,True,2-pointer,1,101-90,'GSW',leads
587,587,587,201801100GSW,35.7,13.1,4th quarter,8:37.0,Tyrone Wallace,LAC,False,2-pointer,15,105-92,'GSW',leads
592,592,592,201801100GSW,23.5,9.9,4th quarter,6:17.0,Tyrone Wallace,LAC,True,2-pointer,6,111-92,'GSW',leads
354,354,354,201801110SAC,26.0,5.1,1st quarter,1:27.0,Tyrone Wallace,LAC,True,2-pointer,2,27-14,'SAC',leads
