Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,match_id,shotX,shotY,quarter,time_remaining,player,team,made,shot_type,distance,score,opp,status
1881,1881,1881,202012230POR,24.2,3.3,4th quarter,0:53.0,Udoka Azubuike,UTA,True,2-pointer,0,118-96,'POR',leads
1316,1316,1316,202101030SAS,26.0,5.0,4th quarter,4:46.0,Udoka Azubuike,UTA,True,2-pointer,3,124-95,'SAS',leads
1321,1321,1321,202101030SAS,25.5,12.6,4th quarter,1:30.0,Udoka Azubuike,UTA,False,2-pointer,9,130-105,'SAS',leads
1145,1145,1145,202101080MIL,24.4,4.8,4th quarter,0:27.0,Udoka Azubuike,UTA,True,2-pointer,2,131-116,'UTA',leads
1255,1255,1255,202101150UTA,26.8,3.9,4th quarter,3:49.0,Udoka Azubuike,UTA,False,2-pointer,3,109-86,'UTA',leads
1225,1225,1225,202101230UTA,22.4,3.9,4th quarter,6:20.0,Udoka Azubuike,UTA,False,2-pointer,2,117-88,'UTA',leads
1235,1235,1235,202101230UTA,24.0,3.3,4th quarter,0:45.0,Udoka Azubuike,UTA,True,2-pointer,0,126-106,'UTA',leads
975,975,975,202105140OKC,24.2,7.4,4th quarter,1:34.0,Udoka Azubuike,UTA,False,2-pointer,4,107-89,'UTA',leads
977,977,977,202105140OKC,25.3,5.9,4th quarter,1:03.0,Udoka Azubuike,UTA,False,2-pointer,3,107-91,'UTA',leads
523,523,523,202111160UTA,27.0,4.2,4th quarter,0:54.0,Udoka Azubuike,UTA,True,2-pointer,3,120-85,'UTA',leads
521,521,521,202201050DEN,23.6,3.3,1st quarter,10:42.0,Udoka Azubuike,UTA,True,2-pointer,0,5-0,'UTA',leads
529,529,529,202201050DEN,25.7,4.1,1st quarter,7:53.0,Udoka Azubuike,UTA,False,2-pointer,2,7-6,'UTA',leads
571,571,571,202201050DEN,23.3,3.9,3rd quarter,8:55.0,Udoka Azubuike,UTA,True,2-pointer,1,63-58,'UTA',leads
1479,1479,1479,202201070TOR,26.0,3.7,2nd quarter,6:03.0,Udoka Azubuike,UTA,True,2-pointer,2,53-36,'TOR',leads
2072,2072,2072,202201190UTA,23.1,8.8,1st quarter,4:51.0,Udoka Azubuike,UTA,True,2-pointer,6,18-23,'HOU',trails
2076,2076,2076,202201190UTA,25.7,6.4,1st quarter,3:21.0,Udoka Azubuike,UTA,False,2-pointer,4,20-23,'HOU',trails
525,525,525,202201240PHO,23.6,9.5,1st quarter,5:58.0,Udoka Azubuike,UTA,False,2-pointer,6,7-18,'UTA',trails
942,942,942,202201300MIN,24.3,8.8,4th quarter,0:50.0,Udoka Azubuike,UTA,True,2-pointer,6,105-122,'UTA',trails
1510,1510,1510,202202020UTA,21.6,5.3,1st quarter,10:11.0,Udoka Azubuike,UTA,True,2-pointer,3,4-2,'UTA',leads
1512,1512,1512,202202020UTA,21.8,5.2,1st quarter,9:03.0,Udoka Azubuike,UTA,False,2-pointer,3,7-2,'UTA',leads
1513,1513,1513,202202020UTA,24.0,3.3,1st quarter,9:00.0,Udoka Azubuike,UTA,True,2-pointer,0,9-2,'UTA',leads
1550,1550,1550,202202020UTA,23.1,4.6,3rd quarter,10:49.0,Udoka Azubuike,UTA,True,2-pointer,2,64-63,'UTA',leads
1555,1555,1555,202202020UTA,22.6,4.2,3rd quarter,8:51.0,Udoka Azubuike,UTA,False,2-pointer,2,64-65,'UTA',trails
1557,1557,1557,202202020UTA,25.9,3.7,3rd quarter,8:24.0,Udoka Azubuike,UTA,True,2-pointer,2,66-65,'UTA',leads
