Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,match_id,shotX,shotY,quarter,time_remaining,player,team,made,shot_type,distance,score,opp,status
461,461,461,202012300DAL,21.5,13.9,4th quarter,3:02.0,Vernon Carey,CHO,False,2-pointer,11,114-93,'DAL',leads
465,465,465,202012300DAL,23.7,27.9,4th quarter,0:21.0,Vernon Carey,CHO,False,3-pointer,25,118-99,'DAL',leads
194,194,194,202101130CHO,24.0,3.3,4th quarter,0:07.0,Vernon Carey,CHO,True,2-pointer,0,93-104,'DAL',trails
250,250,250,202103240HOU,43.8,2.6,4th quarter,1:34.0,Vernon Carey,CHO,True,2-pointer,20,122-94,'HOU',leads
249,249,249,202104040BOS,0.2,3.6,4th quarter,2:50.0,Vernon Carey,CHO,False,3-pointer,24,86-114,'CHO',trails
250,250,250,202104040BOS,46.5,6.7,4th quarter,2:23.0,Vernon Carey,CHO,False,3-pointer,23,86-114,'CHO',trails
958,958,958,202104090MIL,16.6,28.3,4th quarter,1:25.0,Vernon Carey,CHO,False,3-pointer,26,124-110,'CHO',leads
959,959,959,202104090MIL,23.6,6.9,4th quarter,0:36.0,Vernon Carey,CHO,True,2-pointer,4,126-115,'CHO',leads
0,0,0,202104160BRK,23.8,2.8,1st quarter,11:22.0,Vernon Carey,CHO,True,2-pointer,0,2-2,'CHO',tied
1,1,1,202104160BRK,12.2,4.3,1st quarter,10:54.0,Vernon Carey,CHO,True,2-pointer,12,4-5,'CHO',trails
5,5,5,202104160BRK,14.7,19.1,1st quarter,8:59.0,Vernon Carey,CHO,True,2-pointer,18,13-7,'CHO',leads
10,10,10,202104160BRK,14.6,27.2,1st quarter,7:12.0,Vernon Carey,CHO,True,3-pointer,26,18-9,'CHO',leads
26,26,26,202104160BRK,23.2,1.8,2nd quarter,9:22.0,Vernon Carey,CHO,False,2-pointer,2,35-34,'CHO',leads
28,28,28,202104160BRK,22.2,5.5,2nd quarter,9:09.0,Vernon Carey,CHO,False,2-pointer,3,35-34,'CHO',leads
29,29,29,202104160BRK,24.2,6.3,2nd quarter,8:49.0,Vernon Carey,CHO,True,2-pointer,3,37-35,'CHO',leads
35,35,35,202104160BRK,18.2,23.9,2nd quarter,6:25.0,Vernon Carey,CHO,False,2-pointer,21,41-38,'CHO',leads
42,42,42,202104160BRK,1.3,1.1,2nd quarter,2:34.0,Vernon Carey,CHO,False,3-pointer,23,50-54,'CHO',trails
45,45,45,202104160BRK,24.8,8.8,2nd quarter,1:17.0,Vernon Carey,CHO,False,2-pointer,6,54-56,'CHO',trails
57,57,57,202104160BRK,23.9,3.7,3rd quarter,6:59.0,Vernon Carey,CHO,True,2-pointer,0,76-72,'CHO',leads
76,76,76,202104160BRK,13.1,4.9,4th quarter,4:31.0,Vernon Carey,CHO,True,2-pointer,11,103-118,'CHO',trails
78,78,78,202104160BRK,5.6,11.6,4th quarter,3:05.0,Vernon Carey,CHO,True,2-pointer,20,105-121,'CHO',trails
79,79,79,202104160BRK,24.2,4.3,4th quarter,2:20.0,Vernon Carey,CHO,True,2-pointer,1,107-124,'CHO',trails
300,300,300,202104180CHO,26.3,28.8,2nd quarter,9:33.0,Vernon Carey,CHO,False,3-pointer,26,48-30,'POR',leads
315,315,315,202104180CHO,14.7,21.5,3rd quarter,11:46.0,Vernon Carey,CHO,False,2-pointer,20,65-51,'POR',leads
318,318,318,202104180CHO,23.9,3.7,3rd quarter,10:15.0,Vernon Carey,CHO,False,2-pointer,0,67-53,'POR',leads
169,169,169,202104220CHI,22.7,5.8,1st quarter,9:22.0,Vernon Carey,CHO,False,2-pointer,3,0-10,'CHO',trails
170,170,170,202104220CHI,23.2,3.9,1st quarter,9:01.0,Vernon Carey,CHO,True,2-pointer,1,2-10,'CHO',trails
239,239,239,202104220CHI,25.9,4.2,4th quarter,3:40.0,Vernon Carey,CHO,True,2-pointer,2,83-103,'CHO',trails
336,336,336,202105020CHO,17.3,5.3,4th quarter,2:41.0,Vernon Carey,CHO,False,2-pointer,7,101-118,'MIA',trails
338,338,338,202105020CHO,24.7,3.7,4th quarter,2:02.0,Vernon Carey,CHO,True,2-pointer,1,103-118,'MIA',trails
339,339,339,202105020CHO,29.9,3.6,4th quarter,1:25.0,Vernon Carey,CHO,True,2-pointer,6,105-118,'MIA',trails
217,217,217,202105040DET,23.7,3.5,1st quarter,1:25.0,Vernon Carey,CHO,True,2-pointer,0,28-23,'DET',leads
226,226,226,202105040DET,24.3,5.1,2nd quarter,8:57.0,Vernon Carey,CHO,True,2-pointer,2,34-33,'DET',leads
173,173,173,202105060CHO,32.2,22.3,4th quarter,3:05.0,Vernon Carey,CHO,False,2-pointer,21,89-111,'CHO',trails
178,178,178,202105060CHO,27.9,3.3,4th quarter,1:00.0,Vernon Carey,CHO,False,2-pointer,4,95-114,'CHO',trails
513,513,513,202105130CHO,16.9,9.0,4th quarter,3:03.0,Vernon Carey,CHO,False,2-pointer,9,84-104,'CHO',trails
93,93,93,202110240BRK,23.7,22.1,4th quarter,0:18.0,Vernon Carey,CHO,False,2-pointer,19,111-95,'CHO',leads
290,290,290,202112100CHO,24.3,4.3,1st quarter,10:50.0,Vernon Carey,CHO,True,2-pointer,1,4-3,'SAC',leads
294,294,294,202112100CHO,24.9,5.5,1st quarter,9:08.0,Vernon Carey,CHO,False,2-pointer,2,11-10,'SAC',leads
295,295,295,202112100CHO,24.5,4.9,1st quarter,8:53.0,Vernon Carey,CHO,True,2-pointer,2,13-10,'SAC',leads
297,297,297,202112100CHO,27.8,22.5,1st quarter,8:11.0,Vernon Carey,CHO,False,2-pointer,20,15-13,'SAC',leads
318,318,318,202112100CHO,25.0,4.8,2nd quarter,9:59.0,Vernon Carey,CHO,True,2-pointer,2,41-44,'SAC',trails
