Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,match_id,shotX,shotY,quarter,time_remaining,player,team,made,shot_type,distance,score,opp,status
1577,1577,1577,201910250SAC,24.2,28.4,4th quarter,2:23.0,Wenyen Gabriel,SAC,False,3-pointer,25,106-122,'POR',trails
1670,1670,1670,201910260UTA,19.6,10.0,3rd quarter,7:47.0,Wenyen Gabriel,SAC,False,2-pointer,8,43-75,'SAC',trails
1673,1673,1673,201910260UTA,22.0,28.4,3rd quarter,5:46.0,Wenyen Gabriel,SAC,True,3-pointer,25,50-82,'SAC',trails
1682,1682,1682,201910260UTA,33.4,26.9,3rd quarter,0:32.0,Wenyen Gabriel,SAC,False,3-pointer,25,58-93,'SAC',trails
1687,1687,1687,201910260UTA,26.5,4.6,4th quarter,9:43.0,Wenyen Gabriel,SAC,True,2-pointer,3,62-95,'SAC',trails
1690,1690,1690,201910260UTA,47.5,10.8,4th quarter,8:35.0,Wenyen Gabriel,SAC,False,3-pointer,25,63-97,'SAC',trails
1692,1692,1692,201910260UTA,21.8,9.1,4th quarter,7:35.0,Wenyen Gabriel,SAC,False,2-pointer,6,65-100,'SAC',trails
1693,1693,1693,201910260UTA,26.8,28.3,4th quarter,6:45.0,Wenyen Gabriel,SAC,False,3-pointer,25,67-100,'SAC',trails
1694,1694,1694,201910260UTA,28.3,7.9,4th quarter,6:20.0,Wenyen Gabriel,SAC,False,2-pointer,6,67-100,'SAC',trails
1708,1708,1708,201910260UTA,22.3,4.1,4th quarter,0:28.0,Wenyen Gabriel,SAC,True,2-pointer,2,81-113,'SAC',trails
1330,1330,1330,201910300SAC,13.2,25.4,2nd quarter,10:20.0,Wenyen Gabriel,SAC,False,3-pointer,25,38-33,'SAC',leads
766,766,766,201911030NYK,26.8,7.0,4th quarter,9:07.0,Wenyen Gabriel,SAC,False,2-pointer,5,95-73,'NYK',leads
581,581,581,201911150LAL,1.3,3.6,4th quarter,9:45.0,Wenyen Gabriel,SAC,False,3-pointer,23,74-79,'LAL',trails
65,65,65,201911220BRK,21.8,28.8,4th quarter,11:07.0,Wenyen Gabriel,SAC,False,3-pointer,26,73-89,'SAC',trails
