Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,match_id,shotX,shotY,quarter,time_remaining,player,team,made,shot_type,distance,score,opp,status
656,656,656,200612160NJN,7.2,20.0,1st quarter,0:01.3,Will Blalock,DET,False,2-pointer,23,29-27,'NJN',leads
658,658,658,200612160NJN,35.2,11.3,2nd quarter,11:07.0,Will Blalock,DET,False,2-pointer,13,30-29,'NJN',leads
89,89,89,200612170DET,46.8,13.1,1st quarter,1:54.0,Will Blalock,DET,False,3-pointer,24,16-23,'SEA',trails
143,143,143,200612170DET,31.9,11.6,4th quarter,11:14.0,Will Blalock,DET,False,2-pointer,10,77-74,'SEA',leads
19,19,19,200612210CLE,26.8,6.2,2nd quarter,10:09.0,Will Blalock,DET,False,2-pointer,3,24-24,'DET',tied
433,433,433,200612230DET,24.0,5.0,2nd quarter,10:55.0,Will Blalock,DET,True,2-pointer,0,28-21,'DET',leads
467,467,467,200612230DET,24.0,5.0,3rd quarter,0:48.9,Will Blalock,DET,False,2-pointer,0,79-54,'DET',leads
1001,1001,1001,200612270NYK,24.0,5.0,4th quarter,11:00.0,Will Blalock,DET,True,2-pointer,0,91-90,'NYK',leads
181,181,181,200701040NOK,23.7,9.6,1st quarter,0:33.8,Will Blalock,DET,True,2-pointer,5,28-19,'DET',leads
183,183,183,200701040NOK,31.9,21.8,2nd quarter,11:45.0,Will Blalock,DET,False,2-pointer,19,31-19,'DET',leads
225,225,225,200701040NOK,24.0,5.0,4th quarter,10:06.0,Will Blalock,DET,False,2-pointer,0,74-57,'DET',leads
227,227,227,200701040NOK,24.0,5.0,4th quarter,9:22.0,Will Blalock,DET,False,2-pointer,0,75-57,'DET',leads
163,163,163,200701060CHI,24.0,5.0,2nd quarter,10:15.0,Will Blalock,DET,False,2-pointer,0,28-34,'DET',trails
201,201,201,200701060CHI,24.0,5.0,3rd quarter,4:37.0,Will Blalock,DET,False,2-pointer,0,59-73,'DET',trails
208,208,208,200701060CHI,28.1,10.8,3rd quarter,1:36.0,Will Blalock,DET,False,2-pointer,7,64-79,'DET',trails
509,509,509,200701090PHI,24.0,5.0,2nd quarter,11:07.0,Will Blalock,DET,True,2-pointer,0,26-22,'DET',leads
512,512,512,200701090PHI,16.6,5.0,2nd quarter,8:51.0,Will Blalock,DET,False,2-pointer,7,30-24,'DET',leads
546,546,546,200701090PHI,11.8,27.5,4th quarter,8:21.0,Will Blalock,DET,True,3-pointer,26,85-67,'DET',leads
547,547,547,200701090PHI,40.1,25.1,4th quarter,7:50.0,Will Blalock,DET,False,3-pointer,26,85-69,'DET',leads
727,727,727,200701100DET,24.0,5.0,3rd quarter,1:22.0,Will Blalock,DET,False,2-pointer,0,58-66,'DET',trails
733,733,733,200701100DET,24.0,5.0,4th quarter,10:07.0,Will Blalock,DET,False,2-pointer,0,68-74,'DET',trails
736,736,736,200701100DET,1.2,7.2,4th quarter,8:52.0,Will Blalock,DET,False,3-pointer,23,68-78,'DET',trails
752,752,752,200701100DET,24.0,5.0,4th quarter,0:34.3,Will Blalock,DET,True,2-pointer,0,92-99,'DET',trails
753,753,753,200701100DET,24.0,5.0,4th quarter,0:27.6,Will Blalock,DET,True,2-pointer,0,94-101,'DET',trails
18,18,18,200701120ATL,24.0,5.0,1st quarter,1:05.0,Will Blalock,DET,False,2-pointer,0,18-23,DET,trails
21,21,21,200701120ATL,24.0,5.0,2nd quarter,11:40.0,Will Blalock,DET,False,2-pointer,0,20-25,DET,trails
26,26,26,200701120ATL,10.2,14.5,2nd quarter,9:31.0,Will Blalock,DET,False,2-pointer,17,22-32,DET,trails
27,27,27,200701120ATL,24.0,5.0,2nd quarter,9:26.0,Will Blalock,DET,True,2-pointer,0,24-32,DET,trails
473,473,473,200703200DET,24.0,5.0,4th quarter,0:45.0,Will Blalock,DET,True,2-pointer,0,96-73,DET,leads
