Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,match_id,shotX,shotY,quarter,time_remaining,player,team,made,shot_type,distance,score,opp,status
948,948,948,200111020MIN,33.4,12.0,2nd quarter,10:50.0,Will Solomon,MEM,False,2-pointer,12,35-28,'MIN',leads
968,968,968,200111020MIN,39.3,18.3,2nd quarter,0:02.6,Will Solomon,MEM,False,2-pointer,20,56-57,'MIN',trails
985,985,985,200111020MIN,9.3,26.3,3rd quarter,1:25.0,Will Solomon,MEM,False,3-pointer,26,68-85,'MIN',trails
473,473,473,200111070LAC,39.5,25.5,1st quarter,11:11.0,Will Solomon,MEM,False,3-pointer,26,0-2,'MEM',trails
482,482,482,200111070LAC,27.9,12.2,1st quarter,7:56.0,Will Solomon,MEM,False,2-pointer,8,5-8,'MEM',trails
483,483,483,200111070LAC,3.2,23.1,1st quarter,7:36.0,Will Solomon,MEM,False,3-pointer,28,5-10,'MEM',trails
540,540,540,200111070LAC,11.0,27.2,4th quarter,11:07.0,Will Solomon,MEM,False,3-pointer,26,70-76,'MEM',trails
542,542,542,200111070LAC,33.6,28.2,4th quarter,10:07.0,Will Solomon,MEM,True,3-pointer,25,75-79,'MEM',trails
511,511,511,200111090LAL,21.1,32.2,1st quarter,1:38.0,Will Solomon,MEM,False,3-pointer,27,10-16,'LAL',trails
517,517,517,200111090LAL,2.6,17.9,2nd quarter,9:32.0,Will Solomon,MEM,True,3-pointer,25,16-27,'LAL',trails
520,520,520,200111090LAL,3.8,20.8,2nd quarter,7:59.0,Will Solomon,MEM,True,3-pointer,26,23-31,'LAL',trails
524,524,524,200111090LAL,2.6,18.5,2nd quarter,6:12.0,Will Solomon,MEM,False,3-pointer,25,27-35,'LAL',trails
554,554,554,200111090LAL,29.6,24.8,3rd quarter,1:46.0,Will Solomon,MEM,False,2-pointer,21,59-83,'LAL',trails
555,555,555,200111090LAL,35.0,4.6,3rd quarter,0:52.9,Will Solomon,MEM,False,2-pointer,11,60-83,'LAL',trails
580,580,580,200111090LAL,24.0,5.0,4th quarter,1:13.0,Will Solomon,MEM,False,2-pointer,0,83-106,'LAL',trails
641,641,641,200111150MEM,5.5,5.9,2nd quarter,9:46.0,Will Solomon,MEM,True,2-pointer,19,23-29,'POR',trails
643,643,643,200111150MEM,2.8,19.8,2nd quarter,7:17.0,Will Solomon,MEM,False,3-pointer,26,25-33,'POR',trails
657,657,657,200111150MEM,4.3,21.5,2nd quarter,0:00.1,Will Solomon,MEM,False,3-pointer,26,44-44,'POR',tied
890,890,890,200111170MEM,32.7,21.5,2nd quarter,9:03.0,Will Solomon,MEM,False,2-pointer,19,28-31,'MEM',trails
892,892,892,200111170MEM,24.0,5.0,2nd quarter,8:08.0,Will Solomon,MEM,False,2-pointer,0,28-32,'MEM',trails
947,947,947,200111230MEM,24.0,5.0,3rd quarter,4:07.0,Will Solomon,MEM,True,2-pointer,0,58-71,'PHO',trails
949,949,949,200111230MEM,27.7,29.5,3rd quarter,2:50.0,Will Solomon,MEM,True,3-pointer,25,62-75,'PHO',trails
961,961,961,200111230MEM,19.8,19.8,4th quarter,7:06.0,Will Solomon,MEM,False,2-pointer,15,74-91,'PHO',trails
967,967,967,200111230MEM,7.8,25.7,4th quarter,3:40.0,Will Solomon,MEM,False,3-pointer,26,81-101,'PHO',trails
968,968,968,200111230MEM,24.0,5.0,4th quarter,3:15.0,Will Solomon,MEM,False,2-pointer,0,81-101,'PHO',trails
121,121,121,200111260MEM,24.0,5.0,2nd quarter,2:29.0,Will Solomon,MEM,True,2-pointer,0,46-52,'SAC',trails
123,123,123,200111260MEM,32.5,28.4,2nd quarter,1:19.0,Will Solomon,MEM,True,3-pointer,25,49-56,'SAC',trails
124,124,124,200111260MEM,1.9,18.5,2nd quarter,0:50.7,Will Solomon,MEM,False,3-pointer,26,49-56,'SAC',trails
495,495,495,200111300MEM,6.6,22.7,4th quarter,0:39.5,Will Solomon,MEM,True,3-pointer,25,97-78,'HOU',leads
201,201,201,200112020PHI,20.3,13.5,2nd quarter,10:59.0,Will Solomon,MEM,True,2-pointer,9,25-18,'MEM',leads
205,205,205,200112020PHI,0.7,3.9,2nd quarter,5:50.0,Will Solomon,MEM,True,3-pointer,23,33-27,'MEM',leads
214,214,214,200112020PHI,6.6,4.6,2nd quarter,0:32.1,Will Solomon,MEM,True,2-pointer,17,43-38,'MEM',leads
215,215,215,200112020PHI,15.6,37.1,2nd quarter,0:00.7,Will Solomon,MEM,False,3-pointer,33,43-40,'MEM',leads
169,169,169,200112030ORL,7.4,6.7,1st quarter,0:42.4,Will Solomon,MEM,False,2-pointer,17,19-24,'ORL',trails
171,171,171,200112030ORL,26.4,20.0,2nd quarter,11:37.0,Will Solomon,MEM,False,2-pointer,15,19-25,'ORL',trails
213,213,213,200112030ORL,0.2,4.2,4th quarter,10:54.0,Will Solomon,MEM,False,3-pointer,24,60-91,'ORL',trails
223,223,223,200112030ORL,28.7,32.0,4th quarter,1:18.0,Will Solomon,MEM,False,3-pointer,27,67-113,'ORL',trails
288,288,288,200112060MEM,-0.2,2.7,2nd quarter,11:44.0,Will Solomon,MEM,False,3-pointer,24,22-29,'MEM',trails
290,290,290,200112060MEM,39.9,25.7,2nd quarter,8:43.0,Will Solomon,MEM,False,3-pointer,26,25-35,'MEM',trails
324,324,324,200112060MEM,22.8,43.8,3rd quarter,0:00.0,Will Solomon,MEM,False,3-pointer,39,65-87,'MEM',trails
332,332,332,200112060MEM,23.6,19.1,4th quarter,6:49.0,Will Solomon,MEM,False,2-pointer,14,65-91,'MEM',trails
336,336,336,200112060MEM,24.0,5.0,4th quarter,5:40.0,Will Solomon,MEM,True,2-pointer,0,69-91,'MEM',trails
337,337,337,200112060MEM,2.6,19.8,4th quarter,5:26.0,Will Solomon,MEM,True,3-pointer,26,72-93,'MEM',trails
338,338,338,200112060MEM,5.5,15.1,4th quarter,4:00.0,Will Solomon,MEM,False,2-pointer,21,72-97,'MEM',trails
341,341,341,200112060MEM,24.0,5.0,4th quarter,2:38.0,Will Solomon,MEM,True,2-pointer,0,76-101,'MEM',trails
346,346,346,200112060MEM,24.0,5.0,4th quarter,0:36.0,Will Solomon,MEM,False,2-pointer,0,80-103,'MEM',trails
1138,1138,1138,200112110MEM,40.7,24.0,3rd quarter,3:25.0,Will Solomon,MEM,False,3-pointer,25,52-70,'MEM',trails
1146,1146,1146,200112110MEM,45.6,18.5,3rd quarter,0:27.5,Will Solomon,MEM,False,3-pointer,25,57-74,'MEM',trails
372,372,372,200112130DEN,4.3,20.2,2nd quarter,0:05.2,Will Solomon,MEM,True,3-pointer,25,47-37,'DEN',leads
390,390,390,200112130DEN,42.4,3.7,3rd quarter,3:23.0,Will Solomon,MEM,True,2-pointer,18,62-59,'DEN',leads
391,391,391,200112130DEN,47.5,5.4,3rd quarter,2:37.0,Will Solomon,MEM,True,3-pointer,24,65-59,'DEN',leads
392,392,392,200112130DEN,14.6,20.8,3rd quarter,1:55.0,Will Solomon,MEM,False,2-pointer,18,65-61,'DEN',leads
393,393,393,200112130DEN,4.3,20.2,3rd quarter,0:03.2,Will Solomon,MEM,False,3-pointer,25,65-66,'DEN',trails
395,395,395,200112130DEN,16.7,28.4,4th quarter,10:00.0,Will Solomon,MEM,False,3-pointer,25,69-72,'DEN',trails
397,397,397,200112130DEN,6.4,5.0,4th quarter,9:00.0,Will Solomon,MEM,False,2-pointer,18,71-74,'DEN',trails
399,399,399,200112130DEN,23.9,29.5,4th quarter,7:55.0,Will Solomon,MEM,False,3-pointer,25,71-76,'DEN',trails
408,408,408,200112130DEN,42.4,21.3,4th quarter,0:03.8,Will Solomon,MEM,False,3-pointer,25,86-89,'DEN',trails
892,892,892,200112150GSW,6.8,23.8,3rd quarter,4:38.0,Will Solomon,MEM,False,3-pointer,25,53-68,'GSW',trails
898,898,898,200112150GSW,8.9,4.4,3rd quarter,1:29.0,Will Solomon,MEM,False,2-pointer,15,59-73,'GSW',trails
