Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,match_id,shotX,shotY,quarter,time_remaining,player,team,made,shot_type,distance,score,opp,status
946,946,946,201010270MEM,41.7,17.9,4th quarter,8:53.0,Xavier Henry,MEM,True,2-pointer,22,83-96,'MEM',trails
956,956,956,201010270MEM,42.5,9.4,4th quarter,3:22.0,Xavier Henry,MEM,True,2-pointer,19,97-115,'MEM',trails
957,957,957,201010270MEM,25.8,5.7,4th quarter,2:57.0,Xavier Henry,MEM,True,2-pointer,2,99-115,'MEM',trails
350,350,350,201010290DAL,35.4,37.4,1st quarter,0:00.5,Xavier Henry,MEM,False,3-pointer,34,24-29,'DAL',trails
363,363,363,201010290DAL,23.3,7.3,2nd quarter,3:48.0,Xavier Henry,MEM,False,2-pointer,2,35-42,'DAL',trails
387,387,387,201010290DAL,10.6,22.0,3rd quarter,0:32.1,Xavier Henry,MEM,True,2-pointer,22,69-71,'DAL',trails
388,388,388,201010290DAL,32.9,17.6,3rd quarter,0:03.9,Xavier Henry,MEM,False,2-pointer,15,69-73,'DAL',trails
389,389,389,201010290DAL,28.8,27.0,4th quarter,11:31.0,Xavier Henry,MEM,False,2-pointer,23,69-77,'DAL',trails
390,390,390,201010290DAL,30.2,8.3,4th quarter,10:58.0,Xavier Henry,MEM,False,2-pointer,7,73-77,'DAL',trails
394,394,394,201010290DAL,25.2,6.9,4th quarter,10:02.0,Xavier Henry,MEM,False,2-pointer,2,73-77,'DAL',trails
352,352,352,201011020LAL,1.1,5.0,2nd quarter,6:46.0,Xavier Henry,MEM,False,3-pointer,23,28-50,'LAL',trails
363,363,363,201011020LAL,35.1,22.2,2nd quarter,0:38.9,Xavier Henry,MEM,False,2-pointer,20,44-71,'LAL',trails
364,364,364,201011020LAL,25.8,11.1,2nd quarter,0:01.2,Xavier Henry,MEM,True,2-pointer,6,46-73,'LAL',trails
401,401,401,201011020LAL,37.6,21.0,4th quarter,4:47.0,Xavier Henry,MEM,False,2-pointer,21,93-112,'LAL',trails
406,406,406,201011020LAL,15.8,24.0,4th quarter,2:59.0,Xavier Henry,MEM,True,2-pointer,21,99-117,'LAL',trails
407,407,407,201011020LAL,24.1,11.0,4th quarter,1:29.0,Xavier Henry,MEM,False,2-pointer,6,101-121,'LAL',trails
408,408,408,201011020LAL,22.2,6.7,4th quarter,1:26.0,Xavier Henry,MEM,True,2-pointer,2,103-121,'LAL',trails
505,505,505,201011030GSW,6.3,22.8,1st quarter,5:10.0,Xavier Henry,MEM,False,3-pointer,25,10-11,'GSW',trails
560,560,560,201011030GSW,9.9,15.5,4th quarter,8:49.0,Xavier Henry,MEM,False,2-pointer,18,86-92,'GSW',trails
790,790,790,201011060SAC,41.7,8.1,1st quarter,4:10.0,Xavier Henry,MEM,True,2-pointer,18,21-16,'SAC',leads
792,792,792,201011060SAC,23.0,8.1,1st quarter,3:30.0,Xavier Henry,MEM,False,2-pointer,3,21-16,'SAC',leads
793,793,793,201011060SAC,7.2,8.9,1st quarter,3:29.0,Xavier Henry,MEM,True,2-pointer,17,23-16,'SAC',leads
799,799,799,201011060SAC,47.0,6.9,2nd quarter,11:44.0,Xavier Henry,MEM,False,3-pointer,23,30-24,'SAC',leads
844,844,844,201011060SAC,3.8,7.0,3rd quarter,1:11.0,Xavier Henry,MEM,True,2-pointer,20,78-66,'SAC',leads
847,847,847,201011060SAC,42.9,21.5,4th quarter,8:20.0,Xavier Henry,MEM,False,3-pointer,25,83-75,'SAC',leads
582,582,582,201011080MEM,45.7,13.3,1st quarter,3:41.0,Xavier Henry,MEM,True,2-pointer,23,24-21,'PHO',leads
587,587,587,201011080MEM,3.9,6.1,1st quarter,0:52.9,Xavier Henry,MEM,False,2-pointer,20,26-22,'PHO',leads
590,590,590,201011080MEM,43.2,20.9,2nd quarter,11:46.0,Xavier Henry,MEM,False,3-pointer,25,28-26,'PHO',leads
592,592,592,201011080MEM,21.3,20.6,2nd quarter,11:08.0,Xavier Henry,MEM,True,2-pointer,16,30-26,'PHO',leads
594,594,594,201011080MEM,22.4,6.4,2nd quarter,10:22.0,Xavier Henry,MEM,False,2-pointer,2,30-28,'PHO',leads
602,602,602,201011080MEM,24.6,7.3,2nd quarter,6:21.0,Xavier Henry,MEM,True,2-pointer,2,42-34,'PHO',leads
606,606,606,201011080MEM,44.4,14.3,2nd quarter,3:52.0,Xavier Henry,MEM,False,2-pointer,22,46-39,'PHO',leads
630,630,630,201011080MEM,3.9,5.9,3rd quarter,2:30.0,Xavier Henry,MEM,True,2-pointer,20,80-73,'PHO',leads
636,636,636,201011080MEM,24.7,6.5,4th quarter,10:12.0,Xavier Henry,MEM,False,2-pointer,2,93-78,'PHO',leads
424,424,424,201011100MEM,8.5,6.4,1st quarter,0:33.9,Xavier Henry,MEM,False,2-pointer,16,21-27,'DAL',trails
427,427,427,201011100MEM,37.6,22.2,2nd quarter,10:47.0,Xavier Henry,MEM,False,2-pointer,22,23-32,'DAL',trails
428,428,428,201011100MEM,24.2,5.7,2nd quarter,10:30.0,Xavier Henry,MEM,False,2-pointer,1,23-32,'DAL',trails
454,454,454,201011100MEM,24.2,9.1,3rd quarter,6:44.0,Xavier Henry,MEM,False,2-pointer,4,55-73,'DAL',trails
455,455,455,201011100MEM,24.4,6.9,3rd quarter,6:41.0,Xavier Henry,MEM,False,2-pointer,2,55-73,'DAL',trails
457,457,457,201011100MEM,9.0,17.6,3rd quarter,6:07.0,Xavier Henry,MEM,True,2-pointer,20,59-73,'DAL',trails
474,474,474,201011100MEM,11.0,15.4,4th quarter,6:56.0,Xavier Henry,MEM,False,2-pointer,17,73-94,'DAL',trails
476,476,476,201011100MEM,22.9,5.7,4th quarter,6:04.0,Xavier Henry,MEM,True,2-pointer,1,77-96,'DAL',trails
479,479,479,201011100MEM,23.2,6.1,4th quarter,4:13.0,Xavier Henry,MEM,True,2-pointer,1,83-98,'DAL',trails
484,484,484,201011100MEM,18.0,29.4,4th quarter,1:24.0,Xavier Henry,MEM,False,3-pointer,25,88-104,'DAL',trails
584,584,584,201011130MEM,41.9,10.6,2nd quarter,10:47.0,Xavier Henry,MEM,True,2-pointer,19,29-27,'BOS',leads
636,636,636,201011150ORL,1.7,17.9,1st quarter,0:40.9,Xavier Henry,MEM,False,3-pointer,26,12-19,'ORL',trails
637,637,637,201011150ORL,5.3,11.3,2nd quarter,10:57.0,Xavier Henry,MEM,False,2-pointer,20,12-22,'ORL',trails
694,694,694,201011150ORL,20.5,8.3,4th quarter,2:00.0,Xavier Henry,MEM,True,2-pointer,5,72-85,'ORL',trails
742,742,742,201011160MEM,34.0,7.2,2nd quarter,8:25.0,Xavier Henry,MEM,False,2-pointer,10,29-29,'POR',tied
1602,1602,1602,201011190WAS,38.0,15.8,2nd quarter,1:03.0,Xavier Henry,MEM,False,2-pointer,18,43-43,'WAS',tied
1604,1604,1604,201011190WAS,44.7,3.1,2nd quarter,0:01.9,Xavier Henry,MEM,False,2-pointer,21,45-43,'WAS',leads
1628,1628,1628,201011190WAS,24.9,25.3,4th quarter,8:37.0,Xavier Henry,MEM,True,2-pointer,20,74-71,'WAS',leads
1629,1629,1629,201011190WAS,12.4,19.0,4th quarter,7:31.0,Xavier Henry,MEM,False,2-pointer,18,75-71,'WAS',leads
885,885,885,201011200MEM,36.1,27.4,1st quarter,10:35.0,Xavier Henry,MEM,False,3-pointer,25,4-0,'MIA',leads
