Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,match_id,shotX,shotY,quarter,time_remaining,player,team,made,shot_type,distance,score,opp,status
1335,1335,1335,202001220NOP,23.1,3.8,1st quarter,8:32.0,Zion Williamson,NOP,False,2-pointer,1,6-5,'SAS',leads
1353,1353,1353,202001220NOP,23.1,3.9,2nd quarter,10:35.0,Zion Williamson,NOP,True,2-pointer,1,26-33,'SAS',trails
1375,1375,1375,202001220NOP,25.4,4.2,3rd quarter,9:10.0,Zion Williamson,NOP,True,2-pointer,2,59-69,'SAS',trails
1390,1390,1390,202001220NOP,24.3,9.3,4th quarter,11:45.0,Zion Williamson,NOP,False,2-pointer,6,82-94,'SAS',trails
1396,1396,1396,202001220NOP,25.3,29.7,4th quarter,8:52.0,Zion Williamson,NOP,True,3-pointer,26,94-99,'SAS',trails
1397,1397,1397,202001220NOP,21.5,4.1,4th quarter,8:27.0,Zion Williamson,NOP,True,2-pointer,3,96-101,'SAS',trails
1398,1398,1398,202001220NOP,25.2,29.4,4th quarter,7:53.0,Zion Williamson,NOP,True,3-pointer,26,99-104,'SAS',trails
1399,1399,1399,202001220NOP,17.7,6.3,4th quarter,7:26.0,Zion Williamson,NOP,False,2-pointer,7,99-104,'SAS',trails
1400,1400,1400,202001220NOP,21.7,4.2,4th quarter,7:22.0,Zion Williamson,NOP,True,2-pointer,3,101-104,'SAS',trails
1401,1401,1401,202001220NOP,32.9,27.4,4th quarter,7:00.0,Zion Williamson,NOP,True,3-pointer,26,104-106,'SAS',trails
1402,1402,1402,202001220NOP,4.0,19.0,4th quarter,6:18.0,Zion Williamson,NOP,True,3-pointer,25,107-106,'SAS',leads
1152,1152,1152,202001240NOP,23.9,3.1,1st quarter,11:19.0,Zion Williamson,NOP,True,2-pointer,0,2-2,'NOP',tied
1156,1156,1156,202001240NOP,21.7,8.0,1st quarter,8:39.0,Zion Williamson,NOP,True,2-pointer,5,9-8,'NOP',leads
1171,1171,1171,202001240NOP,24.4,5.3,2nd quarter,10:17.0,Zion Williamson,NOP,False,2-pointer,2,31-41,'NOP',trails
1174,1174,1174,202001240NOP,21.5,3.8,2nd quarter,9:11.0,Zion Williamson,NOP,True,2-pointer,3,36-43,'NOP',trails
1178,1178,1178,202001240NOP,23.3,5.9,2nd quarter,6:57.0,Zion Williamson,NOP,True,2-pointer,3,46-48,'NOP',trails
1193,1193,1193,202001240NOP,22.4,3.7,3rd quarter,11:20.0,Zion Williamson,NOP,True,2-pointer,2,58-65,'NOP',trails
1194,1194,1194,202001240NOP,25.9,4.8,3rd quarter,10:32.0,Zion Williamson,NOP,True,2-pointer,2,60-68,'NOP',trails
1198,1198,1198,202001240NOP,29.1,10.8,3rd quarter,7:32.0,Zion Williamson,NOP,True,2-pointer,9,68-70,'NOP',trails
1218,1218,1218,202001240NOP,24.9,27.9,4th quarter,7:05.0,Zion Williamson,NOP,False,3-pointer,25,92-99,'NOP',trails
630,630,630,202001260NOP,15.1,2.2,1st quarter,8:09.0,Zion Williamson,NOP,False,2-pointer,9,2-7,'NOP',trails
631,631,631,202001260NOP,22.3,3.1,1st quarter,8:05.0,Zion Williamson,NOP,True,2-pointer,2,4-7,'NOP',trails
633,633,633,202001260NOP,0.5,11.9,1st quarter,7:10.0,Zion Williamson,NOP,False,3-pointer,25,8-7,'NOP',leads
634,634,634,202001260NOP,24.8,12.1,1st quarter,7:06.0,Zion Williamson,NOP,False,2-pointer,9,8-7,'NOP',leads
635,635,635,202001260NOP,25.0,6.4,1st quarter,7:04.0,Zion Williamson,NOP,False,2-pointer,3,8-7,'NOP',leads
636,636,636,202001260NOP,23.9,4.3,1st quarter,7:03.0,Zion Williamson,NOP,False,2-pointer,1,8-7,'NOP',leads
638,638,638,202001260NOP,25.8,3.9,1st quarter,6:12.0,Zion Williamson,NOP,True,2-pointer,2,13-9,'NOP',leads
649,649,649,202001260NOP,23.9,5.3,2nd quarter,11:09.0,Zion Williamson,NOP,True,2-pointer,2,34-22,'NOP',leads
650,650,650,202001260NOP,18.9,3.7,2nd quarter,10:43.0,Zion Williamson,NOP,False,2-pointer,5,34-22,'NOP',leads
651,651,651,202001260NOP,24.5,2.9,2nd quarter,8:40.0,Zion Williamson,NOP,True,2-pointer,1,36-26,'NOP',leads
684,684,684,202001260NOP,24.0,2.7,3rd quarter,5:48.0,Zion Williamson,NOP,True,2-pointer,1,78-60,'NOP',leads
698,698,698,202001260NOP,23.7,5.9,4th quarter,8:21.0,Zion Williamson,NOP,True,2-pointer,3,102-91,'NOP',leads
708,708,708,202001260NOP,22.6,4.2,4th quarter,2:56.0,Zion Williamson,NOP,True,2-pointer,2,117-106,'NOP',leads
710,710,710,202001260NOP,23.3,3.8,4th quarter,1:54.0,Zion Williamson,NOP,True,2-pointer,1,119-108,'NOP',leads
713,713,713,202001260NOP,26.0,3.8,4th quarter,1:01.0,Zion Williamson,NOP,False,2-pointer,2,119-108,'NOP',leads
714,714,714,202001260NOP,24.0,2.7,4th quarter,0:59.0,Zion Williamson,NOP,True,2-pointer,1,121-108,'NOP',leads
181,181,181,202001280CLE,25.0,5.3,1st quarter,8:19.0,Zion Williamson,NOP,False,2-pointer,2,8-10,'NOP',trails
202,202,202,202001280CLE,24.3,3.8,2nd quarter,8:48.0,Zion Williamson,NOP,True,2-pointer,1,48-46,'NOP',leads
203,203,203,202001280CLE,25.2,3.8,2nd quarter,8:20.0,Zion Williamson,NOP,True,2-pointer,1,50-46,'NOP',leads
204,204,204,202001280CLE,24.2,4.1,2nd quarter,7:52.0,Zion Williamson,NOP,False,2-pointer,1,50-46,'NOP',leads
207,207,207,202001280CLE,31.2,13.4,2nd quarter,7:09.0,Zion Williamson,NOP,False,2-pointer,12,53-46,'NOP',leads
213,213,213,202001280CLE,24.8,3.8,2nd quarter,3:21.0,Zion Williamson,NOP,True,2-pointer,1,63-53,'NOP',leads
215,215,215,202001280CLE,25.5,3.8,2nd quarter,2:13.0,Zion Williamson,NOP,False,2-pointer,2,65-56,'NOP',leads
220,220,220,202001280CLE,23.1,3.2,3rd quarter,11:21.0,Zion Williamson,NOP,True,2-pointer,1,76-65,'NOP',leads
222,222,222,202001280CLE,23.6,3.3,3rd quarter,9:50.0,Zion Williamson,NOP,True,2-pointer,0,80-68,'NOP',leads
225,225,225,202001280CLE,23.3,3.7,3rd quarter,8:40.0,Zion Williamson,NOP,False,2-pointer,1,85-73,'NOP',leads
244,244,244,202001280CLE,24.1,3.4,4th quarter,8:34.0,Zion Williamson,NOP,True,2-pointer,0,108-96,'NOP',leads
247,247,247,202001280CLE,22.3,5.1,4th quarter,7:17.0,Zion Williamson,NOP,False,2-pointer,2,108-100,'NOP',leads
248,248,248,202001280CLE,23.1,2.2,4th quarter,7:13.0,Zion Williamson,NOP,True,2-pointer,1,110-100,'NOP',leads
1004,1004,1004,202001310NOP,24.7,4.1,1st quarter,9:31.0,Zion Williamson,NOP,True,2-pointer,1,4-3,'NOP',leads
1007,1007,1007,202001310NOP,21.7,4.6,1st quarter,8:18.0,Zion Williamson,NOP,True,2-pointer,3,8-5,'NOP',leads
1011,1011,1011,202001310NOP,21.3,2.7,1st quarter,6:33.0,Zion Williamson,NOP,False,2-pointer,3,12-7,'NOP',leads
1013,1013,1013,202001310NOP,23.9,2.6,1st quarter,6:07.0,Zion Williamson,NOP,True,2-pointer,1,16-7,'NOP',leads
1032,1032,1032,202001310NOP,22.4,2.4,2nd quarter,7:55.0,Zion Williamson,NOP,True,2-pointer,2,44-34,'NOP',leads
1046,1046,1046,202001310NOP,23.0,3.2,3rd quarter,10:13.0,Zion Williamson,NOP,True,2-pointer,1,71-59,'NOP',leads
1054,1054,1054,202001310NOP,25.6,4.1,3rd quarter,6:21.0,Zion Williamson,NOP,False,2-pointer,2,86-68,'NOP',leads
1056,1056,1056,202001310NOP,24.3,6.7,3rd quarter,5:54.0,Zion Williamson,NOP,False,2-pointer,3,88-71,'NOP',leads
