Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,match_id,shotX,shotY,quarter,time_remaining,player,team,made,shot_type,distance,score,opp,status
924,924,924,200310310NJN,24.3,27.4,2nd quarter,6:55.0,Zoran Planinić,NJN,True,2-pointer,22,35-21,'NJN',leads
968,968,968,200310310NJN,27.8,14.2,4th quarter,1:31.0,Zoran Planinić,NJN,False,2-pointer,10,82-59,'NJN',leads
969,969,969,200310310NJN,24.0,5.0,4th quarter,1:28.0,Zoran Planinić,NJN,False,2-pointer,0,82-59,'NJN',leads
1967,1967,1967,200311010WAS,18.6,4.4,4th quarter,0:59.4,Zoran Planinić,NJN,False,2-pointer,5,98-83,'NJN',leads
416,416,416,200311040NJN,26.4,27.0,2nd quarter,11:16.0,Zoran Planinić,NJN,False,2-pointer,22,23-22,'HOU',leads
420,420,420,200311040NJN,24.0,5.0,2nd quarter,9:42.0,Zoran Planinić,NJN,False,2-pointer,0,25-22,'HOU',leads
458,458,458,200311040NJN,47.2,4.1,4th quarter,11:21.0,Zoran Planinić,NJN,False,3-pointer,23,62-59,'HOU',leads
70,70,70,200311070BOS,17.1,30.3,4th quarter,10:01.0,Zoran Planinić,NJN,False,3-pointer,26,71-70,'NJN',leads
208,208,208,200311090DET,42.7,8.5,2nd quarter,0:04.9,Zoran Planinić,NJN,False,2-pointer,19,47-48,NJN,trails
244,244,244,200311090DET,8.6,25.9,4th quarter,0:03.9,Zoran Planinić,NJN,False,3-pointer,26,84-98,NJN,trails
870,870,870,200311120NJN,24.0,5.0,1st quarter,1:29.0,Zoran Planinić,NJN,True,2-pointer,0,18-17,'SAS',leads
872,872,872,200311120NJN,24.0,5.0,1st quarter,0:39.9,Zoran Planinić,NJN,False,2-pointer,0,20-19,'SAS',leads
1394,1394,1394,200311140NJN,24.0,5.0,1st quarter,1:27.0,Zoran Planinić,NJN,True,2-pointer,0,20-18,'NYK',leads
1396,1396,1396,200311140NJN,19.7,10.4,1st quarter,0:39.8,Zoran Planinić,NJN,False,2-pointer,7,22-18,'NYK',leads
1397,1397,1397,200311140NJN,16.3,5.7,2nd quarter,11:30.0,Zoran Planinić,NJN,True,2-pointer,8,24-18,'NYK',leads
1429,1429,1429,200311140NJN,30.2,26.0,3rd quarter,1:00.0,Zoran Planinić,NJN,True,2-pointer,22,56-54,'NYK',leads
1430,1430,1430,200311140NJN,24.0,5.0,3rd quarter,0:00.3,Zoran Planinić,NJN,True,2-pointer,0,59-59,'NYK',tied
