Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,match_id,shotX,shotY,quarter,time_remaining,player,team,made,shot_type,distance,score,opp,status
1667,1667,1667,200511020ORL,4.0,22.4,1st quarter,1:09.0,Šarūnas Jasikevičius,IND,True,3-pointer,27,20-20,'IND',tied
1670,1670,1670,200511020ORL,31.5,11.1,2nd quarter,9:55.0,Šarūnas Jasikevičius,IND,True,2-pointer,10,25-26,'IND',trails
1707,1707,1707,200511020ORL,5.8,23.1,3rd quarter,0:05.9,Šarūnas Jasikevičius,IND,False,3-pointer,26,71-63,'IND',leads
1708,1708,1708,200511020ORL,35.7,28.2,4th quarter,11:45.0,Šarūnas Jasikevičius,IND,False,3-pointer,26,71-63,'IND',leads
1715,1715,1715,200511020ORL,44.5,20.5,4th quarter,8:16.0,Šarūnas Jasikevičius,IND,False,3-pointer,26,75-67,'IND',leads
193,193,193,200511030MIA,25.0,14.4,1st quarter,1:49.0,Šarūnas Jasikevičius,IND,True,2-pointer,9,23-21,'MIA',leads
196,196,196,200511030MIA,24.1,14.7,1st quarter,0:29.9,Šarūnas Jasikevičius,IND,False,2-pointer,10,25-23,'MIA',leads
198,198,198,200511030MIA,4.1,18.0,2nd quarter,11:45.0,Šarūnas Jasikevičius,IND,True,3-pointer,24,32-23,'MIA',leads
200,200,200,200511030MIA,30.7,17.0,2nd quarter,11:05.0,Šarūnas Jasikevičius,IND,False,2-pointer,14,32-23,'MIA',leads
201,201,201,200511030MIA,12.3,3.6,2nd quarter,10:36.0,Šarūnas Jasikevičius,IND,True,2-pointer,12,34-23,'MIA',leads
731,731,731,200511050IND,0.7,3.6,1st quarter,1:40.0,Šarūnas Jasikevičius,IND,True,3-pointer,23,26-27,'IND',trails
757,757,757,200511050IND,10.7,26.2,3rd quarter,6:16.0,Šarūnas Jasikevičius,IND,True,3-pointer,25,61-76,'IND',trails
759,759,759,200511050IND,9.9,25.2,3rd quarter,4:27.0,Šarūnas Jasikevičius,IND,False,3-pointer,25,66-84,'IND',trails
879,879,879,200511090IND,48.0,15.2,2nd quarter,10:21.0,Šarūnas Jasikevičius,IND,True,3-pointer,26,32-30,'MIA',leads
915,915,915,200511090IND,25.6,19.1,4th quarter,11:04.0,Šarūnas Jasikevičius,IND,False,2-pointer,14,78-72,'MIA',leads
918,918,918,200511090IND,23.2,30.7,4th quarter,9:46.0,Šarūnas Jasikevičius,IND,False,3-pointer,26,80-76,'MIA',leads
931,931,931,200511090IND,25.3,19.8,4th quarter,0:14.2,Šarūnas Jasikevičius,IND,True,2-pointer,15,93-90,'MIA',leads
692,692,692,200511110IND,46.0,18.7,2nd quarter,10:20.0,Šarūnas Jasikevičius,IND,False,3-pointer,26,30-23,'IND',leads
730,730,730,200511110IND,7.2,22.6,4th quarter,10:20.0,Šarūnas Jasikevičius,IND,False,3-pointer,24,88-63,'IND',leads
478,478,478,200511120MIL,21.7,10.3,1st quarter,0:59.4,Šarūnas Jasikevičius,IND,True,2-pointer,6,31-20,'IND',leads
482,482,482,200511120MIL,45.7,21.4,2nd quarter,10:06.0,Šarūnas Jasikevičius,IND,True,3-pointer,27,39-24,'IND',leads
180,180,180,200511160CHA,16.5,29.0,2nd quarter,11:37.0,Šarūnas Jasikevičius,IND,False,3-pointer,25,30-24,'IND',leads
223,223,223,200511160CHA,24.0,5.0,4th quarter,7:09.0,Šarūnas Jasikevičius,IND,True,2-pointer,0,79-99,'IND',trails
769,769,769,200511180IND,25.6,5.8,3rd quarter,1:00.0,Šarūnas Jasikevičius,IND,False,2-pointer,2,65-67,'IND',trails
775,775,775,200511180IND,29.9,21.3,4th quarter,9:57.0,Šarūnas Jasikevičius,IND,True,2-pointer,17,74-67,'IND',leads
776,776,776,200511180IND,44.7,24.1,4th quarter,9:17.0,Šarūnas Jasikevičius,IND,False,3-pointer,28,75-67,'IND',leads
779,779,779,200511180IND,22.2,7.2,4th quarter,7:49.0,Šarūnas Jasikevičius,IND,True,2-pointer,3,77-67,'IND',leads
783,783,783,200511180IND,11.2,27.4,4th quarter,3:53.0,Šarūnas Jasikevičius,IND,False,3-pointer,26,83-75,'IND',leads
255,255,255,200511200IND,36.0,27.5,1st quarter,3:15.0,Šarūnas Jasikevičius,IND,False,3-pointer,26,11-16,'HOU',trails
259,259,259,200511200IND,48.0,6.7,1st quarter,1:01.0,Šarūnas Jasikevičius,IND,False,3-pointer,24,13-19,'HOU',trails
260,260,260,200511200IND,25.5,11.9,1st quarter,0:00.0,Šarūnas Jasikevičius,IND,False,2-pointer,7,15-19,'HOU',trails
294,294,294,200511200IND,10.9,26.5,3rd quarter,1:57.0,Šarūnas Jasikevičius,IND,False,3-pointer,25,53-46,'HOU',leads
300,300,300,200511200IND,13.3,28.3,4th quarter,10:42.0,Šarūnas Jasikevičius,IND,True,3-pointer,26,61-54,'HOU',leads
304,304,304,200511200IND,24.5,25.1,4th quarter,8:11.0,Šarūnas Jasikevičius,IND,True,2-pointer,20,72-56,'HOU',leads
305,305,305,200511200IND,48.0,12.9,4th quarter,7:36.0,Šarūnas Jasikevičius,IND,False,3-pointer,25,72-56,'HOU',leads
94,94,94,200511240IND,23.4,14.9,2nd quarter,10:53.0,Šarūnas Jasikevičius,IND,False,2-pointer,10,25-17,'IND',leads
95,95,95,200511240IND,17.3,4.4,2nd quarter,10:50.0,Šarūnas Jasikevičius,IND,False,2-pointer,7,25-17,'IND',leads
97,97,97,200511240IND,16.1,29.7,2nd quarter,9:51.0,Šarūnas Jasikevičius,IND,True,3-pointer,26,30-17,'IND',leads
133,133,133,200511240IND,24.6,18.0,4th quarter,10:48.0,Šarūnas Jasikevičius,IND,True,2-pointer,13,72-54,'IND',leads
137,137,137,200511240IND,39.8,24.6,4th quarter,8:30.0,Šarūnas Jasikevičius,IND,True,3-pointer,25,79-60,'IND',leads
139,139,139,200511240IND,12.8,27.5,4th quarter,7:16.0,Šarūnas Jasikevičius,IND,True,3-pointer,25,84-63,'IND',leads
140,140,140,200511240IND,22.5,30.7,4th quarter,6:23.0,Šarūnas Jasikevičius,IND,True,3-pointer,26,87-65,'IND',leads
145,145,145,200511240IND,1.2,9.8,4th quarter,1:33.0,Šarūnas Jasikevičius,IND,True,3-pointer,23,96-72,'IND',leads
626,626,626,200511250IND,25.5,6.2,1st quarter,1:49.0,Šarūnas Jasikevičius,IND,True,2-pointer,2,14-20,'IND',trails
633,633,633,200511250IND,30.6,16.5,2nd quarter,10:12.0,Šarūnas Jasikevičius,IND,True,2-pointer,13,19-28,'IND',trails
635,635,635,200511250IND,47.8,12.1,2nd quarter,8:56.0,Šarūnas Jasikevičius,IND,False,3-pointer,25,19-28,'IND',trails
636,636,636,200511250IND,24.1,26.7,2nd quarter,8:28.0,Šarūnas Jasikevičius,IND,True,2-pointer,22,21-28,'IND',trails
639,639,639,200511250IND,2.6,17.5,2nd quarter,6:25.0,Šarūnas Jasikevičius,IND,False,3-pointer,25,23-28,'IND',trails
665,665,665,200511250IND,1.0,3.6,4th quarter,11:46.0,Šarūnas Jasikevičius,IND,False,3-pointer,23,56-57,'IND',trails
666,666,666,200511250IND,7.9,24.4,4th quarter,11:38.0,Šarūnas Jasikevičius,IND,True,3-pointer,25,59-57,'IND',leads
678,678,678,200511250IND,0.8,8.3,4th quarter,4:54.0,Šarūnas Jasikevičius,IND,True,3-pointer,23,75-71,'IND',leads
679,679,679,200511250IND,24.5,19.1,4th quarter,4:22.0,Šarūnas Jasikevičius,IND,False,2-pointer,14,75-73,'IND',leads
686,686,686,200511250IND,0.8,6.0,4th quarter,1:01.0,Šarūnas Jasikevičius,IND,False,3-pointer,23,81-82,'IND',trails
687,687,687,200511250IND,7.4,19.5,4th quarter,0:19.9,Šarūnas Jasikevičius,IND,False,2-pointer,22,82-86,'IND',trails
690,690,690,200511250IND,48.5,5.0,4th quarter,0:00.0,Šarūnas Jasikevičius,IND,False,3-pointer,25,85-87,'IND',trails
160,160,160,200511270LAC,27.8,29.5,1st quarter,2:08.0,Šarūnas Jasikevičius,IND,True,3-pointer,25,23-29,'IND',trails
205,205,205,200511270LAC,26.1,11.6,3rd quarter,0:53.9,Šarūnas Jasikevičius,IND,False,2-pointer,7,71-70,'IND',leads
1149,1149,1149,200511290UTA,47.8,11.1,1st quarter,3:50.0,Šarūnas Jasikevičius,IND,True,3-pointer,25,16-7,'IND',leads
